name,pct_change,total_mv,up_num,down_num
首发经济,-1.01,24313911.6,13.0,13.0
冰雪经济,-0.58,20973300.7,10.0,20.0
人形机器人,2.79,81256377.6,53.0,5.0
谷子经济,0.5,47633627.2,35.0,17.0
智谱AI,0.66,40094091.2,24.0,9.0
并购重组概念,0.97,132457492.8,46.0,32.0
华为海思,2.26,75555067.2,33.0,5.0
房屋检测,0.14,21969479.8,18.0,15.0
AI眼镜,3.96,108082734.4,58.0,11.0
荣耀概念,2.17,98836494.4,45.0,6.0
财税数字化,1.72,50500969.6,31.0,7.0
玻璃基板,2.48,53543964.8,30.0,4.0
合成生物,1.0,121178497.6,77.0,30.0
锂矿概念,-0.04,239827254.4,21.0,16.0
AI语料,1.14,37825865.6,14.0,10.0
碳纤维,1.59,34124590.4,25.0,7.0
AI制药,0.93,12575924.4,12.0,2.0
Kimi概念,1.04,50020283.2,19.0,5.0
铜缆高速连接,3.99,57927630.4,29.0,3.0
低空经济,1.29,312880118.4,179.0,48.0
娃哈哈概念,0.58,10198833.6,16.0,4.0
AIPC,1.88,86518132.8,34.0,5.0
可控核聚变,1.2,39112654.4,13.0,7.0
AI手机,1.49,78554913.6,24.0,9.0
英伟达概念,1.49,127208902.4,33.0,13.0
柔性屏(折叠屏),2.26,98177875.2,60.0,13.0
Sora概念,1.01,38681747.2,29.0,8.0
微盘股,1.96,75505150.4,359.0,34.0
飞行汽车(eVTOL),1.56,73773504.0,55.0,11.0
PEEK材料概念,1.67,25815562.4,20.0,4.0
小米汽车,1.43,319301737.6,50.0,17.0
东盟自贸区概念,0.9,17563150.8,8.0,6.0
多模态AI,1.8,83209148.8,38.0,8.0
高带宽内存,3.87,14440507.8,13.0,0.0
短剧互动游戏,0.82,39174094.4,17.0,8.0
新型工业化,2.17,152438548.8,74.0,14.0
星闪概念,2.46,53330673.6,30.0,4.0
BC电池,1.49,38463489.6,15.0,7.0
SPD概念,1.5,7557105.9,8.0,2.0
减肥药,0.88,39560910.4,19.0,7.0
机器人执行器,2.75,38757419.2,22.0,2.0
高压快充,0.53,38215112.0,28.0,13.0
空间计算,1.12,13653662.2,16.0,5.0
裸眼3D,2.14,31402360.0,12.0,8.0
混合现实,1.11,100288657.6,22.0,7.0
央企改革,-0.12,3447125196.8,195.0,248.0
中特估,-0.86,2318536396.8,15.0,64.0
液冷概念,0.38,104178176.0,40.0,20.0
存储芯片,3.08,101772012.8,51.0,2.0
