name,trade_date,pct_change,total_mv,up_num,down_num
3D玻璃,20241220,1.49,28768558.4,14,3
3D玻璃,20241221,1.49,28768558.4,14,3
3D玻璃,20241222,1.49,28768558.4,14,3
3D玻璃,20241223,-4.67,27755752.0,1,17
3D玻璃,20241224,-0.92,27758728.0,9,9
3D玻璃,20241225,-2.47,27200115.2,3,15
3D玻璃,20241226,1.85,27697684.8,15,3
3D玻璃,20241227,0.07,27604004.8,11,7
3D玻璃,20241228,0.07,27604004.8,11,7
3D玻璃,20241229,0.07,27604004.8,11,7
3D玻璃,20241230,-1.02,27850635.2,3,14
3D玻璃,20241231,-3.65,26953571.2,1,17
3D玻璃,20250101,-3.65,26953571.2,1,17
3D玻璃,20250102,-2.83,26953267.2,0,18
3D玻璃,20250103,-4.4,26101955.3,1,17
3D玻璃,20250104,-4.4,26101955.3,1,17
3D玻璃,20250105,-4.4,26101955.3,1,17
3D玻璃,20250106,-1.63,25710161.9,2,16
3D玻璃,20250107,3.34,26853276.8,17,1
3D玻璃,20250108,0.0,26737384.9,8,10
3D玻璃,20250109,1.79,27123376.0,13,4
3D玻璃,20250110,-2.85,26996681.6,2,16
3D玻璃,20250111,-2.85,26996681.6,2,16
3D玻璃,20250112,-2.85,26996681.6,2,16
3D玻璃,20250113,-0.35,26610140.5,9,8
3D玻璃,20250114,7.2,29645033.6,18,0
3D玻璃,20250115,-1.32,28001280.0,3,14
3D玻璃,20250116,1.16,28248467.2,12,5
3D玻璃,20250117,-0.41,28106760.0,8,10
3D玻璃,20250118,-0.41,28106760.0,8,10
3D玻璃,20250119,-0.41,28106760.0,8,10
3D玻璃,20250120,1.36,28770574.4,14,3
3D玻璃,20250121,-0.29,29247307.2,8,10
3D玻璃,20250122,-0.98,28992502.4,2,15
3D玻璃,20250123,-1.61,28410561.6,2,14
3D玻璃,20250124,2.32,29676280.0,13,3
3D玻璃,20250125,2.32,29676280.0,13,3
3D玻璃,20250126,2.32,29676280.0,13,3
3D玻璃,20250127,-2.32,28905376.0,2,16
3D玻璃,20250128,-2.32,28905376.0,2,16
3D玻璃,20250129,-2.32,28905376.0,2,16
3D玻璃,20250130,-2.32,28905376.0,2,16
3D玻璃,20250131,-2.32,28905376.0,2,16
3D玻璃,20250201,-2.32,28905376.0,2,16
3D玻璃,20250202,-2.32,28905376.0,2,16
3D玻璃,20250203,-2.32,28905376.0,2,16
3D玻璃,20250204,-2.32,28905376.0,2,16
3D玻璃,20250205,1.88,28918353.6,15,3
3D玻璃,20250206,4.11,30317534.4,18,0
3D玻璃,20250207,3.09,31094246.4,14,3
3D玻璃,20250208,3.09,31094246.4,14,3
3D玻璃,20250209,3.09,31094246.4,14,3
3D玻璃,20250210,2.1,31542822.4,14,3
3D玻璃,20250211,0.98,32117382.4,7,11
3D玻璃,20250212,1.48,32806518.4,15,3
3D玻璃,20250213,-2.03,31916385.6,2,15
3D玻璃,20250214,-0.36,31920152.0,5,13
3D玻璃,20250215,-0.36,31920152.0,5,13
