name,trade_date,pct_change,total_mv,up_num,down_num
AI眼镜,20241220,3.96,108082734.4,58,11
AI眼镜,20241221,3.96,108082734.4,58,11
AI眼镜,20241222,3.96,108082734.4,58,11
AI眼镜,20241223,-4.01,107678787.2,8,61
AI眼镜,20241224,0.91,108884649.6,46,23
AI眼镜,20241225,-1.48,107480497.6,21,50
AI眼镜,20241226,3.08,111052091.2,63,8
AI眼镜,20241227,-0.11,109335700.8,30,40
AI眼镜,20241228,-0.11,109335700.8,30,40
AI眼镜,20241229,-0.11,109335700.8,30,40
AI眼镜,20241230,-0.01,109989640.0,30,41
AI眼镜,20241231,-4.12,107421051.2,7,64
AI眼镜,20250101,-4.12,107421051.2,7,64
AI眼镜,20250102,-1.65,104951203.2,17,55
AI眼镜,20250103,-0.81,103403096.0,24,48
AI眼镜,20250104,-0.81,103403096.0,24,48
AI眼镜,20250105,-0.81,103403096.0,24,48
AI眼镜,20250106,-4.29,105522408.0,17,56
AI眼镜,20250107,3.08,109784574.4,65,7
AI眼镜,20250108,-0.16,109270681.6,28,45
AI眼镜,20250109,0.95,110150726.4,48,23
AI眼镜,20250110,-4.68,107063278.4,7,66
AI眼镜,20250111,-4.68,107063278.4,7,66
AI眼镜,20250112,-4.68,107063278.4,7,66
AI眼镜,20250113,-0.82,106115393.6,28,44
AI眼镜,20250114,6.6,113828240.0,74,0
AI眼镜,20250115,-0.74,111728265.6,20,53
AI眼镜,20250116,-0.27,111136382.4,35,38
AI眼镜,20250117,0.02,112380848.0,32,42
AI眼镜,20250118,0.02,112380848.0,32,42
AI眼镜,20250119,0.02,112380848.0,32,42
AI眼镜,20250120,1.48,114279846.4,58,15
AI眼镜,20250121,2.81,118644915.2,58,17
AI眼镜,20250122,-1.61,117294798.4,11,64
AI眼镜,20250123,-1.51,115092761.6,14,61
AI眼镜,20250124,2.9,119620302.4,66,8
AI眼镜,20250125,2.9,119620302.4,66,8
AI眼镜,20250126,2.9,119620302.4,66,8
AI眼镜,20250127,-2.33,116891347.2,14,61
AI眼镜,20250128,-2.33,116891347.2,14,61
AI眼镜,20250129,-2.33,116891347.2,14,61
AI眼镜,20250130,-2.33,116891347.2,14,61
AI眼镜,20250131,-2.33,116891347.2,14,61
AI眼镜,20250201,-2.33,116891347.2,14,61
AI眼镜,20250202,-2.33,116891347.2,14,61
AI眼镜,20250203,-2.33,116891347.2,14,61
AI眼镜,20250204,-2.33,116891347.2,14,61
AI眼镜,20250205,2.31,118236332.8,64,11
AI眼镜,20250206,5.7,124505800.0,75,0
AI眼镜,20250207,1.88,125896704.0,55,20
AI眼镜,20250208,1.88,125896704.0,55,20
AI眼镜,20250209,1.88,125896704.0,55,20
AI眼镜,20250210,2.21,128006281.6,53,19
AI眼镜,20250211,0.18,127664144.0,30,44
AI眼镜,20250212,1.33,129665760.0,62,13
AI眼镜,20250213,-2.98,125137179.2,8,67
AI眼镜,20250214,-0.36,125086512.0,29,43
AI眼镜,20250215,-0.36,125086512.0,29,43
