name,trade_date,pct_change,total_mv,up_num,down_num
B股,20241220,-0.06,43318512.0,28,41
B股,20241221,-0.06,43318512.0,28,41
B股,20241222,-0.06,43318512.0,28,41
B股,20241223,-2.72,42926646.4,8,73
B股,20241224,0.67,43096712.0,62,13
B股,20241225,-0.97,42924009.6,16,60
B股,20241226,0.61,43015305.6,60,14
B股,20241227,0.84,43015220.8,61,12
B股,20241228,0.84,43015220.8,61,12
B股,20241229,0.84,43015220.8,61,12
B股,20241230,-0.39,43178801.6,22,48
B股,20241231,-1.06,43079372.8,12,57
B股,20250101,-1.06,43079372.8,12,57
B股,20250102,-1.58,42480641.6,6,71
B股,20250103,-1.71,42138374.4,11,65
B股,20250104,-1.71,42138374.4,11,65
B股,20250105,-1.71,42138374.4,11,65
B股,20250106,-0.07,42191220.8,41,30
B股,20250107,1.0,42645736.0,60,12
B股,20250108,-0.57,42340184.0,15,58
B股,20250109,0.03,42385116.8,28,28
B股,20250110,-1.05,42087019.2,11,64
B股,20250111,-1.05,42087019.2,11,64
B股,20250112,-1.05,42087019.2,11,64
B股,20250113,-0.54,41839043.2,21,52
B股,20250114,2.87,42668451.2,79,0
B股,20250115,-0.26,42487134.4,21,52
B股,20250116,0.57,6440911.8,51,15
B股,20250117,-0.05,6417332.7,32,38
B股,20250118,-0.05,6417332.7,32,38
B股,20250119,-0.05,6417332.7,32,38
B股,20250120,-0.03,42688388.8,44,32
B股,20250121,-0.37,43090185.6,22,49
B股,20250122,-0.54,43005238.4,19,56
B股,20250123,0.26,43037873.6,57,17
B股,20250124,0.43,43230256.0,54,18
B股,20250125,0.43,43230256.0,54,18
B股,20250126,0.43,43230256.0,54,18
B股,20250127,-0.45,43240443.2,33,38
B股,20250128,-0.45,43240443.2,33,38
B股,20250129,-0.45,43240443.2,33,38
B股,20250130,-0.45,43240443.2,33,38
B股,20250131,-0.45,43240443.2,33,38
B股,20250201,-0.45,43240443.2,33,38
B股,20250202,-0.45,43240443.2,33,38
B股,20250203,-0.45,43240443.2,33,38
B股,20250204,-0.45,43240443.2,33,38
B股,20250205,-0.58,42930003.2,20,48
B股,20250206,1.08,43463150.4,66,9
B股,20250207,0.73,43674723.2,54,10
B股,20250208,0.73,43674723.2,54,10
B股,20250209,0.73,43674723.2,54,10
B股,20250210,0.6,43593729.6,43,21
B股,20250211,-0.55,43522355.2,12,58
B股,20250212,0.31,43735857.6,38,32
B股,20250213,-0.18,43929206.4,29,41
B股,20250214,-0.55,43908259.2,18,53
B股,20250215,-0.55,43908259.2,18,53
