name,trade_date,pct_change,total_mv,up_num,down_num
CAR-T细胞疗法,20241220,0.6,42206028.8,14,7
CAR-T细胞疗法,20241221,0.6,42206028.8,14,7
CAR-T细胞疗法,20241222,0.6,42206028.8,14,7
CAR-T细胞疗法,20241223,-4.54,41537379.2,1,21
CAR-T细胞疗法,20241224,0.24,41717315.2,15,7
CAR-T细胞疗法,20241225,-1.79,41269001.6,3,19
CAR-T细胞疗法,20241226,-0.21,41069905.6,11,11
CAR-T细胞疗法,20241227,0.56,40995523.2,15,7
CAR-T细胞疗法,20241228,0.56,40995523.2,15,7
CAR-T细胞疗法,20241229,0.56,40995523.2,15,7
CAR-T细胞疗法,20241230,-0.83,41170553.6,7,15
CAR-T细胞疗法,20241231,-2.92,40098323.2,1,21
CAR-T细胞疗法,20250101,-2.92,40098323.2,1,21
CAR-T细胞疗法,20250102,-1.57,39675436.8,4,18
CAR-T细胞疗法,20250103,-1.75,39117460.8,5,17
CAR-T细胞疗法,20250104,-1.75,39117460.8,5,17
CAR-T细胞疗法,20250105,-1.75,39117460.8,5,17
CAR-T细胞疗法,20250106,1.53,39769441.6,17,6
CAR-T细胞疗法,20250107,-0.41,39376700.8,7,15
CAR-T细胞疗法,20250108,-0.99,39019614.4,4,18
CAR-T细胞疗法,20250109,-0.16,39092779.2,10,13
CAR-T细胞疗法,20250110,-3.46,38632856.0,1,22
CAR-T细胞疗法,20250111,-3.46,38632856.0,1,22
CAR-T细胞疗法,20250112,-3.46,38632856.0,1,22
CAR-T细胞疗法,20250113,0.23,38630462.4,14,7
CAR-T细胞疗法,20250114,4.69,40039774.4,23,0
CAR-T细胞疗法,20250115,-0.8,39384400.0,1,20
CAR-T细胞疗法,20250116,0.39,36008521.6,14,8
CAR-T细胞疗法,20250117,-0.08,35852936.0,8,15
CAR-T细胞疗法,20250118,-0.08,35852936.0,8,15
CAR-T细胞疗法,20250119,-0.08,35852936.0,8,15
CAR-T细胞疗法,20250120,1.14,40226124.8,16,6
CAR-T细胞疗法,20250121,-1.14,39881459.2,4,19
CAR-T细胞疗法,20250122,-1.63,39299052.8,2,21
CAR-T细胞疗法,20250123,0.0,39270172.8,9,12
CAR-T细胞疗法,20250124,1.1,39869118.4,19,3
CAR-T细胞疗法,20250125,1.1,39869118.4,19,3
CAR-T细胞疗法,20250126,1.1,39869118.4,19,3
CAR-T细胞疗法,20250127,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250128,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250129,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250130,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250131,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250201,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250202,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250203,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250204,-0.69,39586313.6,4,18
CAR-T细胞疗法,20250205,2.0,40126907.2,22,1
CAR-T细胞疗法,20250206,2.4,41182259.2,21,1
CAR-T细胞疗法,20250207,3.18,41765830.4,21,2
CAR-T细胞疗法,20250208,3.18,41765830.4,21,2
CAR-T细胞疗法,20250209,3.18,41765830.4,21,2
CAR-T细胞疗法,20250210,2.82,42540512.0,21,2
CAR-T细胞疗法,20250211,-1.72,41821648.0,3,20
CAR-T细胞疗法,20250212,0.38,41915371.2,15,7
CAR-T细胞疗法,20250213,-0.84,41525233.6,3,18
CAR-T细胞疗法,20250214,3.99,43026104.0,22,1
CAR-T细胞疗法,20250215,3.99,43026104.0,22,1
