name,trade_date,pct_change,total_mv,up_num,down_num
CRO,20241220,1.04,50251161.6,29,9
CRO,20241221,1.04,50251161.6,29,9
CRO,20241222,1.04,50251161.6,29,9
CRO,20241223,-3.33,49506014.4,3,35
CRO,20241224,0.89,49842630.4,32,6
CRO,20241225,-1.52,49135947.2,8,29
CRO,20241226,0.02,49048705.6,18,20
CRO,20241227,0.44,48590481.6,24,14
CRO,20241228,0.44,48590481.6,24,14
CRO,20241229,0.44,48590481.6,24,14
CRO,20241230,-0.84,49105166.4,13,25
CRO,20241231,-2.82,47838147.2,1,37
CRO,20250101,-2.82,47838147.2,1,37
CRO,20250102,-1.42,46826115.2,6,31
CRO,20250103,-2.45,45874884.8,4,34
CRO,20250104,-2.45,45874884.8,4,34
CRO,20250105,-2.45,45874884.8,4,34
CRO,20250106,1.81,46335220.8,29,7
CRO,20250107,-0.75,45913574.4,19,18
CRO,20250108,-1.57,45275534.4,5,32
CRO,20250109,-0.6,45374025.6,15,21
CRO,20250110,-3.03,44868952.0,4,34
CRO,20250111,-3.03,44868952.0,4,34
CRO,20250112,-3.03,44868952.0,4,34
CRO,20250113,1.08,45783694.4,28,11
CRO,20250114,3.73,47382504.0,37,1
CRO,20250115,-1.46,46503128.0,1,37
CRO,20250116,-0.37,42580400.0,15,21
CRO,20250117,0.58,42732278.4,28,10
CRO,20250118,0.58,42732278.4,28,10
CRO,20250119,0.58,42732278.4,28,10
CRO,20250120,2.09,48032790.4,36,1
CRO,20250121,-1.09,47553534.4,5,32
CRO,20250122,-1.41,46913169.6,1,37
CRO,20250123,0.11,46812388.8,19,16
CRO,20250124,0.57,47466363.2,30,7
CRO,20250125,0.57,47466363.2,30,7
CRO,20250126,0.57,47466363.2,30,7
CRO,20250127,-0.41,47195147.2,13,24
CRO,20250128,-0.41,47195147.2,13,24
CRO,20250129,-0.41,47195147.2,13,24
CRO,20250130,-0.41,47195147.2,13,24
CRO,20250131,-0.41,47195147.2,13,24
CRO,20250201,-0.41,47195147.2,13,24
CRO,20250202,-0.41,47195147.2,13,24
CRO,20250203,-0.41,47195147.2,13,24
CRO,20250204,-0.41,47195147.2,13,24
CRO,20250205,1.78,47844116.8,36,3
CRO,20250206,2.44,49196643.2,39,0
CRO,20250207,2.69,49931088.0,36,2
CRO,20250208,2.69,49931088.0,36,2
CRO,20250209,2.69,49931088.0,36,2
CRO,20250210,3.5,51225107.2,38,1
CRO,20250211,-1.53,50245030.4,4,34
CRO,20250212,0.16,50382739.2,21,16
CRO,20250213,-1.13,49702211.2,2,36
CRO,20250214,4.33,51791664.0,36,2
CRO,20250215,4.33,51791664.0,36,2
