name,trade_date,pct_change,total_mv,up_num,down_num
Chiplet概念,20241220,2.83,68067816.0,25,2
Chiplet概念,20241221,2.83,68067816.0,25,2
Chiplet概念,20241222,2.83,68067816.0,25,2
Chiplet概念,20241223,-4.52,68977755.2,1,28
Chiplet概念,20241224,0.71,69939875.2,21,7
Chiplet概念,20241225,-1.83,69488068.8,7,22
Chiplet概念,20241226,3.6,70641454.4,24,4
Chiplet概念,20241227,-0.93,70218672.0,9,19
Chiplet概念,20241228,-0.93,70218672.0,9,19
Chiplet概念,20241229,-0.93,70218672.0,9,19
Chiplet概念,20241230,-0.06,72018235.2,9,18
Chiplet概念,20241231,-4.29,68961883.2,1,27
Chiplet概念,20250101,-4.29,68961883.2,1,27
Chiplet概念,20250102,-3.31,66605969.6,3,26
Chiplet概念,20250103,-3.62,64412755.2,3,26
Chiplet概念,20250104,-3.62,64412755.2,3,26
Chiplet概念,20250105,-3.62,64412755.2,3,26
Chiplet概念,20250106,-2.44,64673956.8,5,23
Chiplet概念,20250107,4.04,68789824.0,27,2
Chiplet概念,20250108,0.42,69248913.6,11,18
Chiplet概念,20250109,1.38,69066972.8,21,7
Chiplet概念,20250110,-1.2,69912960.0,7,22
Chiplet概念,20250111,-1.2,69912960.0,7,22
Chiplet概念,20250112,-1.2,69912960.0,7,22
Chiplet概念,20250113,-0.57,68976752.0,11,18
Chiplet概念,20250114,5.36,69979449.6,28,1
Chiplet概念,20250115,-0.36,69893971.2,8,21
Chiplet概念,20250116,-0.47,65544134.4,17,12
Chiplet概念,20250117,1.62,66034318.4,22,7
Chiplet概念,20250118,1.62,66034318.4,22,7
Chiplet概念,20250119,1.62,66034318.4,22,7
Chiplet概念,20250120,1.02,67424369.6,20,8
Chiplet概念,20250121,0.49,67885203.2,18,10
Chiplet概念,20250122,-0.93,68307185.6,5,21
Chiplet概念,20250123,-1.49,66788587.2,3,25
Chiplet概念,20250124,1.11,67053009.6,21,7
Chiplet概念,20250125,1.11,67053009.6,21,7
Chiplet概念,20250126,1.11,67053009.6,21,7
Chiplet概念,20250127,-3.5,63868798.4,1,27
Chiplet概念,20250128,-3.5,63868798.4,1,27
Chiplet概念,20250129,-3.5,63868798.4,1,27
Chiplet概念,20250130,-3.5,63868798.4,1,27
Chiplet概念,20250131,-3.5,63868798.4,1,27
Chiplet概念,20250201,-3.5,63868798.4,1,27
Chiplet概念,20250202,-3.5,63868798.4,1,27
Chiplet概念,20250203,-3.5,63868798.4,1,27
Chiplet概念,20250204,-3.5,63868798.4,1,27
Chiplet概念,20250205,2.51,64800336.0,24,3
Chiplet概念,20250206,4.38,66279203.2,27,1
Chiplet概念,20250207,0.46,67822446.4,16,12
Chiplet概念,20250208,0.46,67822446.4,16,12
Chiplet概念,20250209,0.46,67822446.4,16,12
Chiplet概念,20250210,1.11,70118731.2,21,7
Chiplet概念,20250211,-1.3,70020414.4,4,24
Chiplet概念,20250212,3.04,70777056.0,27,1
Chiplet概念,20250213,-2.39,68862712.0,2,26
Chiplet概念,20250214,-0.33,68562417.6,13,15
Chiplet概念,20250215,-0.33,68562417.6,13,15
