name,trade_date,pct_change,total_mv,up_num,down_num
DRG/DIP,20241220,1.2,14342127.3,12,2
DRG/DIP,20241221,1.2,14342127.3,12,2
DRG/DIP,20241222,1.2,14342127.3,12,2
DRG/DIP,20241223,-6.87,13587142.6,0,16
DRG/DIP,20241224,-0.83,13550714.0,6,8
DRG/DIP,20241225,-2.99,13217025.3,2,14
DRG/DIP,20241226,-0.09,13229326.1,8,6
DRG/DIP,20241227,0.7,13333252.7,12,4
DRG/DIP,20241228,0.7,13333252.7,12,4
DRG/DIP,20241229,0.7,13333252.7,12,4
DRG/DIP,20241230,-0.77,14062976.2,7,10
DRG/DIP,20241231,-2.08,13781756.1,4,14
DRG/DIP,20250101,-2.08,13781756.1,4,14
DRG/DIP,20250102,-3.86,13101109.5,0,17
DRG/DIP,20250103,-5.45,12375003.2,0,18
DRG/DIP,20250104,-5.45,12375003.2,0,18
DRG/DIP,20250105,-5.45,12375003.2,0,18
DRG/DIP,20250106,-1.33,12223116.0,4,14
DRG/DIP,20250107,2.18,12453172.2,16,2
DRG/DIP,20250108,-0.47,12362563.6,4,14
DRG/DIP,20250109,0.93,12435847.6,16,2
DRG/DIP,20250110,-3.69,12051081.4,0,18
DRG/DIP,20250111,-3.69,12051081.4,0,18
DRG/DIP,20250112,-3.69,12051081.4,0,18
DRG/DIP,20250113,1.37,12266866.0,13,3
DRG/DIP,20250114,5.16,12891733.6,18,0
DRG/DIP,20250115,-0.64,12773974.3,4,13
DRG/DIP,20250116,0.52,12795856.7,10,6
DRG/DIP,20250117,-0.43,12788990.8,4,10
DRG/DIP,20250118,-0.43,12788990.8,4,10
DRG/DIP,20250119,-0.43,12788990.8,4,10
DRG/DIP,20250120,0.5,12823367.1,15,2
DRG/DIP,20250121,-1.01,12732543.6,2,16
DRG/DIP,20250122,-0.98,12597616.6,2,16
DRG/DIP,20250123,-0.22,12557329.4,9,8
DRG/DIP,20250124,3.28,12926933.1,17,1
DRG/DIP,20250125,3.28,12926933.1,17,1
DRG/DIP,20250126,3.28,12926933.1,17,1
DRG/DIP,20250127,-0.7,12748628.0,4,14
DRG/DIP,20250128,-0.7,12748628.0,4,14
DRG/DIP,20250129,-0.7,12748628.0,4,14
DRG/DIP,20250130,-0.7,12748628.0,4,14
DRG/DIP,20250131,-0.7,12748628.0,4,14
DRG/DIP,20250201,-0.7,12748628.0,4,14
DRG/DIP,20250202,-0.7,12748628.0,4,14
DRG/DIP,20250203,-0.7,12748628.0,4,14
DRG/DIP,20250204,-0.7,12748628.0,4,14
DRG/DIP,20250205,6.58,13714245.4,18,0
DRG/DIP,20250206,1.95,14049562.3,16,1
DRG/DIP,20250207,6.5,15135405.9,17,1
DRG/DIP,20250208,6.5,15135405.9,17,1
DRG/DIP,20250209,6.5,15135405.9,17,1
DRG/DIP,20250210,9.41,16528063.1,18,0
DRG/DIP,20250211,-2.9,17537069.2,4,15
DRG/DIP,20250212,2.34,18085392.0,18,0
DRG/DIP,20250213,-1.03,17953021.2,7,12
DRG/DIP,20250214,10.25,19827957.3,19,0
DRG/DIP,20250215,10.25,19827957.3,19,0
