name,trade_date,pct_change,total_mv,up_num,down_num
EDR概念,20241220,2.66,27197734.4,13,1
EDR概念,20241221,2.66,27197734.4,13,1
EDR概念,20241222,2.66,27197734.4,13,1
EDR概念,20241223,-4.79,26137026.1,1,12
EDR概念,20241224,1.21,26165869.1,9,5
EDR概念,20241225,-4.13,25371758.5,2,12
EDR概念,20241226,3.3,26233589.7,13,1
EDR概念,20241227,-1.16,25944543.1,5,9
EDR概念,20241228,-1.16,25944543.1,5,9
EDR概念,20241229,-1.16,25944543.1,5,9
EDR概念,20241230,-0.72,25941097.6,4,9
EDR概念,20241231,-4.62,24687537.9,1,12
EDR概念,20250101,-4.62,24687537.9,1,12
EDR概念,20250102,-4.56,23549945.5,0,13
EDR概念,20250103,-4.71,22622011.0,1,12
EDR概念,20250104,-4.71,22622011.0,1,12
EDR概念,20250105,-4.71,22622011.0,1,12
EDR概念,20250106,-1.98,22306266.8,2,11
EDR概念,20250107,6.41,23440431.9,14,0
EDR概念,20250108,2.72,24008755.6,10,4
EDR概念,20250109,1.47,24714635.6,10,4
EDR概念,20250110,-3.66,24081420.8,2,12
EDR概念,20250111,-3.66,24081420.8,2,12
EDR概念,20250112,-3.66,24081420.8,2,12
EDR概念,20250113,-0.6,23681621.4,7,7
EDR概念,20250114,6.42,25129557.1,14,0
EDR概念,20250115,0.18,25459521.2,5,9
EDR概念,20250116,1.92,25137528.0,8,6
EDR概念,20250117,1.23,25968611.2,7,7
EDR概念,20250118,1.23,25968611.2,7,7
EDR概念,20250119,1.23,25968611.2,7,7
EDR概念,20250120,0.48,25973828.2,8,6
EDR概念,20250121,1.82,27187372.8,5,9
EDR概念,20250122,-2.9,26470521.6,0,14
EDR概念,20250123,-1.16,26148114.2,2,12
EDR概念,20250124,2.26,27103192.0,11,2
EDR概念,20250125,2.26,27103192.0,11,2
EDR概念,20250126,2.26,27103192.0,11,2
EDR概念,20250127,-1.81,27333342.4,5,9
EDR概念,20250128,-1.81,27333342.4,5,9
EDR概念,20250129,-1.81,27333342.4,5,9
EDR概念,20250130,-1.81,27333342.4,5,9
EDR概念,20250131,-1.81,27333342.4,5,9
EDR概念,20250201,-1.81,27333342.4,5,9
EDR概念,20250202,-1.81,27333342.4,5,9
EDR概念,20250203,-1.81,27333342.4,5,9
EDR概念,20250204,-1.81,27333342.4,5,9
EDR概念,20250205,3.01,28524862.4,13,1
EDR概念,20250206,6.1,30792977.6,14,0
EDR概念,20250207,1.22,31073766.4,11,3
EDR概念,20250208,1.22,31073766.4,11,3
EDR概念,20250209,1.22,31073766.4,11,3
EDR概念,20250210,3.09,32341673.6,13,1
EDR概念,20250211,-1.97,31126691.2,2,12
EDR概念,20250212,1.68,31498913.6,12,2
EDR概念,20250213,-3.21,30014305.6,0,14
EDR概念,20250214,0.89,30136932.8,8,6
EDR概念,20250215,0.89,30136932.8,8,6
