name,trade_date,pct_change,total_mv,up_num,down_num
ERP概念,20241220,3.36,23609201.1,16,1
ERP概念,20241221,3.36,23609201.1,16,1
ERP概念,20241222,3.36,23609201.1,16,1
ERP概念,20241223,-6.57,22309965.4,0,17
ERP概念,20241224,1.24,22432436.9,12,5
ERP概念,20241225,-3.21,22227946.4,2,15
ERP概念,20241226,2.21,22901023.8,13,3
ERP概念,20241227,1.39,22863913.8,11,6
ERP概念,20241228,1.39,22863913.8,11,6
ERP概念,20241229,1.39,22863913.8,11,6
ERP概念,20241230,-0.08,22834030.9,5,10
ERP概念,20241231,-4.14,21921875.8,2,14
ERP概念,20250101,-4.14,21921875.8,2,14
ERP概念,20250102,-2.11,21138278.5,2,14
ERP概念,20250103,-4.76,20419908.5,1,15
ERP概念,20250104,-4.76,20419908.5,1,15
ERP概念,20250105,-4.76,20419908.5,1,15
ERP概念,20250106,-0.75,20351838.7,6,10
ERP概念,20250107,4.29,20920969.2,17,0
ERP概念,20250108,0.51,20664390.8,6,11
ERP概念,20250109,2.11,21040131.5,16,1
ERP概念,20250110,-4.81,20259070.9,1,16
ERP概念,20250111,-4.81,20259070.9,1,16
ERP概念,20250112,-4.81,20259070.9,1,16
ERP概念,20250113,-0.23,20409130.5,10,7
ERP概念,20250114,5.96,21394193.5,17,0
ERP概念,20250115,-1.32,21210291.1,3,14
ERP概念,20250116,0.44,19176590.4,8,8
ERP概念,20250117,-0.62,19084951.6,3,13
ERP概念,20250118,-0.62,19084951.6,3,13
ERP概念,20250119,-0.62,19084951.6,3,13
ERP概念,20250120,0.04,21116913.6,13,4
ERP概念,20250121,1.84,21487766.1,10,7
ERP概念,20250122,0.03,21589225.1,4,13
ERP概念,20250123,3.02,21875225.3,10,6
ERP概念,20250124,6.12,23340926.0,15,2
ERP概念,20250125,6.12,23340926.0,15,2
ERP概念,20250126,6.12,23340926.0,15,2
ERP概念,20250127,0.88,23271960.5,8,9
ERP概念,20250128,0.88,23271960.5,8,9
ERP概念,20250129,0.88,23271960.5,8,9
ERP概念,20250130,0.88,23271960.5,8,9
ERP概念,20250131,0.88,23271960.5,8,9
ERP概念,20250201,0.88,23271960.5,8,9
ERP概念,20250202,0.88,23271960.5,8,9
ERP概念,20250203,0.88,23271960.5,8,9
ERP概念,20250204,0.88,23271960.5,8,9
ERP概念,20250205,4.1,24197903.3,14,3
ERP概念,20250206,2.9,24790196.4,14,3
ERP概念,20250207,1.7,25632317.5,12,5
ERP概念,20250208,1.7,25632317.5,12,5
ERP概念,20250209,1.7,25632317.5,12,5
ERP概念,20250210,3.82,26361857.4,14,3
ERP概念,20250211,0.25,26522940.0,5,11
ERP概念,20250212,4.38,28493968.0,17,0
ERP概念,20250213,-2.44,27994720.0,3,14
ERP概念,20250214,3.35,29370248.0,13,4
ERP概念,20250215,3.35,29370248.0,13,4
