name,trade_date,pct_change,total_mv,up_num,down_num
HIT电池,20241220,0.98,66939294.4,26,12
HIT电池,20241221,0.98,66939294.4,26,12
HIT电池,20241222,0.98,66939294.4,26,12
HIT电池,20241223,-3.86,66155766.4,4,34
HIT电池,20241224,1.47,67229966.4,29,8
HIT电池,20241225,-1.63,67224678.4,5,33
HIT电池,20241226,-0.08,66365835.2,15,22
HIT电池,20241227,0.6,66466075.2,20,17
HIT电池,20241228,0.6,66466075.2,20,17
HIT电池,20241229,0.6,66466075.2,20,17
HIT电池,20241230,-1.46,66609937.6,12,25
HIT电池,20241231,-2.31,65097846.4,4,34
HIT电池,20250101,-2.31,65097846.4,4,34
HIT电池,20250102,-2.56,63657644.8,2,36
HIT电池,20250103,-4.15,61546156.8,3,35
HIT电池,20250104,-4.15,61546156.8,3,35
HIT电池,20250105,-4.15,61546156.8,3,35
HIT电池,20250106,-1.35,60920553.6,15,21
HIT电池,20250107,2.16,61295372.8,32,5
HIT电池,20250108,-0.29,61222292.8,11,25
HIT电池,20250109,1.1,61110361.6,22,16
HIT电池,20250110,-4.15,58632256.0,1,38
HIT电池,20250111,-4.15,58632256.0,1,38
HIT电池,20250112,-4.15,58632256.0,1,38
HIT电池,20250113,0.35,59113870.4,29,9
HIT电池,20250114,4.35,61087852.8,38,1
HIT电池,20250115,0.83,61956852.8,21,16
HIT电池,20250116,1.24,62805142.4,29,7
HIT电池,20250117,-0.77,62324980.8,9,27
HIT电池,20250118,-0.77,62324980.8,9,27
HIT电池,20250119,-0.77,62324980.8,9,27
HIT电池,20250120,0.42,62058068.8,21,18
HIT电池,20250121,-1.53,60604392.0,8,31
HIT电池,20250122,-0.61,59966411.2,10,29
HIT电池,20250123,-0.51,59638534.4,10,27
HIT电池,20250124,1.6,61036739.2,33,5
HIT电池,20250125,1.6,61036739.2,33,5
HIT电池,20250126,1.6,61036739.2,33,5
HIT电池,20250127,-2.55,59982908.8,7,31
HIT电池,20250128,-2.55,59982908.8,7,31
HIT电池,20250129,-2.55,59982908.8,7,31
HIT电池,20250130,-2.55,59982908.8,7,31
HIT电池,20250131,-2.55,59982908.8,7,31
HIT电池,20250201,-2.55,59982908.8,7,31
HIT电池,20250202,-2.55,59982908.8,7,31
HIT电池,20250203,-2.55,59982908.8,7,31
HIT电池,20250204,-2.55,59982908.8,7,31
HIT电池,20250205,1.41,60071316.8,28,10
HIT电池,20250206,2.13,61460451.2,37,0
HIT电池,20250207,3.15,64243321.6,36,3
HIT电池,20250208,3.15,64243321.6,36,3
HIT电池,20250209,3.15,64243321.6,36,3
HIT电池,20250210,0.34,63550841.6,21,16
HIT电池,20250211,-1.58,62041196.8,6,33
HIT电池,20250212,1.02,62831921.6,34,5
HIT电池,20250213,-1.23,62078080.0,4,32
HIT电池,20250214,-0.03,62129299.2,18,19
HIT电池,20250215,-0.03,62129299.2,18,19
