name,trade_date,pct_change,total_mv,up_num,down_num
IPO受益,20241220,0.16,223633326.4,27,28
IPO受益,20241221,0.16,223633326.4,27,28
IPO受益,20241222,0.16,223633326.4,27,28
IPO受益,20241223,-3.2,222951278.4,9,48
IPO受益,20241224,1.2,225458025.6,41,16
IPO受益,20241225,-1.26,224927529.6,14,40
IPO受益,20241226,0.78,224324209.6,34,21
IPO受益,20241227,0.6,225119948.8,43,12
IPO受益,20241228,0.6,225119948.8,43,12
IPO受益,20241229,0.6,225119948.8,43,12
IPO受益,20241230,-0.83,225803307.2,15,40
IPO受益,20241231,-2.09,220886222.4,6,50
IPO受益,20250101,-2.09,220886222.4,6,50
IPO受益,20250102,-1.68,213821158.4,9,47
IPO受益,20250103,-3.3,210523555.2,6,51
IPO受益,20250104,-3.3,210523555.2,6,51
IPO受益,20250105,-3.3,210523555.2,6,51
IPO受益,20250106,-1.23,209241638.4,16,39
IPO受益,20250107,0.84,209476816.0,40,17
IPO受益,20250108,-0.41,209545120.0,16,40
IPO受益,20250109,-0.57,207782489.6,18,39
IPO受益,20250110,-1.84,204035931.2,10,46
IPO受益,20250111,-1.84,204035931.2,10,46
IPO受益,20250112,-1.84,204035931.2,10,46
IPO受益,20250113,0.31,203665499.2,28,24
IPO受益,20250114,3.86,208846572.8,57,0
IPO受益,20250115,-0.05,207405737.6,21,35
IPO受益,20250116,0.7,168018593.6,36,16
IPO受益,20250117,-0.46,168222196.8,21,33
IPO受益,20250118,-0.46,168222196.8,21,33
IPO受益,20250119,-0.46,168222196.8,21,33
IPO受益,20250120,0.72,209596548.8,41,11
IPO受益,20250121,-0.24,209657284.8,17,39
IPO受益,20250122,-1.26,206960361.6,12,44
IPO受益,20250123,0.23,209762630.4,28,27
IPO受益,20250124,0.85,211427672.0,45,9
IPO受益,20250125,0.85,211427672.0,45,9
IPO受益,20250126,0.85,211427672.0,45,9
IPO受益,20250127,0.0,211228336.0,35,22
IPO受益,20250128,0.0,211228336.0,35,22
IPO受益,20250129,0.0,211228336.0,35,22
IPO受益,20250130,0.0,211228336.0,35,22
IPO受益,20250131,0.0,211228336.0,35,22
IPO受益,20250201,0.0,211228336.0,35,22
IPO受益,20250202,0.0,211228336.0,35,22
IPO受益,20250203,0.0,211228336.0,35,22
IPO受益,20250204,0.0,211228336.0,35,22
IPO受益,20250205,0.47,208786180.8,29,27
IPO受益,20250206,1.49,211022059.2,47,8
IPO受益,20250207,1.27,213621518.4,44,11
IPO受益,20250208,1.27,213621518.4,44,11
IPO受益,20250209,1.27,213621518.4,44,11
IPO受益,20250210,1.2,214366225.6,38,17
IPO受益,20250211,0.16,213579492.8,22,32
IPO受益,20250212,1.39,216101318.4,38,17
IPO受益,20250213,-0.66,215963088.0,10,46
IPO受益,20250214,-0.55,216886062.4,21,33
IPO受益,20250215,-0.55,216886062.4,21,33
