name,trade_date,pct_change,total_mv,up_num,down_num
MLCC,20241220,1.28,18739401.8,12,1
MLCC,20241221,1.28,18739401.8,12,1
MLCC,20241222,1.28,18739401.8,12,1
MLCC,20241223,-4.2,18125325.9,0,13
MLCC,20241224,2.04,18741595.6,13,0
MLCC,20241225,-2.76,18365055.3,0,13
MLCC,20241226,2.57,18732064.0,12,1
MLCC,20241227,0.5,18666398.2,7,6
MLCC,20241228,0.5,18666398.2,7,6
MLCC,20241229,0.5,18666398.2,7,6
MLCC,20241230,-1.87,18449966.2,4,9
MLCC,20241231,-3.8,17911721.9,0,13
MLCC,20250101,-3.8,17911721.9,0,13
MLCC,20250102,-3.57,17227392.6,0,13
MLCC,20250103,-3.37,16805056.8,0,13
MLCC,20250104,-3.37,16805056.8,0,13
MLCC,20250105,-3.37,16805056.8,0,13
MLCC,20250106,-0.39,16771635.6,4,9
MLCC,20250107,2.51,17097370.6,12,1
MLCC,20250108,-1.52,16932227.0,0,12
MLCC,20250109,2.01,17345194.7,12,1
MLCC,20250110,-3.15,16915816.9,0,13
MLCC,20250111,-3.15,16915816.9,0,13
MLCC,20250112,-3.15,16915816.9,0,13
MLCC,20250113,0.74,16825654.0,10,3
MLCC,20250114,3.84,17261702.1,13,0
MLCC,20250115,-1.18,17104564.8,2,11
MLCC,20250116,-0.05,17001203.2,5,8
MLCC,20250117,1.71,17478767.0,13,0
MLCC,20250118,1.71,17478767.0,13,0
MLCC,20250119,1.71,17478767.0,13,0
MLCC,20250120,1.62,17575618.7,11,2
MLCC,20250121,-0.2,17631995.2,5,8
MLCC,20250122,-1.05,17485884.0,1,11
MLCC,20250123,-1.14,17299718.6,2,11
MLCC,20250124,1.1,17611303.2,10,3
MLCC,20250125,1.1,17611303.2,10,3
MLCC,20250126,1.1,17611303.2,10,3
MLCC,20250127,-1.68,17315315.5,0,13
MLCC,20250128,-1.68,17315315.5,0,13
MLCC,20250129,-1.68,17315315.5,0,13
MLCC,20250130,-1.68,17315315.5,0,13
MLCC,20250131,-1.68,17315315.5,0,13
MLCC,20250201,-1.68,17315315.5,0,13
MLCC,20250202,-1.68,17315315.5,0,13
MLCC,20250203,-1.68,17315315.5,0,13
MLCC,20250204,-1.68,17315315.5,0,13
MLCC,20250205,0.99,17367945.2,10,3
MLCC,20250206,3.13,17884187.0,13,0
MLCC,20250207,0.51,17772032.0,10,3
MLCC,20250208,0.51,17772032.0,10,3
MLCC,20250209,0.51,17772032.0,10,3
MLCC,20250210,0.91,17909723.7,10,3
MLCC,20250211,1.0,17869288.5,6,7
MLCC,20250212,0.84,18160310.8,11,1
MLCC,20250213,-1.37,17881407.3,3,10
MLCC,20250214,0.23,17807572.0,6,7
MLCC,20250215,0.23,17807572.0,6,7
