name,trade_date,pct_change,total_mv,up_num,down_num
MLOps概念,20241220,0.99,18745301.4,6,4
MLOps概念,20241221,0.99,18745301.4,6,4
MLOps概念,20241222,0.99,18745301.4,6,4
MLOps概念,20241223,-5.88,18027603.2,0,10
MLOps概念,20241224,-0.54,18045451.6,5,4
MLOps概念,20241225,-3.42,17972448.9,2,8
MLOps概念,20241226,0.75,18247718.4,9,1
MLOps概念,20241227,-0.24,17909517.8,7,3
MLOps概念,20241228,-0.24,17909517.8,7,3
MLOps概念,20241229,-0.24,17909517.8,7,3
MLOps概念,20241230,0.39,18198182.1,7,3
MLOps概念,20241231,-4.36,17783413.4,0,10
MLOps概念,20250101,-4.36,17783413.4,0,10
MLOps概念,20250102,-3.68,17279038.3,0,10
MLOps概念,20250103,-5.63,16560235.6,0,10
MLOps概念,20250104,-5.63,16560235.6,0,10
MLOps概念,20250105,-5.63,16560235.6,0,10
MLOps概念,20250106,-1.13,16118672.8,3,7
MLOps概念,20250107,3.09,16512803.2,10,0
MLOps概念,20250108,-0.73,16346376.2,2,8
MLOps概念,20250109,0.19,16452776.1,8,2
MLOps概念,20250110,-2.56,16210773.8,1,9
MLOps概念,20250111,-2.56,16210773.8,1,9
MLOps概念,20250112,-2.56,16210773.8,1,9
MLOps概念,20250113,1.28,16330291.9,8,2
MLOps概念,20250114,7.24,17307231.0,10,0
MLOps概念,20250115,-0.07,17064605.5,3,7
MLOps概念,20250116,2.01,17423656.2,8,2
MLOps概念,20250117,-1.56,17648778.1,2,8
MLOps概念,20250118,-1.56,17648778.1,2,8
MLOps概念,20250119,-1.56,17648778.1,2,8
MLOps概念,20250120,1.02,17926870.8,7,2
MLOps概念,20250121,0.23,18072753.3,5,5
MLOps概念,20250122,-1.18,17918724.1,1,9
MLOps概念,20250123,-0.05,17591708.8,4,6
MLOps概念,20250124,5.01,18458638.3,9,1
MLOps概念,20250125,5.01,18458638.3,9,1
MLOps概念,20250126,5.01,18458638.3,9,1
MLOps概念,20250127,-2.12,18364863.4,2,8
MLOps概念,20250128,-2.12,18364863.4,2,8
MLOps概念,20250129,-2.12,18364863.4,2,8
MLOps概念,20250130,-2.12,18364863.4,2,8
MLOps概念,20250131,-2.12,18364863.4,2,8
MLOps概念,20250201,-2.12,18364863.4,2,8
MLOps概念,20250202,-2.12,18364863.4,2,8
MLOps概念,20250203,-2.12,18364863.4,2,8
MLOps概念,20250204,-2.12,18364863.4,2,8
MLOps概念,20250205,7.28,19641985.6,10,0
MLOps概念,20250206,4.79,20066159.0,10,0
MLOps概念,20250207,2.19,20152369.2,7,3
MLOps概念,20250208,2.19,20152369.2,7,3
MLOps概念,20250209,2.19,20152369.2,7,3
MLOps概念,20250210,7.69,20861739.7,10,0
MLOps概念,20250211,-2.61,20205841.2,1,9
MLOps概念,20250212,1.49,20520240.0,9,1
MLOps概念,20250213,0.51,20245977.8,4,6
MLOps概念,20250214,4.66,20665329.8,9,1
MLOps概念,20250215,4.66,20665329.8,9,1
