name,trade_date,pct_change,total_mv,up_num,down_num
PLC概念,20241220,1.37,32582024.0,7,2
PLC概念,20241221,1.37,32582024.0,7,2
PLC概念,20241222,1.37,32582024.0,7,2
PLC概念,20241223,-3.8,31783001.6,0,9
PLC概念,20241224,1.7,32159371.2,9,0
PLC概念,20241225,-0.82,32365547.2,3,6
PLC概念,20241226,3.04,33257043.2,9,0
PLC概念,20241227,0.36,32887116.8,4,5
PLC概念,20241228,0.36,32887116.8,4,5
PLC概念,20241229,0.36,32887116.8,4,5
PLC概念,20241230,-0.39,33111025.6,5,3
PLC概念,20241231,-1.82,32223227.2,1,8
PLC概念,20250101,-1.82,32223227.2,1,8
PLC概念,20250102,-1.34,31101086.4,1,8
PLC概念,20250103,-2.8,30465232.0,1,8
PLC概念,20250104,-2.8,30465232.0,1,8
PLC概念,20250105,-2.8,30465232.0,1,8
PLC概念,20250106,0.93,30427358.4,4,5
PLC概念,20250107,4.12,31097699.2,9,0
PLC概念,20250108,0.58,30918168.0,4,5
PLC概念,20250109,3.02,31267297.6,9,0
PLC概念,20250110,-1.17,31781859.2,3,5
PLC概念,20250111,-1.17,31781859.2,3,5
PLC概念,20250112,-1.17,31781859.2,3,5
PLC概念,20250113,-1.85,31327860.8,2,7
PLC概念,20250114,4.84,32918729.6,8,1
PLC概念,20250115,-2.21,32413923.2,1,8
PLC概念,20250116,-0.46,30261676.8,2,7
PLC概念,20250117,0.54,30327632.0,5,4
PLC概念,20250118,0.54,30327632.0,5,4
PLC概念,20250119,0.54,30327632.0,5,4
PLC概念,20250120,0.09,32244916.8,5,4
PLC概念,20250121,2.84,33025900.8,9,0
PLC概念,20250122,-0.41,32964971.2,4,5
PLC概念,20250123,-0.98,33055073.6,4,4
PLC概念,20250124,1.69,33938900.8,8,1
PLC概念,20250125,1.69,33938900.8,8,1
PLC概念,20250126,1.69,33938900.8,8,1
PLC概念,20250127,-3.65,32700604.8,0,9
PLC概念,20250128,-3.65,32700604.8,0,9
PLC概念,20250129,-3.65,32700604.8,0,9
PLC概念,20250130,-3.65,32700604.8,0,9
PLC概念,20250131,-3.65,32700604.8,0,9
PLC概念,20250201,-3.65,32700604.8,0,9
PLC概念,20250202,-3.65,32700604.8,0,9
PLC概念,20250203,-3.65,32700604.8,0,9
PLC概念,20250204,-3.65,32700604.8,0,9
PLC概念,20250205,2.92,33867972.8,9,0
PLC概念,20250206,5.71,36255459.2,9,0
PLC概念,20250207,-0.12,36413188.8,1,8
PLC概念,20250208,-0.12,36413188.8,1,8
PLC概念,20250209,-0.12,36413188.8,1,8
PLC概念,20250210,0.65,36339416.0,5,4
PLC概念,20250211,-0.27,36360304.0,2,6
PLC概念,20250212,2.19,37260446.4,7,2
PLC概念,20250213,-3.84,35720516.8,0,9
PLC概念,20250214,1.46,37007649.6,5,4
PLC概念,20250215,1.46,37007649.6,5,4
