name,trade_date,pct_change,total_mv,up_num,down_num
RCEP概念,20241220,1.17,20218045.2,14,7
RCEP概念,20241221,1.17,20218045.2,14,7
RCEP概念,20241222,1.17,20218045.2,14,7
RCEP概念,20241223,-3.81,19678719.3,3,20
RCEP概念,20241224,1.38,19895002.6,18,5
RCEP概念,20241225,-1.48,19698871.9,5,17
RCEP概念,20241226,1.87,19979986.2,14,8
RCEP概念,20241227,0.57,20074054.9,16,7
RCEP概念,20241228,0.57,20074054.9,16,7
RCEP概念,20241229,0.57,20074054.9,16,7
RCEP概念,20241230,-1.68,19910040.5,4,19
RCEP概念,20241231,-1.62,19745131.8,6,17
RCEP概念,20250101,-1.62,19745131.8,6,17
RCEP概念,20250102,-0.18,19512494.7,10,13
RCEP概念,20250103,-4.15,18810328.8,1,22
RCEP概念,20250104,-4.15,18810328.8,1,22
RCEP概念,20250105,-4.15,18810328.8,1,22
RCEP概念,20250106,-1.08,18663083.7,11,12
RCEP概念,20250107,1.69,18987360.5,17,5
RCEP概念,20250108,0.68,19034836.0,11,11
RCEP概念,20250109,-0.09,20349017.2,10,14
RCEP概念,20250110,-3.18,19820837.9,3,21
RCEP概念,20250111,-3.18,19820837.9,3,21
RCEP概念,20250112,-3.18,19820837.9,3,21
RCEP概念,20250113,0.09,19814849.1,8,13
RCEP概念,20250114,4.47,20696519.5,24,0
RCEP概念,20250115,-0.17,20528661.1,11,13
RCEP概念,20250116,1.74,19895309.7,20,4
RCEP概念,20250117,-0.5,19856575.4,10,11
RCEP概念,20250118,-0.5,19856575.4,10,11
RCEP概念,20250119,-0.5,19856575.4,10,11
RCEP概念,20250120,0.39,20788690.3,17,7
RCEP概念,20250121,0.0,20798075.9,5,19
RCEP概念,20250122,-0.7,20754909.5,4,20
RCEP概念,20250123,0.24,20809212.3,15,8
RCEP概念,20250124,0.62,20855073.1,14,9
RCEP概念,20250125,0.62,20855073.1,14,9
RCEP概念,20250126,0.62,20855073.1,14,9
RCEP概念,20250127,-1.21,20698101.6,12,11
RCEP概念,20250128,-1.21,20698101.6,12,11
RCEP概念,20250129,-1.21,20698101.6,12,11
RCEP概念,20250130,-1.21,20698101.6,12,11
RCEP概念,20250131,-1.21,20698101.6,12,11
RCEP概念,20250201,-1.21,20698101.6,12,11
RCEP概念,20250202,-1.21,20698101.6,12,11
RCEP概念,20250203,-1.21,20698101.6,12,11
RCEP概念,20250204,-1.21,20698101.6,12,11
RCEP概念,20250205,-0.61,20489344.4,8,16
RCEP概念,20250206,1.65,20775858.4,21,2
RCEP概念,20250207,1.95,21130691.5,20,3
RCEP概念,20250208,1.95,21130691.5,20,3
RCEP概念,20250209,1.95,21130691.5,20,3
RCEP概念,20250210,2.27,21449199.1,17,6
RCEP概念,20250211,-0.19,21382604.7,12,12
RCEP概念,20250212,0.6,21554211.8,12,9
RCEP概念,20250213,-0.47,21438158.6,7,14
RCEP概念,20250214,-0.64,21310910.9,7,17
RCEP概念,20250215,-0.64,21310910.9,7,17
