name,trade_date,pct_change,total_mv,up_num,down_num
REITs概念,20241220,0.23,88361252.8,9,14
REITs概念,20241221,0.23,88361252.8,9,14
REITs概念,20241222,0.23,88361252.8,9,14
REITs概念,20241223,-3.13,87489561.6,4,21
REITs概念,20241224,0.31,88102396.8,16,7
REITs概念,20241225,-1.15,87287444.8,6,19
REITs概念,20241226,0.2,86941364.8,10,13
REITs概念,20241227,0.97,87550809.6,21,4
REITs概念,20241228,0.97,87550809.6,21,4
REITs概念,20241229,0.97,87550809.6,21,4
REITs概念,20241230,-1.32,86985859.2,5,18
REITs概念,20241231,-1.56,85760144.0,3,22
REITs概念,20250101,-1.56,85760144.0,3,22
REITs概念,20250102,-1.42,83393468.8,6,19
REITs概念,20250103,-3.29,82041097.6,2,23
REITs概念,20250104,-3.29,82041097.6,2,23
REITs概念,20250105,-3.29,82041097.6,2,23
REITs概念,20250106,-1.35,81975262.4,7,15
REITs概念,20250107,1.46,82830912.0,19,6
REITs概念,20250108,-0.07,82282163.2,9,12
REITs概念,20250109,-0.59,82114043.2,6,17
REITs概念,20250110,-2.87,80508859.2,0,24
REITs概念,20250111,-2.87,80508859.2,0,24
REITs概念,20250112,-2.87,80508859.2,0,24
REITs概念,20250113,0.33,81248747.2,15,9
REITs概念,20250114,3.33,83292302.4,25,0
REITs概念,20250115,-0.58,82839100.8,5,20
REITs概念,20250116,0.69,78232400.0,20,5
REITs概念,20250117,0.0,78268910.4,8,14
REITs概念,20250118,0.0,78268910.4,8,14
REITs概念,20250119,0.0,78268910.4,8,14
REITs概念,20250120,0.11,82447504.0,11,10
REITs概念,20250121,0.34,83002587.2,11,13
REITs概念,20250122,-2.0,81387688.0,4,20
REITs概念,20250123,0.81,82050296.0,15,8
REITs概念,20250124,0.14,82243003.2,13,9
REITs概念,20250127,-0.97,81850953.6,10,14
REITs概念,20250128,-0.97,81850953.6,10,14
REITs概念,20250129,-0.97,81850953.6,10,14
REITs概念,20250130,-0.97,81850953.6,10,14
REITs概念,20250131,-0.97,81850953.6,10,14
REITs概念,20250201,-0.97,81850953.6,10,14
REITs概念,20250202,-0.97,81850953.6,10,14
REITs概念,20250203,-0.97,81850953.6,10,14
REITs概念,20250204,-0.97,81850953.6,10,14
REITs概念,20250205,0.2,81412486.4,10,13
REITs概念,20250206,1.04,82371494.4,23,2
REITs概念,20250207,1.94,83854835.2,24,1
REITs概念,20250208,1.94,83854835.2,24,1
REITs概念,20250209,1.94,83854835.2,24,1
REITs概念,20250210,1.94,84294032.0,22,2
REITs概念,20250211,-1.03,83343294.4,7,18
REITs概念,20250212,2.35,85141406.4,19,3
REITs概念,20250213,0.31,85067009.6,10,10
REITs概念,20250214,-1.08,84836708.8,5,19
REITs概念,20250215,-1.08,84836708.8,5,19
