name,trade_date,pct_change,total_mv,up_num,down_num
SPD概念,20241220,1.5,7557105.9,8,2
SPD概念,20241221,1.5,7557105.9,8,2
SPD概念,20241222,1.5,7557105.9,8,2
SPD概念,20241223,-6.03,7162773.6,0,11
SPD概念,20241224,-1.45,7057896.4,6,5
SPD概念,20241225,-1.79,6918885.1,2,9
SPD概念,20241226,-0.7,6867297.8,4,6
SPD概念,20241227,1.11,6942001.5,9,2
SPD概念,20241228,1.11,6942001.5,9,2
SPD概念,20241229,1.11,6942001.5,9,2
SPD概念,20241230,-1.69,6829284.8,1,10
SPD概念,20241231,-2.13,6656440.9,1,10
SPD概念,20250101,-2.13,6656440.9,1,10
SPD概念,20250102,-1.31,6521439.4,1,10
SPD概念,20250103,-4.0,6296782.2,0,11
SPD概念,20250104,-4.0,6296782.2,0,11
SPD概念,20250105,-4.0,6296782.2,0,11
SPD概念,20250106,2.13,6450277.4,9,2
SPD概念,20250107,-1.08,6381193.5,3,8
SPD概念,20250108,0.11,6374105.3,5,6
SPD概念,20250109,-0.26,6344885.0,5,6
SPD概念,20250110,-3.49,6163803.3,0,11
SPD概念,20250111,-3.49,6163803.3,0,11
SPD概念,20250112,-3.49,6163803.3,0,11
SPD概念,20250113,-0.12,6140001.2,5,4
SPD概念,20250114,4.02,6383524.3,11,0
SPD概念,20250115,-0.06,6363479.2,5,5
SPD概念,20250116,0.33,6254792.2,9,2
SPD概念,20250117,-0.48,6240685.5,6,4
SPD概念,20250118,-0.48,6240685.5,6,4
SPD概念,20250119,-0.48,6240685.5,6,4
SPD概念,20250120,1.65,6428496.4,10,1
SPD概念,20250121,-1.66,6311270.4,0,11
SPD概念,20250122,-1.38,6244469.4,1,10
SPD概念,20250123,-0.03,6231702.9,4,5
SPD概念,20250124,1.02,6327286.6,7,3
SPD概念,20250125,1.02,6327286.6,7,3
SPD概念,20250126,1.02,6327286.6,7,3
SPD概念,20250127,0.79,6325402.9,6,5
SPD概念,20250128,0.79,6325402.9,6,5
SPD概念,20250129,0.79,6325402.9,6,5
SPD概念,20250130,0.79,6325402.9,6,5
SPD概念,20250131,0.79,6325402.9,6,5
SPD概念,20250201,0.79,6325402.9,6,5
SPD概念,20250202,0.79,6325402.9,6,5
SPD概念,20250203,0.79,6325402.9,6,5
SPD概念,20250204,0.79,6325402.9,6,5
SPD概念,20250205,2.43,6514712.3,9,2
SPD概念,20250206,1.38,6604341.8,11,0
SPD概念,20250207,4.04,6869513.3,11,0
SPD概念,20250208,4.04,6869513.3,11,0
SPD概念,20250209,4.04,6869513.3,11,0
SPD概念,20250210,3.97,7118150.8,11,0
SPD概念,20250211,-2.0,6977818.7,1,10
SPD概念,20250212,0.84,7049594.7,8,2
SPD概念,20250213,-0.32,7017698.7,3,7
SPD概念,20250214,4.86,7380420.2,10,1
SPD概念,20250215,4.86,7380420.2,10,1
