name,trade_date,pct_change,total_mv,up_num,down_num
Web3.0,20241220,1.06,50155768.0,34,13
Web3.0,20241221,1.06,50155768.0,34,13
Web3.0,20241222,1.06,50155768.0,34,13
Web3.0,20241223,-6.96,46896038.4,1,46
Web3.0,20241224,0.27,47028051.2,18,25
Web3.0,20241225,-3.57,45780652.8,4,43
Web3.0,20241226,1.51,46453289.6,38,8
Web3.0,20241227,0.03,46478011.2,22,25
Web3.0,20241228,0.03,46478011.2,22,25
Web3.0,20241229,0.03,46478011.2,22,25
Web3.0,20241230,0.13,46758408.0,24,22
Web3.0,20241231,-4.82,44379272.0,3,44
Web3.0,20250101,-4.82,44379272.0,3,44
Web3.0,20250102,-1.9,43240680.0,12,35
Web3.0,20250103,-5.95,40786358.4,2,45
Web3.0,20250104,-5.95,40786358.4,2,45
Web3.0,20250105,-5.95,40786358.4,2,45
Web3.0,20250106,-2.48,39810974.4,8,39
Web3.0,20250107,3.43,40959520.0,46,1
Web3.0,20250108,-0.22,40805548.8,19,26
Web3.0,20250109,1.1,41192990.4,40,5
Web3.0,20250110,-4.3,39524176.0,2,45
Web3.0,20250111,-4.3,39524176.0,2,45
Web3.0,20250112,-4.3,39524176.0,2,45
Web3.0,20250113,0.13,39729083.2,26,19
Web3.0,20250114,8.33,43061464.0,47,0
Web3.0,20250115,1.67,43615876.8,24,22
Web3.0,20250116,0.39,43698678.4,25,21
Web3.0,20250117,-1.19,43168691.2,16,30
Web3.0,20250118,-1.19,43168691.2,16,30
Web3.0,20250119,-1.19,43168691.2,16,30
Web3.0,20250120,0.15,43250468.8,29,16
Web3.0,20250121,0.05,43393273.6,25,22
Web3.0,20250122,-2.19,42220470.4,6,41
Web3.0,20250123,-0.39,41987902.4,22,23
Web3.0,20250124,4.96,43781403.2,45,2
Web3.0,20250125,4.96,43781403.2,45,2
Web3.0,20250126,4.96,43781403.2,45,2
Web3.0,20250127,-0.29,43626632.0,17,30
Web3.0,20250128,-0.29,43626632.0,17,30
Web3.0,20250129,-0.29,43626632.0,17,30
Web3.0,20250130,-0.29,43626632.0,17,30
Web3.0,20250131,-0.29,43626632.0,17,30
Web3.0,20250201,-0.29,43626632.0,17,30
Web3.0,20250202,-0.29,43626632.0,17,30
Web3.0,20250203,-0.29,43626632.0,17,30
Web3.0,20250204,-0.29,43626632.0,17,30
Web3.0,20250205,6.38,47009347.2,46,1
Web3.0,20250206,3.35,48435204.8,44,3
Web3.0,20250207,2.24,49512691.2,38,9
Web3.0,20250208,2.24,49512691.2,38,9
Web3.0,20250209,2.24,49512691.2,38,9
Web3.0,20250210,4.44,51397035.2,45,2
Web3.0,20250211,-0.59,50792905.6,17,30
Web3.0,20250212,1.51,51632462.4,37,10
Web3.0,20250213,0.72,51711686.4,22,25
Web3.0,20250214,2.2,52591630.4,35,12
Web3.0,20250215,2.2,52591630.4,35,12
