name,trade_date,pct_change,total_mv,up_num,down_num
上证50_,20241220,-0.5,2681533465.6,10,39
上证50_,20241221,-0.5,2681533465.6,10,39
上证50_,20241222,-0.5,2681533465.6,10,39
上证50_,20241223,0.79,2719480729.6,37,13
上证50_,20241224,1.18,2752845209.6,47,3
上证50_,20241225,0.28,2776732851.2,24,26
上证50_,20241226,-0.24,2765532774.4,16,33
上证50_,20241227,-0.05,2763162163.2,24,26
上证50_,20241228,-0.05,2763162163.2,24,26
上证50_,20241229,-0.05,2763162163.2,24,26
上证50_,20241230,0.65,2786277606.4,35,14
上证50_,20241231,-1.31,2763813785.6,8,42
上证50_,20250101,-1.31,2763813785.6,8,42
上证50_,20250102,-2.97,2688997145.6,1,49
上证50_,20250103,-1.04,2667162982.4,9,40
上证50_,20250104,-1.04,2667162982.4,9,40
上证50_,20250105,-1.04,2667162982.4,9,40
上证50_,20250106,-0.21,2659686092.8,18,29
上证50_,20250107,0.76,2669469721.6,24,24
上证50_,20250108,0.07,2677288678.4,26,24
上证50_,20250109,-0.82,2650342579.2,11,39
上证50_,20250110,-1.03,2630180889.6,10,39
上证50_,20250111,-1.03,2630180889.6,10,39
上证50_,20250112,-1.03,2630180889.6,10,39
上证50_,20250113,-0.35,2616640204.8,17,32
上证50_,20250114,2.03,2652588211.2,48,2
上证50_,20250115,-0.44,2649923302.4,16,33
上证50_,20250116,-0.28,2014314035.2,30,20
上证50_,20250117,0.01,2009268377.6,24,24
上证50_,20250118,0.01,2009268377.6,24,24
上证50_,20250119,0.01,2009268377.6,24,24
上证50_,20250120,0.15,2639534694.4,19,29
上证50_,20250121,-0.27,2630152396.8,20,28
上证50_,20250122,-1.13,2598438220.8,9,41
上证50_,20250123,0.65,2628154777.6,37,13
上证50_,20250124,0.79,2631791718.4,33,14
上证50_,20250125,0.79,2631791718.4,33,14
上证50_,20250126,0.79,2631791718.4,33,14
上证50_,20250127,0.07,2652514816.0,26,23
上证50_,20250128,0.07,2652514816.0,26,23
上证50_,20250129,0.07,2652514816.0,26,23
上证50_,20250130,0.07,2652514816.0,26,23
上证50_,20250131,0.07,2652514816.0,26,23
上证50_,20250201,0.07,2652514816.0,26,23
上证50_,20250202,0.07,2652514816.0,26,23
上证50_,20250203,0.07,2652514816.0,26,23
上证50_,20250204,0.07,2652514816.0,26,23
上证50_,20250205,-0.45,2617954534.4,12,38
上证50_,20250206,0.87,2632304358.4,37,11
上证50_,20250207,1.32,2647464320.0,36,12
上证50_,20250208,1.32,2647464320.0,36,12
上证50_,20250209,1.32,2647464320.0,36,12
上证50_,20250210,0.61,2659772441.6,26,20
上证50_,20250211,-0.42,2664866048.0,15,32
上证50_,20250212,0.89,2685600435.2,37,12
上证50_,20250213,-0.2,2685832499.2,20,28
上证50_,20250214,0.77,2702456524.8,36,10
上证50_,20250215,0.77,2702456524.8,36,10
