name,trade_date,pct_change,total_mv,up_num,down_num
世界杯,20241220,1.43,262227843.2,11,8
世界杯,20241221,1.43,262227843.2,11,8
世界杯,20241222,1.43,262227843.2,11,8
世界杯,20241223,-4.49,267032508.8,3,16
世界杯,20241224,0.56,269658763.2,12,7
世界杯,20241225,-2.58,270737312.0,2,17
世界杯,20241226,0.94,268243324.8,12,7
世界杯,20241227,-0.21,268516185.6,9,9
世界杯,20241228,-0.21,268516185.6,9,9
世界杯,20241229,-0.21,268516185.6,9,9
世界杯,20241230,-1.58,272587017.6,3,16
世界杯,20241231,-2.82,276041585.6,3,16
世界杯,20250101,-2.82,276041585.6,3,16
世界杯,20250102,-0.82,269189099.2,5,14
世界杯,20250103,-3.79,266894750.4,2,17
世界杯,20250104,-3.79,266894750.4,2,17
世界杯,20250105,-3.79,266894750.4,2,17
世界杯,20250106,-0.82,260868806.4,8,11
世界杯,20250107,2.34,261306296.0,17,2
世界杯,20250108,0.73,263254134.4,10,8
世界杯,20250109,0.58,259250608.0,9,10
世界杯,20250110,-2.69,257068868.8,2,17
世界杯,20250111,-2.69,257068868.8,2,17
世界杯,20250112,-2.69,257068868.8,2,17
世界杯,20250113,-1.09,254680339.2,4,14
世界杯,20250114,4.87,255375648.0,18,1
世界杯,20250115,0.64,255310361.6,11,8
世界杯,20250116,1.07,30906920.0,11,6
世界杯,20250117,-0.49,30931884.8,6,11
世界杯,20250118,-0.49,30931884.8,6,11
世界杯,20250119,-0.49,30931884.8,6,11
世界杯,20250120,1.02,256134200.0,12,6
世界杯,20250121,1.41,253675385.6,11,6
世界杯,20250122,-1.82,255897667.2,4,15
世界杯,20250123,-0.22,258443534.4,7,11
世界杯,20250124,2.18,257641112.0,15,4
世界杯,20250125,2.18,257641112.0,15,4
世界杯,20250126,2.18,257641112.0,15,4
世界杯,20250127,-1.04,261638156.8,6,13
世界杯,20250128,-1.04,261638156.8,6,13
世界杯,20250129,-1.04,261638156.8,6,13
世界杯,20250130,-1.04,261638156.8,6,13
世界杯,20250131,-1.04,261638156.8,6,13
世界杯,20250201,-1.04,261638156.8,6,13
世界杯,20250202,-1.04,261638156.8,6,13
世界杯,20250203,-1.04,261638156.8,6,13
世界杯,20250204,-1.04,261638156.8,6,13
世界杯,20250205,1.06,255700683.2,12,7
世界杯,20250206,1.73,255877412.8,15,3
世界杯,20250207,0.71,255605172.8,11,8
世界杯,20250208,0.71,255605172.8,11,8
世界杯,20250209,0.71,255605172.8,11,8
世界杯,20250210,1.66,259617544.0,14,4
世界杯,20250211,0.47,259267446.4,9,10
世界杯,20250212,1.45,261610998.4,14,4
世界杯,20250213,-0.04,261555414.4,6,11
世界杯,20250214,-0.07,265859598.4,9,9
世界杯,20250215,-0.07,265859598.4,9,9
