name,trade_date,pct_change,total_mv,up_num,down_num
中芯概念,20241220,2.36,234381348.8,53,8
中芯概念,20241221,2.36,234381348.8,53,8
中芯概念,20241222,2.36,234381348.8,53,8
中芯概念,20241223,-2.44,231858187.2,9,52
中芯概念,20241224,1.26,235249782.4,48,12
中芯概念,20241225,-1.92,233676596.8,8,53
中芯概念,20241226,1.39,235119275.2,42,16
中芯概念,20241227,-0.76,235010203.2,21,40
中芯概念,20241228,-0.76,235010203.2,21,40
中芯概念,20241229,-0.76,235010203.2,21,40
中芯概念,20241230,-0.88,235854036.8,16,45
中芯概念,20241231,-4.01,226032254.4,3,58
中芯概念,20250101,-4.01,226032254.4,3,58
中芯概念,20250102,-3.72,216637494.4,1,60
中芯概念,20250103,-2.41,212805625.6,8,52
中芯概念,20250104,-2.41,212805625.6,8,52
中芯概念,20250105,-2.41,212805625.6,8,52
中芯概念,20250106,-0.52,211646953.6,19,41
中芯概念,20250107,2.87,218544440.0,58,3
中芯概念,20250108,-0.41,215950928.0,14,46
中芯概念,20250109,0.43,218243352.0,41,20
中芯概念,20250110,-1.26,218994230.4,10,50
中芯概念,20250111,-1.26,218994230.4,10,50
中芯概念,20250112,-1.26,218994230.4,10,50
中芯概念,20250113,0.0,220070940.8,35,25
中芯概念,20250114,5.08,229890568.0,61,0
中芯概念,20250115,-0.58,228748110.4,14,46
中芯概念,20250116,0.27,169190769.6,37,24
中芯概念,20250117,2.35,172407100.8,54,7
中芯概念,20250118,2.35,172407100.8,54,7
中芯概念,20250119,2.35,172407100.8,54,7
中芯概念,20250120,-0.21,232750987.2,31,28
中芯概念,20250121,0.85,234788859.2,36,24
中芯概念,20250122,-1.21,232815131.2,13,49
中芯概念,20250123,-0.92,228678251.2,20,42
中芯概念,20250124,1.32,230637078.4,52,10
中芯概念,20250125,1.32,230637078.4,52,10
中芯概念,20250126,1.32,230637078.4,52,10
中芯概念,20250127,-2.31,224350264.0,5,57
中芯概念,20250128,-2.31,224350264.0,5,57
中芯概念,20250129,-2.31,224350264.0,5,57
中芯概念,20250130,-2.31,224350264.0,5,57
中芯概念,20250131,-2.31,224350264.0,5,57
中芯概念,20250201,-2.31,224350264.0,5,57
中芯概念,20250202,-2.31,224350264.0,5,57
中芯概念,20250203,-2.31,224350264.0,5,57
中芯概念,20250204,-2.31,224350264.0,5,57
中芯概念,20250205,1.52,232396100.8,52,10
中芯概念,20250206,4.35,242038924.8,61,1
中芯概念,20250207,0.69,241195408.0,40,22
中芯概念,20250208,0.69,241195408.0,40,22
中芯概念,20250209,0.69,241195408.0,40,22
中芯概念,20250210,1.04,243118937.6,35,26
中芯概念,20250211,-0.9,239685950.4,11,50
中芯概念,20250212,2.96,247913929.6,60,2
中芯概念,20250213,-2.47,241987150.4,5,57
中芯概念,20250214,-0.68,240377811.2,20,41
中芯概念,20250215,-0.68,240377811.2,20,41
