name,trade_date,pct_change,total_mv,up_num,down_num
中证500,20241220,0.2,1344082355.2,241,242
中证500,20241221,0.2,1344082355.2,241,242
中证500,20241222,0.2,1344082355.2,241,242
中证500,20241223,-1.62,1323721190.4,88,407
中证500,20241224,1.38,1341945702.4,442,49
中证500,20241225,-0.96,1330235750.4,115,373
中证500,20241226,0.53,1338502988.8,246,225
中证500,20241227,0.33,1342088652.8,311,179
中证500,20241228,0.33,1342088652.8,311,179
中证500,20241229,0.33,1342088652.8,311,179
中证500,20241230,-0.08,1341375923.2,211,271
中证500,20241231,-2.7,1304821990.4,36,463
中证500,20250101,-2.7,1304821990.4,36,463
中证500,20250102,-2.94,1265496883.2,33,464
中证500,20250103,-1.94,1240846438.4,70,425
中证500,20250104,-1.94,1240846438.4,70,425
中证500,20250105,-1.94,1240846438.4,70,425
中证500,20250106,0.14,1241067622.4,264,218
中证500,20250107,0.7,1254693836.8,305,185
中证500,20250108,-0.53,1249586739.2,131,359
中证500,20250109,-0.22,1246780211.2,168,320
中证500,20250110,-1.62,1227119667.2,58,437
中证500,20250111,-1.62,1227119667.2,58,437
中证500,20250112,-1.62,1227119667.2,58,437
中证500,20250113,0.36,1230074496.0,322,168
中证500,20250114,3.28,1271601228.8,496,3
中证500,20250115,-0.85,1260124697.6,98,388
中证500,20250116,0.41,1240405324.8,298,184
中证500,20250117,0.71,1249876684.8,318,151
中证500,20250118,0.71,1249876684.8,318,151
中证500,20250119,0.71,1249876684.8,318,151
中证500,20250120,0.4,1280184115.2,284,191
中证500,20250121,0.12,1283464422.4,194,295
中证500,20250122,-0.6,1277042713.6,121,365
中证500,20250123,-0.18,1287649024.0,209,265
中证500,20250124,1.04,1301026892.8,400,88
中证500,20250125,1.04,1301026892.8,400,88
中证500,20250126,1.04,1301026892.8,400,88
中证500,20250127,-0.74,1289649920.0,186,302
中证500,20250128,-0.74,1289649920.0,186,302
中证500,20250129,-0.74,1289649920.0,186,302
中证500,20250130,-0.74,1289649920.0,186,302
中证500,20250131,-0.74,1289649920.0,186,302
中证500,20250201,-0.74,1289649920.0,186,302
中证500,20250202,-0.74,1289649920.0,186,302
中证500,20250203,-0.74,1289649920.0,186,302
中证500,20250204,-0.74,1289649920.0,186,302
中证500,20250205,0.36,1291656012.8,229,258
中证500,20250206,2.12,1320077644.8,414,69
中证500,20250207,1.42,1338167193.6,405,90
中证500,20250208,1.42,1338167193.6,405,90
中证500,20250209,1.42,1338167193.6,405,90
中证500,20250210,0.94,1350067558.4,303,169
中证500,20250211,-0.51,1343713689.6,145,345
中证500,20250212,1.26,1361400473.6,350,116
中证500,20250213,-0.58,1352864256.0,129,351
中证500,20250214,0.82,1363506611.2,271,204
中证500,20250215,0.82,1363506611.2,271,204
