name,trade_date,pct_change,total_mv,up_num,down_num
互联医疗,20241220,1.05,508150784.0,71,24
互联医疗,20241221,1.05,508150784.0,71,24
互联医疗,20241222,1.05,508150784.0,71,24
互联医疗,20241223,-4.49,509417728.0,5,96
互联医疗,20241224,0.38,514229350.4,64,31
互联医疗,20241225,-1.93,513617459.2,19,81
互联医疗,20241226,0.49,510379161.6,55,39
互联医疗,20241227,0.26,510227097.6,65,36
互联医疗,20241228,0.26,510227097.6,65,36
互联医疗,20241229,0.26,510227097.6,65,36
互联医疗,20241230,-1.14,514575513.6,27,74
互联医疗,20241231,-2.61,511698585.6,10,90
互联医疗,20250101,-2.61,511698585.6,10,90
互联医疗,20250102,-2.64,496287820.8,7,92
互联医疗,20250103,-3.45,489460889.6,6,95
互联医疗,20250104,-3.45,489460889.6,6,95
互联医疗,20250105,-3.45,489460889.6,6,95
互联医疗,20250106,0.05,483576806.4,48,50
互联医疗,20250107,1.07,484882636.8,62,40
互联医疗,20250108,0.01,485574451.2,40,58
互联医疗,20250109,0.07,480502604.8,47,54
互联医疗,20250110,-2.89,473847040.0,7,94
互联医疗,20250111,-2.89,473847040.0,7,94
互联医疗,20250112,-2.89,473847040.0,7,94
互联医疗,20250113,0.31,471678668.8,57,43
互联医疗,20250114,4.47,478509158.4,101,1
互联医疗,20250115,-0.8,476619033.6,18,81
互联医疗,20250116,0.39,212860393.6,63,35
互联医疗,20250117,-0.43,212899988.8,41,55
互联医疗,20250118,-0.43,212899988.8,41,55
互联医疗,20250119,-0.43,212899988.8,41,55
互联医疗,20250120,0.47,478910822.4,71,27
互联医疗,20250121,-0.44,476303974.4,27,71
互联医疗,20250122,-0.87,475503027.2,18,83
互联医疗,20250123,-0.25,480333568.0,47,48
互联医疗,20250124,2.19,482744115.2,87,13
互联医疗,20250125,2.19,482744115.2,87,13
互联医疗,20250126,2.19,482744115.2,87,13
互联医疗,20250127,-0.82,486274636.8,36,62
互联医疗,20250128,-0.82,486274636.8,36,62
互联医疗,20250129,-0.82,486274636.8,36,62
互联医疗,20250130,-0.82,486274636.8,36,62
互联医疗,20250131,-0.82,486274636.8,36,62
互联医疗,20250201,-0.82,486274636.8,36,62
互联医疗,20250202,-0.82,486274636.8,36,62
互联医疗,20250203,-0.82,486274636.8,36,62
互联医疗,20250204,-0.82,486274636.8,36,62
互联医疗,20250205,3.33,483008947.2,89,13
互联医疗,20250206,2.09,486605337.6,89,8
互联医疗,20250207,2.89,491774028.8,86,14
互联医疗,20250208,2.89,491774028.8,86,14
互联医疗,20250209,2.89,491774028.8,86,14
互联医疗,20250210,4.44,500798361.6,91,9
互联医疗,20250211,-1.12,497733094.4,20,82
互联医疗,20250212,0.71,502815206.4,58,35
互联医疗,20250213,-0.52,502754124.8,30,67
互联医疗,20250214,4.39,514244403.2,94,6
互联医疗,20250215,4.39,514244403.2,94,6
