name,trade_date,pct_change,total_mv,up_num,down_num
低碳冶金,20241220,-2.03,30726838.4,0,8
低碳冶金,20241221,-2.03,30726838.4,0,8
低碳冶金,20241222,-2.03,30726838.4,0,8
低碳冶金,20241223,-0.57,31105360.0,2,6
低碳冶金,20241224,1.17,31350830.4,7,0
低碳冶金,20241225,-0.95,31436616.0,1,6
低碳冶金,20241226,-0.9,31006120.0,0,7
低碳冶金,20241227,1.01,31255091.2,8,0
低碳冶金,20241228,1.01,31255091.2,8,0
低碳冶金,20241229,1.01,31255091.2,8,0
低碳冶金,20241230,-0.19,31281649.6,2,2
低碳冶金,20241231,-1.97,30872760.0,0,8
低碳冶金,20250101,-1.97,30872760.0,0,8
低碳冶金,20250102,-2.3,30234198.4,0,8
低碳冶金,20250103,-1.93,29927128.0,0,8
低碳冶金,20250104,-1.93,29927128.0,0,8
低碳冶金,20250105,-1.93,29927128.0,0,8
低碳冶金,20250106,0.68,30048252.8,5,2
低碳冶金,20250107,-0.09,29669224.0,3,3
低碳冶金,20250108,-1.1,29491348.8,0,8
低碳冶金,20250109,-1.07,29069222.4,0,8
低碳冶金,20250110,-1.26,28767457.6,1,7
低碳冶金,20250111,-1.26,28767457.6,1,7
低碳冶金,20250112,-1.26,28767457.6,1,7
低碳冶金,20250113,0.27,28725211.2,6,2
低碳冶金,20250114,2.34,29224305.6,8,0
低碳冶金,20250115,-0.1,29397921.6,2,3
低碳冶金,20250116,1.34,28800846.4,7,0
低碳冶金,20250117,-0.74,28374017.6,2,6
低碳冶金,20250118,-0.74,28374017.6,2,6
低碳冶金,20250119,-0.74,28374017.6,2,6
低碳冶金,20250120,0.46,29218545.6,4,4
低碳冶金,20250121,-0.88,28812225.6,1,7
低碳冶金,20250122,-0.36,28966345.6,1,6
低碳冶金,20250123,-0.25,29002785.6,4,4
低碳冶金,20250124,1.39,29705628.8,8,0
低碳冶金,20250125,1.39,29705628.8,8,0
低碳冶金,20250126,1.39,29705628.8,8,0
低碳冶金,20250127,1.55,30243363.2,7,0
低碳冶金,20250128,1.55,30243363.2,7,0
低碳冶金,20250129,1.55,30243363.2,7,0
低碳冶金,20250130,1.55,30243363.2,7,0
低碳冶金,20250131,1.55,30243363.2,7,0
低碳冶金,20250201,1.55,30243363.2,7,0
低碳冶金,20250202,1.55,30243363.2,7,0
低碳冶金,20250203,1.55,30243363.2,7,0
低碳冶金,20250204,1.55,30243363.2,7,0
低碳冶金,20250205,-0.94,29508491.2,2,6
低碳冶金,20250206,0.57,29560364.8,6,2
低碳冶金,20250207,1.81,30330198.4,8,0
低碳冶金,20250208,1.81,30330198.4,8,0
低碳冶金,20250209,1.81,30330198.4,8,0
低碳冶金,20250210,0.5,30298155.2,5,2
低碳冶金,20250211,-0.78,30186052.8,1,7
低碳冶金,20250212,-0.24,30096603.2,2,4
低碳冶金,20250213,0.21,30120982.4,5,1
低碳冶金,20250214,-0.46,29971944.0,1,5
低碳冶金,20250215,-0.46,29971944.0,1,5
