name,trade_date,pct_change,total_mv,up_num,down_num
低空经济,20241220,1.29,312880118.4,179,48
低空经济,20241221,1.29,312880118.4,179,48
低空经济,20241222,1.29,312880118.4,179,48
低空经济,20241223,-4.72,303113190.4,9,225
低空经济,20241224,1.14,306900939.2,175,53
低空经济,20241225,-1.57,305386460.8,54,178
低空经济,20241226,1.7,310679801.6,187,41
低空经济,20241227,0.8,312267417.6,152,80
低空经济,20241228,0.8,312267417.6,152,80
低空经济,20241229,0.8,312267417.6,152,80
低空经济,20241230,-0.78,312283180.8,77,154
低空经济,20241231,-3.23,303192777.6,17,215
低空经济,20250101,-3.23,303192777.6,17,215
低空经济,20250102,-2.83,291538532.8,23,209
低空经济,20250103,-4.51,280530160.0,16,216
低空经济,20250104,-4.51,280530160.0,16,216
低空经济,20250105,-4.51,280530160.0,16,216
低空经济,20250106,-0.96,277975809.6,68,158
低空经济,20250107,2.82,285184329.6,222,12
低空经济,20250108,-0.19,284085939.2,73,154
低空经济,20250109,1.43,288780736.0,186,44
低空经济,20250110,-2.46,282710756.8,25,207
低空经济,20250111,-2.46,282710756.8,25,207
低空经济,20250112,-2.46,282710756.8,25,207
低空经济,20250113,0.15,283838912.0,142,87
低空经济,20250114,5.86,297815195.2,234,0
低空经济,20250115,-0.86,294475816.0,51,181
低空经济,20250116,0.33,286638632.0,133,90
低空经济,20250117,0.28,289096492.8,117,108
低空经济,20250118,0.28,289096492.8,117,108
低空经济,20250119,0.28,289096492.8,117,108
低空经济,20250120,1.03,299541331.2,173,58
低空经济,20250121,-0.12,300491374.4,98,134
低空经济,20250122,-1.38,296808929.6,36,199
低空经济,20250123,-0.33,308281881.6,94,136
低空经济,20250124,1.63,313102892.8,200,36
低空经济,20250125,1.63,313102892.8,200,36
低空经济,20250126,1.63,313102892.8,200,36
低空经济,20250127,-1.78,307090940.8,42,192
低空经济,20250128,-1.78,307090940.8,42,192
低空经济,20250129,-1.78,307090940.8,42,192
低空经济,20250130,-1.78,307090940.8,42,192
低空经济,20250131,-1.78,307090940.8,42,192
低空经济,20250201,-1.78,307090940.8,42,192
低空经济,20250202,-1.78,307090940.8,42,192
低空经济,20250203,-1.78,307090940.8,42,192
低空经济,20250204,-1.78,307090940.8,42,192
低空经济,20250205,2.66,313307603.2,201,36
低空经济,20250206,4.04,326614955.2,233,5
低空经济,20250207,1.75,331168616.0,189,47
低空经济,20250208,1.75,331168616.0,189,47
低空经济,20250209,1.75,331168616.0,189,47
低空经济,20250210,2.02,335134497.6,186,46
低空经济,20250211,-0.29,332880347.2,72,163
低空经济,20250212,1.64,337726646.4,191,43
低空经济,20250213,-0.95,334316510.4,58,178
低空经济,20250214,0.46,335483227.2,127,108
低空经济,20250215,0.46,335483227.2,127,108
