name,trade_date,pct_change,total_mv,up_num,down_num
信创,20241220,1.21,354076620.8,179,53
信创,20241221,1.21,354076620.8,179,53
信创,20241222,1.21,354076620.8,179,53
信创,20241223,-5.37,344822574.4,10,228
信创,20241224,-0.04,347613641.6,126,105
信创,20241225,-2.91,345909531.2,24,213
信创,20241226,1.71,352633227.2,191,38
信创,20241227,-0.1,348931460.8,118,117
信创,20241228,-0.1,348931460.8,118,117
信创,20241229,-0.1,348931460.8,118,117
信创,20241230,-0.09,348401820.8,97,138
信创,20241231,-3.87,334903326.4,18,218
信创,20250101,-3.87,334903326.4,18,218
信创,20250102,-3.03,320267072.0,26,211
信创,20250103,-5.19,305305585.6,15,223
信创,20250104,-5.19,305305585.6,15,223
信创,20250105,-5.19,305305585.6,15,223
信创,20250106,-1.96,300927379.2,39,198
信创,20250107,3.54,311705174.4,232,6
信创,20250108,-0.53,310487492.8,69,164
信创,20250109,1.03,314210966.4,182,50
信创,20250110,-3.46,305358145.6,12,224
信创,20250111,-3.46,305358145.6,12,224
信创,20250112,-3.46,305358145.6,12,224
信创,20250113,0.7,306492052.8,157,76
信创,20250114,6.46,323974459.2,238,1
信创,20250115,-0.55,322272510.4,68,166
信创,20250116,0.61,316882112.0,135,92
信创,20250117,-0.38,316637724.8,88,143
信创,20250118,-0.38,316637724.8,88,143
信创,20250119,-0.38,316637724.8,88,143
信创,20250120,0.8,321452313.6,167,66
信创,20250121,0.08,323401534.4,105,130
信创,20250122,-0.85,320807731.2,51,186
信创,20250123,0.02,318860339.2,111,122
信创,20250124,4.54,330121680.0,224,16
信创,20250125,4.54,330121680.0,224,16
信创,20250126,4.54,330121680.0,224,16
信创,20250127,-1.14,324932862.4,67,172
信创,20250128,-1.14,324932862.4,67,172
信创,20250129,-1.14,324932862.4,67,172
信创,20250130,-1.14,324932862.4,67,172
信创,20250131,-1.14,324932862.4,67,172
信创,20250201,-1.14,324932862.4,67,172
信创,20250202,-1.14,324932862.4,67,172
信创,20250203,-1.14,324932862.4,67,172
信创,20250204,-1.14,324932862.4,67,172
信创,20250205,5.78,347154731.2,231,9
信创,20250206,3.39,358126499.2,221,18
信创,20250207,3.16,366966467.2,194,46
信创,20250208,3.16,366966467.2,194,46
信创,20250209,3.16,366966467.2,194,46
信创,20250210,5.2,380996403.2,226,15
信创,20250211,-0.77,375469521.6,60,176
信创,20250212,2.43,384581078.4,207,32
信创,20250213,-0.6,379359896.0,68,170
信创,20250214,3.8,390966078.4,207,34
信创,20250215,3.8,390966078.4,207,34
