name,trade_date,pct_change,total_mv,up_num,down_num
元宇宙概念,20241220,1.32,454153344.0,108,31
元宇宙概念,20241221,1.32,454153344.0,108,31
元宇宙概念,20241222,1.32,454153344.0,108,31
元宇宙概念,20241223,-6.24,449535436.8,4,138
元宇宙概念,20241224,0.18,453314918.4,75,60
元宇宙概念,20241225,-2.61,451733478.4,21,120
元宇宙概念,20241226,1.43,452032000.0,115,24
元宇宙概念,20241227,-0.13,450955084.8,73,67
元宇宙概念,20241228,-0.13,450955084.8,73,67
元宇宙概念,20241229,-0.13,450955084.8,73,67
元宇宙概念,20241230,-0.45,455111884.8,56,84
元宇宙概念,20241231,-3.78,451138560.0,12,129
元宇宙概念,20250101,-3.78,451138560.0,12,129
元宇宙概念,20250102,-2.05,437977088.0,27,114
元宇宙概念,20250103,-5.48,427795595.2,6,135
元宇宙概念,20250104,-5.48,427795595.2,6,135
元宇宙概念,20250105,-5.48,427795595.2,6,135
元宇宙概念,20250106,-2.07,418988723.2,24,115
元宇宙概念,20250107,3.34,424461672.0,138,2
元宇宙概念,20250108,-0.02,425040163.2,61,76
元宇宙概念,20250109,0.88,422644985.6,107,25
元宇宙概念,20250110,-3.53,416345321.6,12,129
元宇宙概念,20250111,-3.53,416345321.6,12,129
元宇宙概念,20250112,-3.53,416345321.6,12,129
元宇宙概念,20250113,-0.17,413932840.0,71,64
元宇宙概念,20250114,6.91,426316776.0,140,1
元宇宙概念,20250115,0.86,424771209.6,65,73
元宇宙概念,20250116,0.73,200873614.4,82,58
元宇宙概念,20250117,-1.0,199909448.0,47,92
元宇宙概念,20250118,-1.0,199909448.0,47,92
元宇宙概念,20250119,-1.0,199909448.0,47,92
元宇宙概念,20250120,0.73,427079713.6,98,40
元宇宙概念,20250121,0.6,427431064.0,77,62
元宇宙概念,20250122,-1.97,427284697.6,20,121
元宇宙概念,20250123,-0.06,428998638.4,65,72
元宇宙概念,20250124,3.73,435174784.0,129,13
元宇宙概念,20250125,3.73,435174784.0,129,13
元宇宙概念,20250126,3.73,435174784.0,129,13
元宇宙概念,20250127,-1.4,436482508.8,34,107
元宇宙概念,20250128,-1.4,436482508.8,34,107
元宇宙概念,20250129,-1.4,436482508.8,34,107
元宇宙概念,20250130,-1.4,436482508.8,34,107
元宇宙概念,20250131,-1.4,436482508.8,34,107
元宇宙概念,20250201,-1.4,436482508.8,34,107
元宇宙概念,20250202,-1.4,436482508.8,34,107
元宇宙概念,20250203,-1.4,436482508.8,34,107
元宇宙概念,20250204,-1.4,436482508.8,34,107
元宇宙概念,20250205,4.74,440599014.4,130,12
元宇宙概念,20250206,3.25,448241049.6,130,11
元宇宙概念,20250207,2.02,452506777.6,108,32
元宇宙概念,20250208,2.02,452506777.6,108,32
元宇宙概念,20250209,2.02,452506777.6,108,32
元宇宙概念,20250210,3.96,463506304.0,131,10
元宇宙概念,20250211,-0.03,462290304.0,55,87
元宇宙概念,20250212,1.58,468761036.8,111,29
元宇宙概念,20250213,-0.17,467226112.0,53,88
元宇宙概念,20250214,1.39,476678758.4,86,53
元宇宙概念,20250215,1.39,476678758.4,86,53
