name,trade_date,pct_change,total_mv,up_num,down_num
充电桩,20241220,0.79,394667756.8,138,84
充电桩,20241221,0.79,394667756.8,138,84
充电桩,20241222,0.79,394667756.8,138,84
充电桩,20241223,-3.78,388434676.8,21,207
充电桩,20241224,2.02,396542422.4,191,35
充电桩,20241225,-2.01,392489928.0,36,186
充电桩,20241226,2.35,398733787.2,178,44
充电桩,20241227,0.74,398689619.2,137,89
充电桩,20241228,0.74,398689619.2,137,89
充电桩,20241229,0.74,398689619.2,137,89
充电桩,20241230,-1.1,397569142.4,58,164
充电桩,20241231,-3.16,389201897.6,18,206
充电桩,20250101,-3.16,389201897.6,18,206
充电桩,20250102,-2.29,375253689.6,26,199
充电桩,20250103,-4.26,365390739.2,10,214
充电桩,20250104,-4.26,365390739.2,10,214
充电桩,20250105,-4.26,365390739.2,10,214
充电桩,20250106,0.16,365273577.6,118,104
充电桩,20250107,3.37,372559614.4,200,25
充电桩,20250108,-0.26,370273601.6,76,149
充电桩,20250109,0.32,372485921.6,123,97
充电桩,20250110,-2.86,366086304.0,21,207
充电桩,20250111,-2.86,366086304.0,21,207
充电桩,20250112,-2.86,366086304.0,21,207
充电桩,20250113,-0.8,364565339.2,90,136
充电桩,20250114,5.49,381899417.6,229,0
充电桩,20250115,-1.02,376887374.4,56,169
充电桩,20250116,0.69,341730129.6,150,74
充电桩,20250117,-0.12,344208444.8,101,115
充电桩,20250118,-0.12,344208444.8,101,115
充电桩,20250119,-0.12,344208444.8,101,115
充电桩,20250120,1.47,385685819.2,174,47
充电桩,20250121,0.52,388953761.6,112,111
充电桩,20250122,-0.37,387067011.2,71,152
充电桩,20250123,-0.54,383395900.8,63,156
充电桩,20250124,1.46,389356179.2,180,41
充电桩,20250125,1.46,389356179.2,180,41
充电桩,20250126,1.46,389356179.2,180,41
充电桩,20250127,-2.3,380318123.2,45,182
充电桩,20250128,-2.3,380318123.2,45,182
充电桩,20250129,-2.3,380318123.2,45,182
充电桩,20250130,-2.3,380318123.2,45,182
充电桩,20250131,-2.3,380318123.2,45,182
充电桩,20250201,-2.3,380318123.2,45,182
充电桩,20250202,-2.3,380318123.2,45,182
充电桩,20250203,-2.3,380318123.2,45,182
充电桩,20250204,-2.3,380318123.2,45,182
充电桩,20250205,0.74,382358995.2,153,74
充电桩,20250206,2.73,397628976.0,217,9
充电桩,20250207,1.65,407288075.2,187,36
充电桩,20250208,1.65,407288075.2,187,36
充电桩,20250209,1.65,407288075.2,187,36
充电桩,20250210,1.34,409306944.0,163,59
充电桩,20250211,-0.08,408141571.2,84,143
充电桩,20250212,2.02,419118614.4,191,32
充电桩,20250213,-1.46,413414100.8,36,193
充电桩,20250214,0.21,419565080.0,95,128
充电桩,20250215,0.21,419565080.0,95,128
