name,trade_date,pct_change,total_mv,up_num,down_num
共享经济,20241220,-0.59,23527485.6,8,9
共享经济,20241221,-0.59,23527485.6,8,9
共享经济,20241222,-0.59,23527485.6,8,9
共享经济,20241223,-4.18,23101384.8,4,14
共享经济,20241224,0.07,23040231.0,10,8
共享经济,20241225,-2.47,22818778.8,2,16
共享经济,20241226,0.33,23013168.4,14,4
共享经济,20241227,0.42,23042110.9,9,6
共享经济,20241228,0.42,23042110.9,9,6
共享经济,20241229,0.42,23042110.9,9,6
共享经济,20241230,-1.92,22768485.4,4,14
共享经济,20241231,-2.12,22642941.0,2,16
共享经济,20250101,-2.12,22642941.0,2,16
共享经济,20250102,-2.46,22016817.2,3,15
共享经济,20250103,-4.6,21294384.2,1,17
共享经济,20250104,-4.6,21294384.2,1,17
共享经济,20250105,-4.6,21294384.2,1,17
共享经济,20250106,-0.68,21232248.1,7,10
共享经济,20250107,3.08,22340314.1,17,1
共享经济,20250108,-0.5,22256043.9,7,12
共享经济,20250109,0.46,22066215.1,13,4
共享经济,20250110,-4.19,21373281.6,0,19
共享经济,20250111,-4.19,21373281.6,0,19
共享经济,20250112,-4.19,21373281.6,0,19
共享经济,20250113,0.86,21463419.6,10,8
共享经济,20250114,5.34,22420135.3,19,0
共享经济,20250115,-0.53,22233483.4,5,14
共享经济,20250116,1.28,21659617.1,17,2
共享经济,20250117,-1.19,21625845.6,3,15
共享经济,20250118,-1.19,21625845.6,3,15
共享经济,20250119,-1.19,21625845.6,3,15
共享经济,20250120,1.07,22560838.1,14,4
共享经济,20250121,-0.27,22589437.0,7,12
共享经济,20250122,-1.77,22397055.9,2,17
共享经济,20250123,-0.74,22168792.9,8,10
共享经济,20250124,1.5,22520322.5,17,2
共享经济,20250125,1.5,22520322.5,17,2
共享经济,20250126,1.5,22520322.5,17,2
共享经济,20250127,-1.7,22261073.6,3,16
共享经济,20250128,-1.7,22261073.6,3,16
共享经济,20250129,-1.7,22261073.6,3,16
共享经济,20250130,-1.7,22261073.6,3,16
共享经济,20250131,-1.7,22261073.6,3,16
共享经济,20250201,-1.7,22261073.6,3,16
共享经济,20250202,-1.7,22261073.6,3,16
共享经济,20250203,-1.7,22261073.6,3,16
共享经济,20250204,-1.7,22261073.6,3,16
共享经济,20250205,2.13,22503315.9,16,3
共享经济,20250206,2.91,22872517.7,18,1
共享经济,20250207,1.66,23224684.9,15,3
共享经济,20250208,1.66,23224684.9,15,3
共享经济,20250209,1.66,23224684.9,15,3
共享经济,20250210,3.21,23780725.8,16,3
共享经济,20250211,-1.49,23451739.2,2,17
共享经济,20250212,1.82,23773720.7,17,2
共享经济,20250213,-0.35,23800778.2,5,12
共享经济,20250214,1.1,24141430.8,10,9
共享经济,20250215,1.1,24141430.8,10,9
