name,trade_date,pct_change,total_mv,up_num,down_num
军工,20241220,1.35,592124288.0,380,110
军工,20241221,1.35,592124288.0,380,110
军工,20241222,1.35,592124288.0,380,110
军工,20241223,-4.32,576454502.4,37,465
军工,20241224,0.82,581176678.4,366,126
军工,20241225,-2.13,574154060.8,67,431
军工,20241226,1.85,583453772.8,410,79
军工,20241227,1.1,589021542.4,340,155
军工,20241228,1.1,589021542.4,340,155
军工,20241229,1.1,589021542.4,340,155
军工,20241230,-1.12,584882022.4,126,367
军工,20241231,-3.07,569102464.0,40,460
军工,20250101,-3.07,569102464.0,40,460
军工,20250102,-2.69,549437593.6,52,449
军工,20250103,-4.19,531040640.0,32,465
军工,20250104,-4.19,531040640.0,32,465
军工,20250105,-4.19,531040640.0,32,465
军工,20250106,-0.74,527480217.6,167,326
军工,20250107,2.98,538651366.4,470,25
军工,20250108,-0.42,535546444.8,159,333
军工,20250109,1.21,541394304.0,363,128
军工,20250110,-2.42,531722240.0,57,440
军工,20250111,-2.42,531722240.0,57,440
军工,20250112,-2.42,531722240.0,57,440
军工,20250113,0.33,531973171.2,309,184
军工,20250114,5.11,555568870.4,500,2
军工,20250115,-0.82,548757760.0,103,388
军工,20250116,0.47,547447168.0,293,193
军工,20250117,0.19,550269363.2,231,245
军工,20250118,0.19,550269363.2,231,245
军工,20250119,0.19,550269363.2,231,245
军工,20250120,0.73,557234048.0,334,152
军工,20250121,-0.21,556398566.4,185,306
军工,20250122,-0.82,552724044.8,115,379
军工,20250123,-0.27,564515968.0,184,298
军工,20250124,1.25,571611904.0,395,97
军工,20250125,1.25,571611904.0,395,97
军工,20250126,1.25,571611904.0,395,97
军工,20250127,-1.79,561505920.0,93,403
军工,20250128,-1.79,561505920.0,93,403
军工,20250129,-1.79,561505920.0,93,403
军工,20250130,-1.79,561505920.0,93,403
军工,20250131,-1.79,561505920.0,93,403
军工,20250201,-1.79,561505920.0,93,403
军工,20250202,-1.79,561505920.0,93,403
军工,20250203,-1.79,561505920.0,93,403
军工,20250204,-1.79,561505920.0,93,403
军工,20250205,1.8,567293952.0,384,113
军工,20250206,2.98,584351974.4,474,23
军工,20250207,1.35,591912883.2,382,108
军工,20250208,1.35,591912883.2,382,108
军工,20250209,1.35,591912883.2,382,108
军工,20250210,2.04,600160537.6,397,98
军工,20250211,-0.5,595548518.4,137,358
军工,20250212,1.22,602231065.6,379,111
军工,20250213,-1.29,596353408.0,74,421
军工,20250214,0.29,598596480.0,227,268
军工,20250215,0.29,598596480.0,227,268
