name,trade_date,pct_change,total_mv,up_num,down_num
军民融合,20241220,1.4,290411526.4,144,34
军民融合,20241221,1.4,290411526.4,144,34
军民融合,20241222,1.4,290411526.4,144,34
军民融合,20241223,-4.11,284266912.0,16,166
军民融合,20241224,0.78,286476726.4,134,43
军民融合,20241225,-1.92,283172320.0,27,155
军民融合,20241226,1.58,286937462.4,154,23
军民融合,20241227,1.62,290388638.4,144,35
军民融合,20241228,1.62,290388638.4,144,35
军民融合,20241229,1.62,290388638.4,144,35
军民融合,20241230,-0.7,289281409.6,55,123
军民融合,20241231,-3.16,282132145.6,11,171
军民融合,20250101,-3.16,282132145.6,11,171
军民融合,20250102,-3.43,270680454.4,11,171
军民融合,20250103,-4.13,262248772.8,9,171
军民融合,20250104,-4.13,262248772.8,9,171
军民融合,20250105,-4.13,262248772.8,9,171
军民融合,20250106,-0.8,260116590.4,50,127
军民融合,20250107,2.8,265590200.0,176,4
军民融合,20250108,-0.56,264203617.6,53,126
军民融合,20250109,1.19,266601084.8,135,40
军民融合,20250110,-2.34,262202505.6,22,159
军民融合,20250111,-2.34,262202505.6,22,159
军民融合,20250112,-2.34,262202505.6,22,159
军民融合,20250113,0.36,261995980.8,121,59
军民融合,20250114,4.71,273195520.0,183,0
军民融合,20250115,-0.86,270141937.6,34,147
军民融合,20250116,0.32,268913760.0,105,68
军民融合,20250117,0.28,270456920.0,96,78
军民融合,20250118,0.28,270456920.0,96,78
军民融合,20250119,0.28,270456920.0,96,78
军民融合,20250120,0.65,273674640.0,126,55
军民融合,20250121,-0.49,272457360.0,52,126
军民融合,20250122,-0.82,270637121.6,40,141
军民融合,20250123,-0.29,283274891.2,67,110
军民融合,20250124,1.04,285857305.6,140,39
军民融合,20250125,1.04,285857305.6,140,39
军民融合,20250126,1.04,285857305.6,140,39
军民融合,20250127,-1.63,281955140.8,33,147
军民融合,20250128,-1.63,281955140.8,33,147
军民融合,20250129,-1.63,281955140.8,33,147
军民融合,20250130,-1.63,281955140.8,33,147
军民融合,20250131,-1.63,281955140.8,33,147
军民融合,20250201,-1.63,281955140.8,33,147
军民融合,20250202,-1.63,281955140.8,33,147
军民融合,20250203,-1.63,281955140.8,33,147
军民融合,20250204,-1.63,281955140.8,33,147
军民融合,20250205,1.55,284039070.4,141,40
军民融合,20250206,3.02,292559364.8,174,7
军民融合,20250207,1.49,296885435.2,149,29
军民融合,20250208,1.49,296885435.2,149,29
军民融合,20250209,1.49,296885435.2,149,29
军民融合,20250210,2.12,301231732.8,155,28
军民融合,20250211,-0.76,297861651.2,39,142
军民融合,20250212,1.13,300499054.4,147,32
军民融合,20250213,-1.1,298920947.2,28,151
军民融合,20250214,0.23,299777568.0,83,98
军民融合,20250215,0.23,299777568.0,83,98
