name,trade_date,pct_change,total_mv,up_num,down_num
冰雪经济,20241220,-0.58,20973300.7,10,20
冰雪经济,20241221,-0.58,20973300.7,10,20
冰雪经济,20241222,-0.58,20973300.7,10,20
冰雪经济,20241223,-5.53,20555616.1,1,31
冰雪经济,20241224,-0.27,20578031.4,16,15
冰雪经济,20241225,-2.48,20103209.3,3,29
冰雪经济,20241226,1.74,20309202.2,26,6
冰雪经济,20241227,1.54,20625988.4,27,4
冰雪经济,20241228,1.54,20625988.4,27,4
冰雪经济,20241229,1.54,20625988.4,27,4
冰雪经济,20241230,-2.43,20341219.8,4,29
冰雪经济,20241231,-0.44,20118750.9,10,23
冰雪经济,20250101,-0.44,20118750.9,10,23
冰雪经济,20250102,0.4,20957811.1,19,14
冰雪经济,20250103,-5.61,19826345.2,2,32
冰雪经济,20250104,-5.61,19826345.2,2,32
冰雪经济,20250105,-5.61,19826345.2,2,32
冰雪经济,20250106,-2.03,19398011.3,8,25
冰雪经济,20250107,2.36,19826999.3,31,3
冰雪经济,20250108,0.74,21538753.2,13,21
冰雪经济,20250109,0.18,21549208.2,13,21
冰雪经济,20250110,-4.01,20733571.5,3,32
冰雪经济,20250111,-4.01,20733571.5,3,32
冰雪经济,20250112,-4.01,20733571.5,3,32
冰雪经济,20250113,0.03,20678963.0,19,16
冰雪经济,20250114,4.71,21632451.9,35,0
冰雪经济,20250115,0.9,21732373.5,22,12
冰雪经济,20250116,0.33,21697811.0,26,9
冰雪经济,20250117,-0.92,21502908.2,12,22
冰雪经济,20250118,-0.92,21502908.2,12,22
冰雪经济,20250119,-0.92,21502908.2,12,22
冰雪经济,20250120,1.2,21875441.0,29,6
冰雪经济,20250121,-0.11,21855903.9,10,21
冰雪经济,20250122,-2.46,21317778.7,3,32
冰雪经济,20250123,-0.19,21326769.7,21,13
冰雪经济,20250124,1.29,21597595.6,28,5
冰雪经济,20250125,1.29,21597595.6,28,5
冰雪经济,20250126,1.29,21597595.6,28,5
冰雪经济,20250127,-0.28,21546892.8,14,21
冰雪经济,20250128,-0.28,21546892.8,14,21
冰雪经济,20250129,-0.28,21546892.8,14,21
冰雪经济,20250130,-0.28,21546892.8,14,21
冰雪经济,20250131,-0.28,21546892.8,14,21
冰雪经济,20250201,-0.28,21546892.8,14,21
冰雪经济,20250202,-0.28,21546892.8,14,21
冰雪经济,20250203,-0.28,21546892.8,14,21
冰雪经济,20250204,-0.28,21546892.8,14,21
冰雪经济,20250205,-0.24,21487264.8,14,21
冰雪经济,20250206,2.34,21982341.2,33,1
冰雪经济,20250207,0.52,22090059.7,22,12
冰雪经济,20250208,0.52,22090059.7,22,12
冰雪经济,20250209,0.52,22090059.7,22,12
冰雪经济,20250210,2.22,22611066.9,28,7
冰雪经济,20250211,-0.85,22430673.8,6,28
冰雪经济,20250212,1.09,22700827.7,26,8
冰雪经济,20250213,-0.18,22822527.8,14,20
冰雪经济,20250214,-0.42,22871768.1,11,24
冰雪经济,20250215,-0.42,22871768.1,11,24
