name,trade_date,pct_change,total_mv,up_num,down_num
减速器,20241220,2.42,52176409.6,52,7
减速器,20241221,2.42,52176409.6,52,7
减速器,20241222,2.42,52176409.6,52,7
减速器,20241223,-5.1,49841964.8,4,55
减速器,20241224,2.54,50984256.0,54,5
减速器,20241225,-2.12,49837561.6,12,47
减速器,20241226,2.49,51002683.2,52,7
减速器,20241227,-0.61,50599974.4,22,35
减速器,20241228,-0.61,50599974.4,22,35
减速器,20241229,-0.61,50599974.4,22,35
减速器,20241230,-2.17,49426281.6,9,50
减速器,20241231,-2.89,48235140.8,5,52
减速器,20250101,-2.89,48235140.8,5,52
减速器,20250102,-1.01,47944086.4,16,42
减速器,20250103,-4.39,46255033.6,5,54
减速器,20250104,-4.39,46255033.6,5,54
减速器,20250105,-4.39,46255033.6,5,54
减速器,20250106,-1.0,45862684.8,17,42
减速器,20250107,3.37,47411822.4,57,2
减速器,20250108,2.18,48503819.2,38,20
减速器,20250109,2.37,49659736.0,46,12
减速器,20250110,-0.06,50129723.2,24,34
减速器,20250111,-0.06,50129723.2,24,34
减速器,20250112,-0.06,50129723.2,24,34
减速器,20250113,0.36,49868451.2,35,22
减速器,20250114,8.4,54159400.0,58,0
减速器,20250115,0.52,54832275.2,27,32
减速器,20250116,-0.67,53883086.4,14,44
减速器,20250117,0.25,53847334.4,30,28
减速器,20250118,0.25,53847334.4,30,28
减速器,20250119,0.25,53847334.4,30,28
减速器,20250120,0.61,54548585.6,39,19
减速器,20250121,2.42,56477116.8,45,14
减速器,20250122,-1.57,55397974.4,12,47
减速器,20250123,0.24,54900464.0,29,29
减速器,20250124,2.67,58652998.4,52,8
减速器,20250125,2.67,58652998.4,52,8
减速器,20250126,2.67,58652998.4,52,8
减速器,20250127,-3.93,56239417.6,4,56
减速器,20250128,-3.93,56239417.6,4,56
减速器,20250129,-3.93,56239417.6,4,56
减速器,20250130,-3.93,56239417.6,4,56
减速器,20250131,-3.93,56239417.6,4,56
减速器,20250201,-3.93,56239417.6,4,56
减速器,20250202,-3.93,56239417.6,4,56
减速器,20250203,-3.93,56239417.6,4,56
减速器,20250204,-3.93,56239417.6,4,56
减速器,20250205,2.61,57969846.4,49,11
减速器,20250206,5.74,61698504.0,59,2
减速器,20250207,1.22,62448052.8,30,30
减速器,20250208,1.22,62448052.8,30,30
减速器,20250209,1.22,62448052.8,30,30
减速器,20250210,0.65,62512204.8,31,28
减速器,20250211,0.53,62518731.2,30,30
减速器,20250212,2.17,63929072.0,46,13
减速器,20250213,-3.2,61872355.2,6,53
减速器,20250214,-2.3,60509844.8,10,50
减速器,20250215,-2.3,60509844.8,10,50
