name,trade_date,pct_change,total_mv,up_num,down_num
创业板综,20241220,1.78,1322818713.6,1130,209
创业板综,20241221,1.78,1322818713.6,1130,209
创业板综,20241222,1.78,1322818713.6,1130,209
创业板综,20241223,-4.89,1285033062.4,94,1270
创业板综,20241224,1.0,1299232102.4,949,387
创业板综,20241225,-2.35,1280538624.0,190,1172
创业板综,20241226,1.77,1294846771.2,1085,245
创业板综,20241227,0.42,1293657190.4,827,523
创业板综,20241228,0.42,1293657190.4,827,523
创业板综,20241229,0.42,1293657190.4,827,523
创业板综,20241230,-1.0,1288687513.6,333,1020
创业板综,20241231,-3.27,1247264972.8,108,1252
创业板综,20250101,-3.27,1247264972.8,108,1252
创业板综,20250102,-2.13,1211088691.2,175,1180
创业板综,20250103,-4.57,1171022848.0,90,1271
创业板综,20250104,-4.57,1171022848.0,90,1271
创业板综,20250105,-4.57,1171022848.0,90,1271
创业板综,20250106,-0.56,1164374707.2,552,783
创业板综,20250107,3.23,1187398604.8,1246,111
创业板综,20250108,-0.15,1182641561.6,453,887
创业板综,20250109,0.62,1187063475.2,816,504
创业板综,20250110,-3.3,1158105395.2,107,1254
创业板综,20250111,-3.3,1158105395.2,107,1254
创业板综,20250112,-3.3,1158105395.2,107,1254
创业板综,20250113,0.5,1163150745.6,907,427
创业板综,20250114,5.58,1224444518.4,1358,6
创业板综,20250115,-0.68,1210438169.6,327,1019
创业板综,20250116,0.53,1214447769.6,776,552
创业板综,20250117,-0.15,1218485504.0,589,751
创业板综,20250118,-0.15,1218485504.0,589,751
创业板综,20250119,-0.15,1218485504.0,589,751
创业板综,20250120,1.33,1238476851.2,1049,291
创业板综,20250121,0.05,1244608793.6,554,791
创业板综,20250122,-1.12,1233399603.2,241,1113
创业板综,20250123,-0.19,1243312179.2,594,731
创业板综,20250124,1.72,1264200780.8,1112,230
创业板综,20250125,1.72,1264200780.8,1112,230
创业板综,20250126,1.72,1264200780.8,1112,230
创业板综,20250127,-1.69,1235610777.6,294,1053
创业板综,20250128,-1.69,1235610777.6,294,1053
创业板综,20250129,-1.69,1235610777.6,294,1053
创业板综,20250130,-1.69,1235610777.6,294,1053
创业板综,20250131,-1.69,1235610777.6,294,1053
创业板综,20250201,-1.69,1235610777.6,294,1053
创业板综,20250202,-1.69,1235610777.6,294,1053
创业板综,20250203,-1.69,1235610777.6,294,1053
创业板综,20250204,-1.69,1235610777.6,294,1053
创业板综,20250205,1.91,1246996454.4,1103,247
创业板综,20250206,2.78,1284355686.4,1272,82
创业板综,20250207,1.34,1307806668.8,1005,329
创业板综,20250208,1.34,1307806668.8,1005,329
创业板综,20250209,1.34,1307806668.8,1005,329
创业板综,20250210,2.09,1325668812.8,1138,217
创业板综,20250211,-0.4,1314954393.6,382,965
创业板综,20250212,1.13,1335299507.2,956,370
创业板综,20250213,-1.29,1321453286.4,235,1118
创业板综,20250214,0.86,1337649920.0,752,585
创业板综,20250215,0.86,1337649920.0,752,585
