name,trade_date,pct_change,total_mv,up_num,down_num
创投,20241220,0.62,471163750.4,171,120
创投,20241221,0.62,471163750.4,171,120
创投,20241222,0.62,471163750.4,171,120
创投,20241223,-4.67,461372774.4,25,273
创投,20241224,0.62,465886464.0,203,90
创投,20241225,-2.07,459993318.4,46,249
创投,20241226,0.9,460999040.0,186,95
创投,20241227,0.86,462815948.8,219,77
创投,20241228,0.86,462815948.8,219,77
创投,20241229,0.86,462815948.8,219,77
创投,20241230,-1.07,460605056.0,69,221
创投,20241231,-2.65,449960268.8,35,262
创投,20250101,-2.65,449960268.8,35,262
创投,20250102,-1.59,439699660.8,65,231
创投,20250103,-4.05,427349715.2,21,277
创投,20250104,-4.05,427349715.2,21,277
创投,20250105,-4.05,427349715.2,21,277
创投,20250106,-0.68,426237465.6,121,171
创投,20250107,2.24,430905830.4,241,55
创投,20250108,-0.03,429934233.6,103,180
创投,20250109,0.39,430233856.0,148,135
创投,20250110,-2.64,421824112.0,30,268
创投,20250111,-2.64,421824112.0,30,268
创投,20250112,-2.64,421824112.0,30,268
创投,20250113,-0.05,421386025.6,169,112
创投,20250114,4.83,436179788.8,295,3
创投,20250115,0.08,435008947.2,115,175
创投,20250116,0.88,432817254.4,209,78
创投,20250117,-0.46,433490892.8,124,157
创投,20250118,-0.46,433490892.8,124,157
创投,20250119,-0.46,433490892.8,124,157
创投,20250120,0.85,439718784.0,204,83
创投,20250121,-0.53,439256780.8,98,189
创投,20250122,-1.15,436595558.4,67,229
创投,20250123,-0.11,435984640.0,129,151
创投,20250124,1.2,439976140.8,216,72
创投,20250125,1.2,439976140.8,216,72
创投,20250126,1.2,439976140.8,216,72
创投,20250127,-0.88,437704678.4,113,183
创投,20250128,-0.88,437704678.4,113,183
创投,20250129,-0.88,437704678.4,113,183
创投,20250130,-0.88,437704678.4,113,183
创投,20250131,-0.88,437704678.4,113,183
创投,20250201,-0.88,437704678.4,113,183
创投,20250202,-0.88,437704678.4,113,183
创投,20250203,-0.88,437704678.4,113,183
创投,20250204,-0.88,437704678.4,113,183
创投,20250205,1.59,441508096.0,204,91
创投,20250206,2.21,448869862.4,259,28
创投,20250207,1.47,455455283.2,246,47
创投,20250208,1.47,455455283.2,246,47
创投,20250209,1.47,455455283.2,246,47
创投,20250210,1.96,461601971.2,239,55
创投,20250211,-0.21,460309657.6,93,201
创投,20250212,1.37,466366054.4,211,68
创投,20250213,-0.63,463884672.0,75,212
创投,20250214,0.1,464690560.0,115,174
创投,20250215,0.1,464690560.0,115,174
