name,trade_date,pct_change,total_mv,up_num,down_num
创新药,20241220,0.66,153939240.0,53,32
创新药,20241221,0.66,153939240.0,53,32
创新药,20241222,0.66,153939240.0,53,32
创新药,20241223,-2.82,151064676.8,8,79
创新药,20241224,0.87,152382806.4,66,18
创新药,20241225,-1.38,151197200.0,21,63
创新药,20241226,-0.24,150228171.2,29,52
创新药,20241227,0.74,151235502.4,63,23
创新药,20241228,0.74,151235502.4,63,23
创新药,20241229,0.74,151235502.4,63,23
创新药,20241230,-0.85,150762872.0,24,62
创新药,20241231,-2.16,148181630.4,6,81
创新药,20250101,-2.16,148181630.4,6,81
创新药,20250102,-1.63,145441307.2,9,77
创新药,20250103,-1.08,143923220.8,20,66
创新药,20250104,-1.08,143923220.8,20,66
创新药,20250105,-1.08,143923220.8,20,66
创新药,20250106,2.03,145963828.8,64,21
创新药,20250107,-1.45,143269073.6,21,62
创新药,20250108,-0.84,142027603.2,25,59
创新药,20250109,-0.91,141252011.2,23,62
创新药,20250110,-2.74,138626876.8,9,77
创新药,20250111,-2.74,138626876.8,9,77
创新药,20250112,-2.74,138626876.8,9,77
创新药,20250113,0.61,140135692.8,61,27
创新药,20250114,3.29,144396904.0,87,1
创新药,20250115,-1.18,142920550.4,8,79
创新药,20250116,0.08,138376062.4,35,48
创新药,20250117,0.57,139213264.0,59,24
创新药,20250118,0.57,139213264.0,59,24
创新药,20250119,0.57,139213264.0,59,24
创新药,20250120,1.22,145716273.6,63,23
创新药,20250121,-0.99,145360177.6,17,68
创新药,20250122,-0.9,144447972.8,21,66
创新药,20250123,-0.12,143792708.8,36,44
创新药,20250124,0.17,144182904.0,59,27
创新药,20250127,-0.23,144244681.6,41,46
创新药,20250128,-0.23,144244681.6,41,46
创新药,20250129,-0.23,144244681.6,41,46
创新药,20250130,-0.23,144244681.6,41,46
创新药,20250131,-0.23,144244681.6,41,46
创新药,20250201,-0.23,144244681.6,41,46
创新药,20250202,-0.23,144244681.6,41,46
创新药,20250203,-0.23,144244681.6,41,46
创新药,20250204,-0.23,144244681.6,41,46
创新药,20250205,1.13,144166086.4,67,21
创新药,20250206,1.13,145399569.6,68,14
创新药,20250207,1.62,146941430.4,71,17
创新药,20250208,1.62,146941430.4,71,17
创新药,20250209,1.62,146941430.4,71,17
创新药,20250210,2.21,148427193.6,78,9
创新药,20250211,-1.44,146869460.8,11,75
创新药,20250212,0.05,146979372.8,36,45
创新药,20250213,-0.7,146269304.0,17,65
创新药,20250214,2.0,148418547.2,73,13
创新药,20250215,2.0,148418547.2,73,13
