name,trade_date,pct_change,total_mv,up_num,down_num
化工原料,20241220,0.51,114346881.6,35,28
化工原料,20241221,0.51,114346881.6,35,28
化工原料,20241222,0.51,114346881.6,35,28
化工原料,20241223,-2.86,114088068.8,15,53
化工原料,20241224,1.18,115488294.4,52,13
化工原料,20241225,-1.99,113705019.2,8,58
化工原料,20241226,0.65,113766121.6,37,24
化工原料,20241227,0.99,113915766.4,51,16
化工原料,20241228,0.99,113915766.4,51,16
化工原料,20241229,0.99,113915766.4,51,16
化工原料,20241230,-0.98,113894681.6,13,54
化工原料,20241231,-2.02,112024790.4,10,58
化工原料,20250101,-2.02,112024790.4,10,58
化工原料,20250102,-1.77,109772412.8,8,59
化工原料,20250103,-2.45,108876731.2,14,54
化工原料,20250104,-2.45,108876731.2,14,54
化工原料,20250105,-2.45,108876731.2,14,54
化工原料,20250106,0.7,109859804.8,35,31
化工原料,20250107,1.12,109889296.0,48,18
化工原料,20250108,-0.79,108402931.2,15,52
化工原料,20250109,0.01,108330684.8,33,33
化工原料,20250110,-2.01,106606116.8,9,59
化工原料,20250111,-2.01,106606116.8,9,59
化工原料,20250112,-2.01,106606116.8,9,59
化工原料,20250113,0.56,107181856.0,41,26
化工原料,20250114,3.46,109703046.4,66,1
化工原料,20250115,-0.38,109415028.8,21,42
化工原料,20250116,0.62,109233395.2,48,19
化工原料,20250117,1.08,110850985.6,48,17
化工原料,20250118,1.08,110850985.6,48,17
化工原料,20250119,1.08,110850985.6,48,17
化工原料,20250120,0.21,111686478.4,36,30
化工原料,20250121,-0.94,110624443.2,12,54
化工原料,20250122,-1.15,110032654.4,10,57
化工原料,20250123,-0.26,109596603.2,25,40
化工原料,20250124,0.81,110410704.0,48,20
化工原料,20250125,0.81,110410704.0,48,20
化工原料,20250126,0.81,110410704.0,48,20
化工原料,20250127,0.17,111194456.0,37,31
化工原料,20250128,0.17,111194456.0,37,31
化工原料,20250129,0.17,111194456.0,37,31
化工原料,20250130,0.17,111194456.0,37,31
化工原料,20250131,0.17,111194456.0,37,31
化工原料,20250201,0.17,111194456.0,37,31
化工原料,20250202,0.17,111194456.0,37,31
化工原料,20250203,0.17,111194456.0,37,31
化工原料,20250204,0.17,111194456.0,37,31
化工原料,20250205,-0.08,110199379.2,26,39
化工原料,20250206,1.38,110705483.2,58,9
化工原料,20250207,0.93,111952662.4,54,13
化工原料,20250208,0.93,111952662.4,54,13
化工原料,20250209,0.93,111952662.4,54,13
化工原料,20250210,1.01,113034094.4,47,20
化工原料,20250211,-0.04,113489092.8,28,40
化工原料,20250212,1.05,114308534.4,47,18
化工原料,20250213,-0.38,114659846.4,17,51
化工原料,20250214,-0.52,113621798.4,18,47
化工原料,20250215,-0.52,113621798.4,18,47
