name,trade_date,pct_change,total_mv,up_num,down_num
区块链,20241220,0.9,829010124.8,153,74
区块链,20241221,0.9,829010124.8,153,74
区块链,20241222,0.9,829010124.8,153,74
区块链,20241223,-5.28,824429619.2,22,214
区块链,20241224,-0.09,833115084.8,123,104
区块链,20241225,-2.51,833595673.6,33,199
区块链,20241226,1.05,835514624.0,165,60
区块链,20241227,0.52,834510156.8,154,77
区块链,20241228,0.52,834510156.8,154,77
区块链,20241229,0.52,834510156.8,154,77
区块链,20241230,-0.32,837912857.6,90,142
区块链,20241231,-3.7,816372992.0,20,215
区块链,20250101,-3.7,816372992.0,20,215
区块链,20250102,-2.51,791269324.8,30,202
区块链,20250103,-4.92,771725209.6,13,221
区块链,20250104,-4.92,771725209.6,13,221
区块链,20250105,-4.92,771725209.6,13,221
区块链,20250106,-1.64,769517798.4,63,163
区块链,20250107,2.94,775991347.2,211,22
区块链,20250108,-0.2,775767321.6,78,149
区块链,20250109,0.43,773641036.8,144,78
区块链,20250110,-3.44,757941657.6,8,225
区块链,20250111,-3.44,757941657.6,8,225
区块链,20250112,-3.44,757941657.6,8,225
区块链,20250113,0.35,755272780.8,139,86
区块链,20250114,5.86,779736371.2,231,3
区块链,20250115,0.04,777544422.4,80,148
区块链,20250116,0.68,683623449.6,158,69
区块链,20250117,-0.56,680598963.2,78,142
区块链,20250118,-0.56,680598963.2,78,142
区块链,20250119,-0.56,680598963.2,78,142
区块链,20250120,0.64,779717708.8,149,75
区块链,20250121,0.0,781334988.8,90,141
区块链,20250122,-0.94,776723020.8,52,183
区块链,20250123,-0.14,786556595.2,101,125
区块链,20250124,2.87,797299686.4,203,30
区块链,20250125,2.87,797299686.4,203,30
区块链,20250126,2.87,797299686.4,203,30
区块链,20250127,-1.27,792896102.4,68,166
区块链,20250128,-1.27,792896102.4,68,166
区块链,20250129,-1.27,792896102.4,68,166
区块链,20250130,-1.27,792896102.4,68,166
区块链,20250131,-1.27,792896102.4,68,166
区块链,20250201,-1.27,792896102.4,68,166
区块链,20250202,-1.27,792896102.4,68,166
区块链,20250203,-1.27,792896102.4,68,166
区块链,20250204,-1.27,792896102.4,68,166
区块链,20250205,3.73,794949683.2,207,27
区块链,20250206,2.8,808623948.8,214,15
区块链,20250207,2.42,822149248.0,200,32
区块链,20250208,2.42,822149248.0,200,32
区块链,20250209,2.42,822149248.0,200,32
区块链,20250210,3.63,832635673.6,203,31
区块链,20250211,-0.49,833557529.6,71,162
区块链,20250212,2.37,847808153.6,185,42
区块链,20250213,-0.39,846669388.8,74,152
区块链,20250214,2.04,857381120.0,160,70
区块链,20250215,2.04,857381120.0,160,70
