name,trade_date,pct_change,total_mv,up_num,down_num
医废处理,20241220,0.44,20656287.5,21,11
医废处理,20241221,0.44,20656287.5,21,11
医废处理,20241222,0.44,20656287.5,21,11
医废处理,20241223,-4.53,20046814.6,0,33
医废处理,20241224,0.65,20249795.0,23,9
医废处理,20241225,-1.93,20025378.9,10,23
医废处理,20241226,0.49,20052670.3,18,13
医废处理,20241227,1.54,20356967.4,26,4
医废处理,20241228,1.54,20356967.4,26,4
医废处理,20241229,1.54,20356967.4,26,4
医废处理,20241230,-1.62,20132821.2,2,29
医废处理,20241231,-1.96,20336054.5,3,30
医废处理,20250101,-1.96,20336054.5,3,30
医废处理,20250102,-1.88,19830613.6,4,29
医废处理,20250103,-3.58,19260078.2,0,33
医废处理,20250104,-3.58,19260078.2,0,33
医废处理,20250105,-3.58,19260078.2,0,33
医废处理,20250106,0.11,19300679.8,17,11
医废处理,20250107,1.41,19398259.2,23,9
医废处理,20250108,-0.3,19303991.0,10,22
医废处理,20250109,-0.1,19215526.7,11,18
医废处理,20250110,-2.12,18936507.0,4,29
医废处理,20250111,-2.12,18936507.0,4,29
医废处理,20250112,-2.12,18936507.0,4,29
医废处理,20250113,0.5,19031112.8,22,8
医废处理,20250114,3.99,19625909.5,32,0
医废处理,20250115,-0.4,19500326.0,11,20
医废处理,20250116,0.69,19327647.0,23,7
医废处理,20250117,-0.44,19289089.7,13,17
医废处理,20250118,-0.44,19289089.7,13,17
医废处理,20250119,-0.44,19289089.7,13,17
医废处理,20250120,0.69,19689447.3,25,6
医废处理,20250121,0.13,19702627.8,8,23
医废处理,20250122,-0.73,19592079.3,6,25
医废处理,20250123,-0.64,19553883.0,19,14
医废处理,20250124,-0.47,19520850.8,17,16
医废处理,20250127,0.83,19651271.0,19,9
医废处理,20250128,0.83,19651271.0,19,9
医废处理,20250129,0.83,19651271.0,19,9
医废处理,20250130,0.83,19651271.0,19,9
医废处理,20250131,0.83,19651271.0,19,9
医废处理,20250201,0.83,19651271.0,19,9
医废处理,20250202,0.83,19651271.0,19,9
医废处理,20250203,0.83,19651271.0,19,9
医废处理,20250204,0.83,19651271.0,19,9
医废处理,20250205,0.63,19588294.9,20,11
医废处理,20250206,1.33,19793729.6,32,1
医废处理,20250207,1.14,19962734.0,25,6
医废处理,20250208,1.14,19962734.0,25,6
医废处理,20250209,1.14,19962734.0,25,6
医废处理,20250210,1.6,20101993.4,23,8
医废处理,20250211,-0.32,20056591.6,9,22
医废处理,20250212,0.3,20089055.3,17,13
医废处理,20250213,-1.17,19913798.5,6,26
医废处理,20250214,-0.01,19851258.1,11,21
医废处理,20250215,-0.01,19851258.1,11,21
