name,trade_date,pct_change,total_mv,up_num,down_num
医疗器械概念,20241220,1.26,464486604.8,223,75
医疗器械概念,20241221,1.26,464486604.8,223,75
医疗器械概念,20241222,1.26,464486604.8,223,75
医疗器械概念,20241223,-4.05,455969075.2,24,283
医疗器械概念,20241224,0.84,461648896.0,219,80
医疗器械概念,20241225,-1.56,457911680.0,66,240
医疗器械概念,20241226,0.58,457658035.2,184,107
医疗器械概念,20241227,0.72,458701798.4,214,91
医疗器械概念,20241228,0.72,458701798.4,214,91
医疗器械概念,20241229,0.72,458701798.4,214,91
医疗器械概念,20241230,-1.49,455256524.8,52,250
医疗器械概念,20241231,-2.53,446404198.4,24,284
医疗器械概念,20250101,-2.53,446404198.4,24,284
医疗器械概念,20250102,-2.01,436875366.4,42,263
医疗器械概念,20250103,-2.83,429478550.4,34,272
医疗器械概念,20250104,-2.83,429478550.4,34,272
医疗器械概念,20250105,-2.83,429478550.4,34,272
医疗器械概念,20250106,0.67,431599641.6,189,116
医疗器械概念,20250107,0.9,430950912.0,193,115
医疗器械概念,20250108,0.07,431289420.8,116,189
医疗器械概念,20250109,0.18,431274828.8,133,170
医疗器械概念,20250110,-2.57,423645668.8,29,279
医疗器械概念,20250111,-2.57,423645668.8,29,279
医疗器械概念,20250112,-2.57,423645668.8,29,279
医疗器械概念,20250113,0.61,423685385.6,204,96
医疗器械概念,20250114,4.35,437280281.6,307,1
医疗器械概念,20250115,-0.7,434443750.4,61,241
医疗器械概念,20250116,0.27,424351444.8,163,134
医疗器械概念,20250117,0.21,425179001.6,169,131
医疗器械概念,20250118,0.21,425179001.6,169,131
医疗器械概念,20250119,0.21,425179001.6,169,131
医疗器械概念,20250120,1.04,439007948.8,226,77
医疗器械概念,20250121,-0.3,438900761.6,108,191
医疗器械概念,20250122,-1.24,435231641.6,50,258
医疗器械概念,20250123,-0.12,434850278.4,145,147
医疗器械概念,20250124,0.71,436856601.6,214,83
医疗器械概念,20250125,0.71,436856601.6,214,83
医疗器械概念,20250126,0.71,436856601.6,214,83
医疗器械概念,20250127,-0.68,435108915.2,117,186
医疗器械概念,20250128,-0.68,435108915.2,117,186
医疗器械概念,20250129,-0.68,435108915.2,117,186
医疗器械概念,20250130,-0.68,435108915.2,117,186
医疗器械概念,20250131,-0.68,435108915.2,117,186
医疗器械概念,20250201,-0.68,435108915.2,117,186
医疗器械概念,20250202,-0.68,435108915.2,117,186
医疗器械概念,20250203,-0.68,435108915.2,117,186
医疗器械概念,20250204,-0.68,435108915.2,117,186
医疗器械概念,20250205,1.34,437234483.2,224,83
医疗器械概念,20250206,2.0,443912345.6,276,33
医疗器械概念,20250207,1.62,451709952.0,254,52
医疗器械概念,20250208,1.62,451709952.0,254,52
医疗器械概念,20250209,1.62,451709952.0,254,52
医疗器械概念,20250210,2.43,457941785.6,268,40
医疗器械概念,20250211,-0.56,454792192.0,84,220
医疗器械概念,20250212,0.46,457262233.6,161,129
医疗器械概念,20250213,-1.21,453667020.8,55,251
医疗器械概念,20250214,2.09,461863449.6,221,84
医疗器械概念,20250215,2.09,461863449.6,221,84
