name,trade_date,pct_change,total_mv,up_num,down_num
医疗美容,20241220,1.1,100853766.4,44,22
医疗美容,20241221,1.1,100853766.4,44,22
医疗美容,20241222,1.1,100853766.4,44,22
医疗美容,20241223,-3.72,98816012.8,4,63
医疗美容,20241224,0.85,99908824.0,47,17
医疗美容,20241225,-1.18,99058683.2,12,51
医疗美容,20241226,0.11,98902752.0,27,35
医疗美容,20241227,1.06,99106022.4,54,13
医疗美容,20241228,1.06,99106022.4,54,13
医疗美容,20241229,1.06,99106022.4,54,13
医疗美容,20241230,-1.62,98080089.6,6,59
医疗美容,20241231,-1.95,95989910.4,7,60
医疗美容,20250101,-1.95,95989910.4,7,60
医疗美容,20250102,-1.41,93587606.4,10,57
医疗美容,20250103,-2.63,92058681.6,6,59
医疗美容,20250104,-2.63,92058681.6,6,59
医疗美容,20250105,-2.63,92058681.6,6,59
医疗美容,20250106,1.26,92719192.0,43,21
医疗美容,20250107,-0.31,92933640.0,26,39
医疗美容,20250108,0.14,92216200.0,28,35
医疗美容,20250109,-0.97,91635392.0,13,50
医疗美容,20250110,-3.48,89396073.6,3,64
医疗美容,20250111,-3.48,89396073.6,3,64
医疗美容,20250112,-3.48,89396073.6,3,64
医疗美容,20250113,0.2,89527654.4,37,26
医疗美容,20250114,3.9,92589710.4,67,0
医疗美容,20250115,-0.71,91719080.0,14,50
医疗美容,20250116,0.87,90104324.8,51,12
医疗美容,20250117,-0.24,90105280.0,29,33
医疗美容,20250118,-0.24,90105280.0,29,33
医疗美容,20250119,-0.24,90105280.0,29,33
医疗美容,20250120,0.72,92838273.6,50,15
医疗美容,20250121,-0.9,92866793.6,10,55
医疗美容,20250122,-1.39,91976116.8,6,61
医疗美容,20250123,-0.26,91809868.8,31,30
医疗美容,20250124,0.35,92073603.2,41,21
医疗美容,20250125,0.35,92073603.2,41,21
医疗美容,20250126,0.35,92073603.2,41,21
医疗美容,20250127,-0.38,91619049.6,28,35
医疗美容,20250128,-0.38,91619049.6,28,35
医疗美容,20250129,-0.38,91619049.6,28,35
医疗美容,20250130,-0.38,91619049.6,28,35
医疗美容,20250131,-0.38,91619049.6,28,35
医疗美容,20250201,-0.38,91619049.6,28,35
医疗美容,20250202,-0.38,91619049.6,28,35
医疗美容,20250203,-0.38,91619049.6,28,35
医疗美容,20250204,-0.38,91619049.6,28,35
医疗美容,20250205,1.11,92242611.2,50,17
医疗美容,20250206,0.81,93217040.0,58,7
医疗美容,20250207,1.68,94571787.2,62,3
医疗美容,20250208,1.68,94571787.2,62,3
医疗美容,20250209,1.68,94571787.2,62,3
医疗美容,20250210,2.82,96170670.4,63,4
医疗美容,20250211,-0.81,95109841.6,15,49
医疗美容,20250212,0.19,95500174.4,31,26
医疗美容,20250213,-0.31,95666603.2,21,45
医疗美容,20250214,1.66,97089558.4,47,18
医疗美容,20250215,1.66,97089558.4,47,18
