name,trade_date,pct_change,total_mv,up_num,down_num
华为昇腾,20241220,1.34,35569380.8,21,5
华为昇腾,20241221,1.34,35569380.8,21,5
华为昇腾,20241222,1.34,35569380.8,21,5
华为昇腾,20241223,-5.99,33850542.4,0,26
华为昇腾,20241224,0.09,35329032.0,10,13
华为昇腾,20241225,-2.89,36538689.6,3,24
华为昇腾,20241226,1.8,36988131.2,24,2
华为昇腾,20241227,-0.43,36716884.8,14,12
华为昇腾,20241228,-0.43,36716884.8,14,12
华为昇腾,20241229,-0.43,36716884.8,14,12
华为昇腾,20241230,-0.21,36619502.4,10,17
华为昇腾,20241231,-4.58,34972395.2,0,27
华为昇腾,20250101,-4.58,34972395.2,0,27
华为昇腾,20250102,-2.63,33797204.8,3,24
华为昇腾,20250103,-6.16,31800497.6,0,27
华为昇腾,20250104,-6.16,31800497.6,0,27
华为昇腾,20250105,-6.16,31800497.6,0,27
华为昇腾,20250106,-1.62,31409844.8,2,25
华为昇腾,20250107,2.97,32126739.2,27,0
华为昇腾,20250108,-0.7,31872745.6,6,20
华为昇腾,20250109,0.75,32150107.2,23,4
华为昇腾,20250110,-3.23,31350219.2,2,25
华为昇腾,20250111,-3.23,31350219.2,2,25
华为昇腾,20250112,-3.23,31350219.2,2,25
华为昇腾,20250113,1.11,31627824.0,23,3
华为昇腾,20250114,6.59,33874515.2,27,0
华为昇腾,20250115,-0.13,33466027.2,9,18
华为昇腾,20250116,1.8,34228160.0,23,4
华为昇腾,20250117,-1.44,33720340.8,5,22
华为昇腾,20250118,-1.44,33720340.8,5,22
华为昇腾,20250119,-1.44,33720340.8,5,22
华为昇腾,20250120,0.62,33676548.8,17,9
华为昇腾,20250121,0.17,33862924.8,14,12
华为昇腾,20250122,-1.45,33349280.0,5,21
华为昇腾,20250123,-0.8,32926086.4,9,16
华为昇腾,20250124,4.68,34270918.4,25,2
华为昇腾,20250125,4.68,34270918.4,25,2
华为昇腾,20250126,4.68,34270918.4,25,2
华为昇腾,20250127,-1.75,33303236.8,6,21
华为昇腾,20250128,-1.75,33303236.8,6,21
华为昇腾,20250129,-1.75,33303236.8,6,21
华为昇腾,20250130,-1.75,33303236.8,6,21
华为昇腾,20250131,-1.75,33303236.8,6,21
华为昇腾,20250201,-1.75,33303236.8,6,21
华为昇腾,20250202,-1.75,33303236.8,6,21
华为昇腾,20250203,-1.75,33303236.8,6,21
华为昇腾,20250204,-1.75,33303236.8,6,21
华为昇腾,20250205,6.88,36037900.8,27,0
华为昇腾,20250206,4.36,43364491.2,27,0
华为昇腾,20250207,2.67,45221964.8,23,5
华为昇腾,20250208,2.67,45221964.8,23,5
华为昇腾,20250209,2.67,45221964.8,23,5
华为昇腾,20250210,5.35,47939156.8,27,2
华为昇腾,20250211,-0.84,47682816.0,8,22
华为昇腾,20250212,2.15,49116014.4,23,6
华为昇腾,20250213,-1.15,48378542.4,10,20
华为昇腾,20250214,2.23,51467134.4,26,4
华为昇腾,20250215,2.23,51467134.4,26,4
