name,trade_date,pct_change,total_mv,up_num,down_num
口罩,20241220,1.29,273746835.2,111,40
口罩,20241221,1.29,273746835.2,111,40
口罩,20241222,1.29,273746835.2,111,40
口罩,20241223,-4.55,270128625.6,13,147
口罩,20241224,1.04,275080928.0,116,38
口罩,20241225,-2.03,272218496.0,27,132
口罩,20241226,1.1,273483553.6,104,45
口罩,20241227,0.68,273854977.6,107,52
口罩,20241228,0.68,273854977.6,107,52
口罩,20241229,0.68,273854977.6,107,52
口罩,20241230,-1.29,273346923.2,28,130
口罩,20241231,-2.38,268567561.6,12,147
口罩,20250101,-2.38,268567561.6,12,147
口罩,20250102,-1.25,262842656.0,35,122
口罩,20250103,-3.65,258369964.8,18,141
口罩,20250104,-3.65,258369964.8,18,141
口罩,20250105,-3.65,258369964.8,18,141
口罩,20250106,-0.01,259162849.6,79,79
口罩,20250107,1.88,262227620.8,119,37
口罩,20250108,0.19,261833072.0,70,82
口罩,20250109,-0.05,262370193.6,72,81
口罩,20250110,-2.59,258541201.6,13,147
口罩,20250111,-2.59,258541201.6,13,147
口罩,20250112,-2.59,258541201.6,13,147
口罩,20250113,0.3,257531032.0,98,57
口罩,20250114,5.01,269747680.0,159,1
口罩,20250115,-0.16,267228726.4,56,98
口罩,20250116,0.58,236273291.2,94,55
口罩,20250117,-0.15,237438606.4,78,76
口罩,20250118,-0.15,237438606.4,78,76
口罩,20250119,-0.15,237438606.4,78,76
口罩,20250120,1.59,271597876.8,116,38
口罩,20250121,-0.33,272997609.6,62,91
口罩,20250122,-1.27,270393867.2,22,134
口罩,20250123,-0.17,268017476.8,70,80
口罩,20250124,1.0,270886019.2,112,37
口罩,20250125,1.0,270886019.2,112,37
口罩,20250126,1.0,270886019.2,112,37
口罩,20250127,-0.76,268523665.6,68,84
口罩,20250128,-0.76,268523665.6,68,84
口罩,20250129,-0.76,268523665.6,68,84
口罩,20250130,-0.76,268523665.6,68,84
口罩,20250131,-0.76,268523665.6,68,84
口罩,20250201,-0.76,268523665.6,68,84
口罩,20250202,-0.76,268523665.6,68,84
口罩,20250203,-0.76,268523665.6,68,84
口罩,20250204,-0.76,268523665.6,68,84
口罩,20250205,0.97,269702262.4,105,52
口罩,20250206,1.94,281052332.8,136,20
口罩,20250207,1.09,287458700.8,117,39
口罩,20250208,1.09,287458700.8,117,39
口罩,20250209,1.09,287458700.8,117,39
口罩,20250210,1.23,289267336.0,118,38
口罩,20250211,0.08,289622692.8,54,99
口罩,20250212,0.67,296116436.8,90,62
口罩,20250213,-1.23,292536505.6,22,132
口罩,20250214,0.05,297041796.8,68,89
口罩,20250215,0.05,297041796.8,68,89
