name,trade_date,pct_change,total_mv,up_num,down_num
可燃冰,20241220,-0.23,30025241.6,5,10
可燃冰,20241221,-0.23,30025241.6,5,10
可燃冰,20241222,-0.23,30025241.6,5,10
可燃冰,20241223,-1.89,30001592.0,5,9
可燃冰,20241224,0.94,30501457.6,13,2
可燃冰,20241225,-1.3,30410267.2,5,9
可燃冰,20241226,0.39,30359667.2,8,6
可燃冰,20241227,1.61,30675246.4,14,1
可燃冰,20241228,1.61,30675246.4,14,1
可燃冰,20241229,1.61,30675246.4,14,1
可燃冰,20241230,-0.63,30881451.2,5,10
可燃冰,20241231,-0.38,30715984.0,4,11
可燃冰,20250101,-0.38,30715984.0,4,11
可燃冰,20250102,-1.95,29994883.2,1,14
可燃冰,20250103,-0.64,30174723.2,6,9
可燃冰,20250104,-0.64,30174723.2,6,9
可燃冰,20250105,-0.64,30174723.2,6,9
可燃冰,20250106,0.06,30210616.0,9,5
可燃冰,20250107,1.58,30475272.0,12,3
可燃冰,20250108,0.68,30484235.2,4,10
可燃冰,20250109,-1.2,29944806.4,3,10
可燃冰,20250110,-1.99,29561902.4,0,15
可燃冰,20250111,-1.99,29561902.4,0,15
可燃冰,20250112,-1.99,29561902.4,0,15
可燃冰,20250113,1.8,29797900.8,13,2
可燃冰,20250114,2.98,30682932.8,14,1
可燃冰,20250115,-1.18,30486316.8,5,9
可燃冰,20250116,2.12,24564250.9,14,1
可燃冰,20250117,-0.05,24622226.2,7,7
可燃冰,20250118,-0.05,24622226.2,7,7
可燃冰,20250119,-0.05,24622226.2,7,7
可燃冰,20250120,0.44,30987561.6,6,7
可燃冰,20250121,-1.2,30672432.0,3,12
可燃冰,20250122,-0.73,30473014.4,5,10
可燃冰,20250123,-0.89,30307606.4,5,9
可燃冰,20250124,1.31,30579646.4,13,1
可燃冰,20250125,1.31,30579646.4,13,1
可燃冰,20250126,1.31,30579646.4,13,1
可燃冰,20250127,1.69,31406553.6,9,5
可燃冰,20250128,1.69,31406553.6,9,5
可燃冰,20250129,1.69,31406553.6,9,5
可燃冰,20250130,1.69,31406553.6,9,5
可燃冰,20250131,1.69,31406553.6,9,5
可燃冰,20250201,1.69,31406553.6,9,5
可燃冰,20250202,1.69,31406553.6,9,5
可燃冰,20250203,1.69,31406553.6,9,5
可燃冰,20250204,1.69,31406553.6,9,5
可燃冰,20250205,-0.94,30607312.0,6,9
可燃冰,20250206,1.14,30753163.2,12,3
可燃冰,20250207,0.31,30922364.8,8,6
可燃冰,20250208,0.31,30922364.8,8,6
可燃冰,20250209,0.31,30922364.8,8,6
可燃冰,20250210,0.17,30741177.6,7,6
可燃冰,20250211,0.35,30854836.8,9,5
可燃冰,20250212,-0.38,30774414.4,5,9
可燃冰,20250213,-0.95,30556137.6,1,14
可燃冰,20250214,-0.51,30424220.8,4,10
可燃冰,20250215,-0.51,30424220.8,4,10
