name,trade_date,pct_change,total_mv,up_num,down_num
商汤概念,20241220,1.77,49724875.2,10,4
商汤概念,20241221,1.77,49724875.2,10,4
商汤概念,20241222,1.77,49724875.2,10,4
商汤概念,20241223,-5.2,48178401.6,1,13
商汤概念,20241224,1.07,48746798.4,9,5
商汤概念,20241225,-1.99,47962702.4,3,11
商汤概念,20241226,3.21,49378238.4,11,2
商汤概念,20241227,-0.7,49082979.2,7,7
商汤概念,20241228,-0.7,49082979.2,7,7
商汤概念,20241229,-0.7,49082979.2,7,7
商汤概念,20241230,-0.69,49098660.8,5,9
商汤概念,20241231,-3.57,47683670.4,2,12
商汤概念,20250101,-3.57,47683670.4,2,12
商汤概念,20250102,-2.12,45929113.6,3,11
商汤概念,20250103,-4.58,44138659.2,1,13
商汤概念,20250104,-4.58,44138659.2,1,13
商汤概念,20250105,-4.58,44138659.2,1,13
商汤概念,20250106,-1.23,43707708.8,3,11
商汤概念,20250107,2.68,45038937.6,11,3
商汤概念,20250108,0.98,45358745.6,5,7
商汤概念,20250109,0.39,45673953.6,8,6
商汤概念,20250110,-3.71,44529521.6,0,14
商汤概念,20250111,-3.71,44529521.6,0,14
商汤概念,20250112,-3.71,44529521.6,0,14
商汤概念,20250113,0.61,44239246.4,10,3
商汤概念,20250114,4.94,46162563.2,14,0
商汤概念,20250115,-0.01,46016484.8,5,8
商汤概念,20250116,0.0,43916868.8,10,4
商汤概念,20250117,0.66,44426153.6,6,8
商汤概念,20250118,0.66,44426153.6,6,8
商汤概念,20250119,0.66,44426153.6,6,8
商汤概念,20250120,1.27,47175734.4,9,5
商汤概念,20250121,0.68,48279331.2,6,8
商汤概念,20250122,-0.84,47723032.0,2,12
商汤概念,20250123,-0.76,48212772.8,5,9
商汤概念,20250124,3.72,49282526.4,12,1
商汤概念,20250125,3.72,49282526.4,12,1
商汤概念,20250126,3.72,49282526.4,12,1
商汤概念,20250127,-0.59,48958512.0,5,9
商汤概念,20250128,-0.59,48958512.0,5,9
商汤概念,20250129,-0.59,48958512.0,5,9
商汤概念,20250130,-0.59,48958512.0,5,9
商汤概念,20250131,-0.59,48958512.0,5,9
商汤概念,20250201,-0.59,48958512.0,5,9
商汤概念,20250202,-0.59,48958512.0,5,9
商汤概念,20250203,-0.59,48958512.0,5,9
商汤概念,20250204,-0.59,48958512.0,5,9
商汤概念,20250205,3.6,50155256.0,11,3
商汤概念,20250206,2.57,51692617.6,13,0
商汤概念,20250207,0.96,52063817.6,10,4
商汤概念,20250208,0.96,52063817.6,10,4
商汤概念,20250209,0.96,52063817.6,10,4
商汤概念,20250210,5.62,53519356.8,13,1
商汤概念,20250211,-1.38,52368801.6,3,10
商汤概念,20250212,2.11,53739689.6,11,3
商汤概念,20250213,-1.76,52676436.8,3,11
商汤概念,20250214,1.96,53057851.2,7,7
商汤概念,20250215,1.96,53057851.2,7,7
