name,trade_date,pct_change,total_mv,up_num,down_num
啤酒概念,20241220,0.75,25489681.6,12,5
啤酒概念,20241221,0.75,25489681.6,12,5
啤酒概念,20241222,0.75,25489681.6,12,5
啤酒概念,20241223,-4.01,25132606.3,1,16
啤酒概念,20241224,1.29,25559782.1,15,2
啤酒概念,20241225,-1.17,25279995.6,1,16
啤酒概念,20241226,0.45,25554434.9,12,5
啤酒概念,20241227,1.3,25705330.9,12,4
啤酒概念,20241228,1.3,25705330.9,12,4
啤酒概念,20241229,1.3,25705330.9,12,4
啤酒概念,20241230,-1.26,25588090.8,2,14
啤酒概念,20241231,-0.98,25734256.6,4,12
啤酒概念,20250101,-0.98,25734256.6,4,12
啤酒概念,20250102,-0.75,25430629.1,5,11
啤酒概念,20250103,-3.61,24873245.6,0,17
啤酒概念,20250104,-3.61,24873245.6,0,17
啤酒概念,20250105,-3.61,24873245.6,0,17
啤酒概念,20250106,-0.89,24388267.1,5,11
啤酒概念,20250107,0.81,24498557.9,11,5
啤酒概念,20250108,-0.65,24335027.7,5,10
啤酒概念,20250109,-0.73,24100997.8,2,15
啤酒概念,20250110,-3.25,23542358.7,0,17
啤酒概念,20250111,-3.25,23542358.7,0,17
啤酒概念,20250112,-3.25,23542358.7,0,17
啤酒概念,20250113,0.16,23568482.9,11,5
啤酒概念,20250114,3.4,24025955.4,16,1
啤酒概念,20250115,-0.25,23800580.7,6,9
啤酒概念,20250116,1.05,18891244.9,9,6
啤酒概念,20250117,0.86,19144570.2,13,4
啤酒概念,20250118,0.86,19144570.2,13,4
啤酒概念,20250119,0.86,19144570.2,13,4
啤酒概念,20250120,0.53,24039350.2,9,4
啤酒概念,20250121,-1.35,23314395.3,1,15
啤酒概念,20250122,-1.45,23051319.1,0,17
啤酒概念,20250123,-0.01,23029612.0,8,8
啤酒概念,20250124,0.32,23140209.0,11,3
啤酒概念,20250127,0.23,23118700.3,10,6
啤酒概念,20250128,0.23,23118700.3,10,6
啤酒概念,20250129,0.23,23118700.3,10,6
啤酒概念,20250130,0.23,23118700.3,10,6
啤酒概念,20250131,0.23,23118700.3,10,6
啤酒概念,20250201,0.23,23118700.3,10,6
啤酒概念,20250202,0.23,23118700.3,10,6
啤酒概念,20250203,0.23,23118700.3,10,6
啤酒概念,20250204,0.23,23118700.3,10,6
啤酒概念,20250205,-0.32,22717389.5,7,8
啤酒概念,20250206,0.73,22860078.9,13,3
啤酒概念,20250207,0.75,23057900.8,16,1
啤酒概念,20250208,0.75,23057900.8,16,1
啤酒概念,20250209,0.75,23057900.8,16,1
啤酒概念,20250210,1.77,23260156.5,15,2
啤酒概念,20250211,-0.36,23173885.2,5,11
啤酒概念,20250212,-0.03,23289355.1,7,9
啤酒概念,20250213,-0.09,23544158.0,5,11
啤酒概念,20250214,-0.8,23383990.2,3,13
啤酒概念,20250215,-0.8,23383990.2,3,13
