name,trade_date,pct_change,total_mv,up_num,down_num
噪声防治,20241220,1.23,3270595.6,5,2
噪声防治,20241221,1.23,3270595.6,5,2
噪声防治,20241222,1.23,3270595.6,5,2
噪声防治,20241223,-5.22,3129999.6,1,7
噪声防治,20241224,-0.35,3127034.1,2,6
噪声防治,20241225,-2.64,3055818.8,1,7
噪声防治,20241226,1.73,3081595.7,6,1
噪声防治,20241227,0.72,3108763.8,5,3
噪声防治,20241228,0.72,3108763.8,5,3
噪声防治,20241229,0.72,3108763.8,5,3
噪声防治,20241230,-0.23,3101051.1,2,6
噪声防治,20241231,-1.06,3071592.8,2,6
噪声防治,20250101,-1.06,3071592.8,2,6
噪声防治,20250102,-0.96,3028274.3,2,6
噪声防治,20250103,-4.87,2890425.1,1,7
噪声防治,20250104,-4.87,2890425.1,1,7
噪声防治,20250105,-4.87,2890425.1,1,7
噪声防治,20250106,-0.79,2867802.8,2,5
噪声防治,20250107,4.85,2988350.8,8,0
噪声防治,20250108,2.18,3018527.4,4,4
噪声防治,20250109,2.47,3090253.6,3,5
噪声防治,20250110,-5.0,2949385.2,0,8
噪声防治,20250111,-5.0,2949385.2,0,8
噪声防治,20250112,-5.0,2949385.2,0,8
噪声防治,20250113,0.02,2939020.1,5,3
噪声防治,20250114,5.71,3103695.4,8,0
噪声防治,20250115,-1.82,3040892.5,1,6
噪声防治,20250116,0.51,3052416.1,5,2
噪声防治,20250117,-1.35,3023341.0,1,7
噪声防治,20250118,-1.35,3023341.0,1,7
噪声防治,20250119,-1.35,3023341.0,1,7
噪声防治,20250120,1.25,3007443.0,5,3
噪声防治,20250121,1.41,3048447.8,4,4
噪声防治,20250122,0.1,3021223.6,3,5
噪声防治,20250123,0.02,3029097.4,3,5
噪声防治,20250124,-0.2,3033970.2,4,4
噪声防治,20250127,-0.15,3044709.7,5,3
噪声防治,20250128,-0.15,3044709.7,5,3
噪声防治,20250129,-0.15,3044709.7,5,3
噪声防治,20250130,-0.15,3044709.7,5,3
噪声防治,20250131,-0.15,3044709.7,5,3
噪声防治,20250201,-0.15,3044709.7,5,3
噪声防治,20250202,-0.15,3044709.7,5,3
噪声防治,20250203,-0.15,3044709.7,5,3
噪声防治,20250204,-0.15,3044709.7,5,3
噪声防治,20250205,0.9,3039900.1,6,2
噪声防治,20250206,1.89,3112769.6,7,1
噪声防治,20250207,-0.1,3118474.6,4,4
噪声防治,20250208,-0.1,3118474.6,4,4
噪声防治,20250209,-0.1,3118474.6,4,4
噪声防治,20250210,0.29,3111166.1,3,4
噪声防治,20250211,-0.49,3091116.8,1,7
噪声防治,20250212,1.09,3109877.0,7,1
噪声防治,20250213,-0.58,3073425.4,2,5
噪声防治,20250214,-0.03,3078131.8,3,5
噪声防治,20250215,-0.03,3078131.8,3,5
