name,trade_date,pct_change,total_mv,up_num,down_num
国资云概念,20241220,0.1,34201793.6,12,5
国资云概念,20241221,0.1,34201793.6,12,5
国资云概念,20241222,0.1,34201793.6,12,5
国资云概念,20241223,-4.3,33222328.0,1,17
国资云概念,20241224,0.04,33707889.6,9,9
国资云概念,20241225,-1.56,33380489.6,3,15
国资云概念,20241226,2.8,34408496.0,17,0
国资云概念,20241227,-0.82,33583235.2,10,7
国资云概念,20241228,-0.82,33583235.2,10,7
国资云概念,20241229,-0.82,33583235.2,10,7
国资云概念,20241230,1.73,33922452.8,9,8
国资云概念,20241231,-1.97,33129307.2,4,13
国资云概念,20250101,-1.97,33129307.2,4,13
国资云概念,20250102,-3.56,31907838.4,1,16
国资云概念,20250103,-6.5,30026883.2,0,17
国资云概念,20250104,-6.5,30026883.2,0,17
国资云概念,20250105,-6.5,30026883.2,0,17
国资云概念,20250106,-2.24,29528417.6,3,14
国资云概念,20250107,2.66,30458814.4,17,0
国资云概念,20250108,-1.07,30197806.4,4,13
国资云概念,20250109,1.74,30767376.0,15,2
国资云概念,20250110,-4.25,29279952.0,0,17
国资云概念,20250111,-4.25,29279952.0,0,17
国资云概念,20250112,-4.25,29279952.0,0,17
国资云概念,20250113,0.87,29335198.4,12,5
国资云概念,20250114,5.63,31244548.8,17,0
国资云概念,20250115,-0.06,31275174.4,7,10
国资云概念,20250116,-0.41,30686251.2,6,9
国资云概念,20250117,-0.48,30630232.0,3,12
国资云概念,20250118,-0.48,30630232.0,3,12
国资云概念,20250119,-0.48,30630232.0,3,12
国资云概念,20250120,1.51,31339302.4,16,1
国资云概念,20250121,-0.07,31613396.8,6,11
国资云概念,20250122,-0.07,31668700.8,6,11
国资云概念,20250123,-1.23,31189918.4,2,14
国资云概念,20250124,3.3,32072462.4,17,0
国资云概念,20250125,3.3,32072462.4,17,0
国资云概念,20250126,3.3,32072462.4,17,0
国资云概念,20250127,-1.85,31192209.6,4,13
国资云概念,20250128,-1.85,31192209.6,4,13
国资云概念,20250129,-1.85,31192209.6,4,13
国资云概念,20250130,-1.85,31192209.6,4,13
国资云概念,20250131,-1.85,31192209.6,4,13
国资云概念,20250201,-1.85,31192209.6,4,13
国资云概念,20250202,-1.85,31192209.6,4,13
国资云概念,20250203,-1.85,31192209.6,4,13
国资云概念,20250204,-1.85,31192209.6,4,13
国资云概念,20250205,5.74,32950694.4,16,1
国资云概念,20250206,3.41,34046203.2,17,0
国资云概念,20250207,3.94,36278630.4,16,3
国资云概念,20250208,3.94,36278630.4,16,3
国资云概念,20250209,3.94,36278630.4,16,3
国资云概念,20250210,4.61,37860134.4,17,2
国资云概念,20250211,-0.85,38086515.2,6,13
国资云概念,20250212,3.62,39554654.4,18,0
国资云概念,20250213,0.15,39639929.6,6,13
国资云概念,20250214,5.57,41899132.8,17,2
国资云概念,20250215,5.57,41899132.8,17,2
