name,trade_date,pct_change,total_mv,up_num,down_num
土壤修复,20241220,0.4,20812640.4,20,13
土壤修复,20241221,0.4,20812640.4,20,13
土壤修复,20241222,0.4,20812640.4,20,13
土壤修复,20241223,-5.27,20085951.3,1,33
土壤修复,20241224,-0.76,20011690.9,19,15
土壤修复,20241225,-2.68,19596718.1,4,30
土壤修复,20241226,0.5,19675123.8,26,7
土壤修复,20241227,1.39,19806460.4,31,3
土壤修复,20241228,1.39,19806460.4,31,3
土壤修复,20241229,1.39,19806460.4,31,3
土壤修复,20241230,-1.96,19523964.2,3,30
土壤修复,20241231,-2.47,19001992.5,2,32
土壤修复,20250101,-2.47,19001992.5,2,32
土壤修复,20250102,-1.3,18691554.1,3,30
土壤修复,20250103,-4.46,18061782.5,0,34
土壤修复,20250104,-4.46,18061782.5,0,34
土壤修复,20250105,-4.46,18061782.5,0,34
土壤修复,20250106,-0.5,17980200.9,16,18
土壤修复,20250107,2.27,18201357.3,29,4
土壤修复,20250108,-0.28,18143475.0,9,25
土壤修复,20250109,0.34,18104505.0,16,16
土壤修复,20250110,-3.05,17712916.0,1,32
土壤修复,20250111,-3.05,17712916.0,1,32
土壤修复,20250112,-3.05,17712916.0,1,32
土壤修复,20250113,0.7,17753695.7,21,11
土壤修复,20250114,4.71,18426054.5,33,0
土壤修复,20250115,-0.07,18394700.8,10,23
土壤修复,20250116,0.97,18583079.8,27,6
土壤修复,20250117,-0.08,18605709.7,16,13
土壤修复,20250118,-0.08,18605709.7,16,13
土壤修复,20250119,-0.08,18605709.7,16,13
土壤修复,20250120,0.94,18808530.9,24,8
土壤修复,20250121,-0.17,18759444.8,7,26
土壤修复,20250122,-0.52,18672215.2,11,21
土壤修复,20250123,-0.39,18601567.4,15,16
土壤修复,20250124,0.48,18674226.2,19,10
土壤修复,20250125,0.48,18674226.2,19,10
土壤修复,20250126,0.48,18674226.2,19,10
土壤修复,20250127,0.24,18671652.2,20,14
土壤修复,20250128,0.24,18671652.2,20,14
土壤修复,20250129,0.24,18671652.2,20,14
土壤修复,20250130,0.24,18671652.2,20,14
土壤修复,20250131,0.24,18671652.2,20,14
土壤修复,20250201,0.24,18671652.2,20,14
土壤修复,20250202,0.24,18671652.2,20,14
土壤修复,20250203,0.24,18671652.2,20,14
土壤修复,20250204,0.24,18671652.2,20,14
土壤修复,20250205,0.83,18677934.6,25,8
土壤修复,20250206,1.04,18878261.1,28,5
土壤修复,20250207,0.87,19063600.4,28,6
土壤修复,20250208,0.87,19063600.4,28,6
土壤修复,20250209,0.87,19063600.4,28,6
土壤修复,20250210,1.99,19303735.1,30,4
土壤修复,20250211,-0.56,19230705.2,9,25
土壤修复,20250212,0.86,19387865.7,26,6
土壤修复,20250213,-0.77,19278012.8,6,26
土壤修复,20250214,-0.29,19221067.5,13,19
土壤修复,20250215,-0.29,19221067.5,13,19
