name,trade_date,pct_change,total_mv,up_num,down_num
地塞米松,20241220,0.87,8344056.7,6,4
地塞米松,20241221,0.87,8344056.7,6,4
地塞米松,20241222,0.87,8344056.7,6,4
地塞米松,20241223,-4.08,8097539.4,0,10
地塞米松,20241224,0.51,8168102.5,8,1
地塞米松,20241225,-1.85,8064409.5,0,10
地塞米松,20241226,0.13,8038709.2,4,5
地塞米松,20241227,1.56,8162828.0,9,1
地塞米松,20241228,1.56,8162828.0,9,1
地塞米松,20241229,1.56,8162828.0,9,1
地塞米松,20241230,-0.78,8111626.7,3,7
地塞米松,20241231,-2.61,7903605.3,1,9
地塞米松,20250101,-2.61,7903605.3,1,9
地塞米松,20250102,-1.18,7725556.9,2,8
地塞米松,20250103,-1.87,7599236.5,2,8
地塞米松,20250104,-1.87,7599236.5,2,8
地塞米松,20250105,-1.87,7599236.5,2,8
地塞米松,20250106,4.22,7810964.0,9,1
地塞米松,20250107,-0.31,7738878.7,2,8
地塞米松,20250108,0.66,7717114.0,3,7
地塞米松,20250109,-1.36,7620739.7,3,7
地塞米松,20250110,-3.84,7413075.9,0,10
地塞米松,20250111,-3.84,7413075.9,0,10
地塞米松,20250112,-3.84,7413075.9,0,10
地塞米松,20250113,-0.9,7406805.4,7,2
地塞米松,20250114,3.43,7653801.4,10,0
地塞米松,20250115,-0.9,7596768.0,1,9
地塞米松,20250116,0.57,7604885.4,4,4
地塞米松,20250117,-0.06,7621285.9,4,5
地塞米松,20250118,-0.06,7621285.9,4,5
地塞米松,20250119,-0.06,7621285.9,4,5
地塞米松,20250120,0.23,7670865.5,8,2
地塞米松,20250121,-1.33,7586449.2,1,9
地塞米松,20250122,-1.05,7514966.1,0,10
地塞米松,20250123,-0.41,7507203.5,5,4
地塞米松,20250124,-0.46,7503086.5,2,6
地塞米松,20250127,0.27,7533385.0,7,3
地塞米松,20250128,0.27,7533385.0,7,3
地塞米松,20250129,0.27,7533385.0,7,3
地塞米松,20250130,0.27,7533385.0,7,3
地塞米松,20250131,0.27,7533385.0,7,3
地塞米松,20250201,0.27,7533385.0,7,3
地塞米松,20250202,0.27,7533385.0,7,3
地塞米松,20250203,0.27,7533385.0,7,3
地塞米松,20250204,0.27,7533385.0,7,3
地塞米松,20250205,1.14,7566884.5,8,2
地塞米松,20250206,0.51,7625027.6,7,1
地塞米松,20250207,1.47,7714536.8,8,1
地塞米松,20250208,1.47,7714536.8,8,1
地塞米松,20250209,1.47,7714536.8,8,1
地塞米松,20250210,1.43,7770629.9,7,1
地塞米松,20250211,0.19,7782961.7,2,8
地塞米松,20250212,0.29,7801875.3,4,5
地塞米松,20250213,-0.25,7783189.3,2,8
地塞米松,20250214,0.14,7785414.9,7,2
地塞米松,20250215,0.14,7785414.9,7,2
