name,trade_date,pct_change,total_mv,up_num,down_num
基金重仓,20241220,0.63,1095534412.8,96,72
基金重仓,20241221,0.63,1095534412.8,96,72
基金重仓,20241222,0.63,1095534412.8,96,72
基金重仓,20241223,-2.01,1087745996.8,28,140
基金重仓,20241224,1.26,1102531737.6,144,25
基金重仓,20241225,-0.99,1099542323.2,42,126
基金重仓,20241226,0.98,1105425203.2,98,68
基金重仓,20241227,-0.34,1100131686.4,77,90
基金重仓,20241228,-0.34,1100131686.4,77,90
基金重仓,20241229,-0.34,1100131686.4,77,90
基金重仓,20241230,-0.44,1102517248.0,72,96
基金重仓,20241231,-2.46,1080267801.6,19,150
基金重仓,20250101,-2.46,1080267801.6,19,150
基金重仓,20250102,-2.58,1050988262.4,17,153
基金重仓,20250103,-1.62,1038310528.0,35,135
基金重仓,20250104,-1.62,1038310528.0,35,135
基金重仓,20250105,-1.62,1038310528.0,35,135
基金重仓,20250106,0.08,1036790835.2,81,85
基金重仓,20250107,1.16,1049385548.8,111,57
基金重仓,20250108,-0.3,1045837440.0,58,111
基金重仓,20250109,0.06,1047655705.6,70,96
基金重仓,20250110,-1.55,1032948864.0,30,137
基金重仓,20250111,-1.55,1032948864.0,30,137
基金重仓,20250112,-1.55,1032948864.0,30,137
基金重仓,20250113,0.09,1029937612.8,90,78
基金重仓,20250114,3.6,950164684.8,162,1
基金重仓,20250115,-1.15,938941184.0,28,135
基金重仓,20250116,0.39,922450227.2,88,72
基金重仓,20250117,1.08,725793971.2,111,44
基金重仓,20250118,1.08,725793971.2,111,44
基金重仓,20250119,1.08,725793971.2,111,44
基金重仓,20250120,0.49,665591782.4,90,56
基金重仓,20250121,-0.08,31621139.2,15,21
基金重仓,20250122,-0.22,302691393.6,8,15
基金重仓,20250123,-0.92,698834406.4,23,52
基金重仓,20250124,1.2,703628723.2,52,22
基金重仓,20250125,1.2,703628723.2,52,22
基金重仓,20250126,1.2,703628723.2,52,22
基金重仓,20250127,-1.4,692753356.8,20,55
基金重仓,20250128,-1.4,692753356.8,20,55
基金重仓,20250129,-1.4,692753356.8,20,55
基金重仓,20250130,-1.4,692753356.8,20,55
基金重仓,20250131,-1.4,692753356.8,20,55
基金重仓,20250201,-1.4,692753356.8,20,55
基金重仓,20250202,-1.4,692753356.8,20,55
基金重仓,20250203,-1.4,692753356.8,20,55
基金重仓,20250204,-1.4,692753356.8,20,55
基金重仓,20250205,-1.23,687690905.6,26,49
基金重仓,20250206,2.52,699449779.2,60,15
基金重仓,20250207,1.2,713005286.4,54,21
基金重仓,20250208,1.2,713005286.4,54,21
基金重仓,20250209,1.2,713005286.4,54,21
基金重仓,20250210,0.41,715151283.2,39,35
基金重仓,20250211,-0.36,709348710.4,26,49
基金重仓,20250212,1.07,717718886.4,55,20
基金重仓,20250213,-1.53,712963200.0,16,59
基金重仓,20250214,0.76,721729433.6,36,38
基金重仓,20250215,0.76,721729433.6,36,38
