name,trade_date,pct_change,total_mv,up_num,down_num
增强现实,20241220,3.08,62409916.8,41,4
增强现实,20241221,3.08,62409916.8,41,4
增强现实,20241222,3.08,62409916.8,41,4
增强现实,20241223,-5.78,59547105.6,2,45
增强现实,20241224,0.28,59924273.6,27,17
增强现实,20241225,-2.49,59024819.2,7,40
增强现实,20241226,1.71,60356385.6,37,7
增强现实,20241227,0.29,60067888.0,24,22
增强现实,20241228,0.29,60067888.0,24,22
增强现实,20241229,0.29,60067888.0,24,22
增强现实,20241230,-0.15,60245315.2,22,24
增强现实,20241231,-3.76,58342184.0,3,43
增强现实,20250101,-3.76,58342184.0,3,43
增强现实,20250102,-2.18,56623366.4,6,40
增强现实,20250103,-3.57,54852710.4,6,41
增强现实,20250104,-3.57,54852710.4,6,41
增强现实,20250105,-3.57,54852710.4,6,41
增强现实,20250106,-3.05,53415616.0,9,36
增强现实,20250107,3.42,55084329.6,45,2
增强现实,20250108,-0.61,54501724.8,15,32
增强现实,20250109,1.01,54800979.2,33,12
增强现实,20250110,-3.37,53394152.0,4,43
增强现实,20250111,-3.37,53394152.0,4,43
增强现实,20250112,-3.37,53394152.0,4,43
增强现实,20250113,0.33,53165257.6,26,20
增强现实,20250114,5.74,56164508.8,47,0
增强现实,20250115,-0.43,55604059.2,14,32
增强现实,20250116,0.6,55768398.4,30,15
增强现实,20250117,0.02,56021036.8,20,27
增强现实,20250118,0.02,56021036.8,20,27
增强现实,20250119,0.02,56021036.8,20,27
增强现实,20250120,0.73,56719008.0,32,15
增强现实,20250121,0.94,58167643.2,29,18
增强现实,20250122,-1.02,57812827.2,11,36
增强现实,20250123,-0.84,56881734.4,16,27
增强现实,20250124,2.8,58891752.0,43,4
增强现实,20250125,2.8,58891752.0,43,4
增强现实,20250126,2.8,58891752.0,43,4
增强现实,20250127,-1.47,57828387.2,7,40
增强现实,20250128,-1.47,57828387.2,7,40
增强现实,20250129,-1.47,57828387.2,7,40
增强现实,20250130,-1.47,57828387.2,7,40
增强现实,20250131,-1.47,57828387.2,7,40
增强现实,20250201,-1.47,57828387.2,7,40
增强现实,20250202,-1.47,57828387.2,7,40
增强现实,20250203,-1.47,57828387.2,7,40
增强现实,20250204,-1.47,57828387.2,7,40
增强现实,20250205,2.66,58861848.0,37,10
增强现实,20250206,4.03,61781014.4,42,5
增强现实,20250207,1.79,63021720.0,36,10
增强现实,20250208,1.79,63021720.0,36,10
增强现实,20250209,1.79,63021720.0,36,10
增强现实,20250210,3.49,63991688.0,38,8
增强现实,20250211,-0.45,63821356.8,17,30
增强现实,20250212,1.56,65214408.0,40,6
增强现实,20250213,-1.94,63496372.8,10,37
增强现实,20250214,1.54,64325643.2,28,18
增强现实,20250215,1.54,64325643.2,28,18
