name,trade_date,pct_change,total_mv,up_num,down_num
壳资源,20241220,0.91,27222161.6,52,23
壳资源,20241221,0.91,27222161.6,52,23
壳资源,20241222,0.91,27222161.6,52,23
壳资源,20241223,-6.23,25704907.8,6,72
壳资源,20241224,-0.41,25617267.9,44,30
壳资源,20241225,-3.54,24736692.3,5,73
壳资源,20241226,1.71,25060695.1,58,20
壳资源,20241227,1.44,25332834.2,57,18
壳资源,20241228,1.44,25332834.2,57,18
壳资源,20241229,1.44,25332834.2,57,18
壳资源,20241230,-1.2,25012957.5,15,62
壳资源,20241231,-1.7,24448756.7,14,64
壳资源,20250101,-1.7,24448756.7,14,64
壳资源,20250102,-0.65,24259642.0,24,52
壳资源,20250103,-4.27,23306461.9,9,69
壳资源,20250104,-4.27,23306461.9,9,69
壳资源,20250105,-4.27,23306461.9,9,69
壳资源,20250106,-1.13,23110519.4,24,52
壳资源,20250107,4.16,23969887.5,72,6
壳资源,20250108,0.93,24152810.1,38,34
壳资源,20250109,0.24,24218031.2,44,34
壳资源,20250110,-3.33,23485461.1,10,68
壳资源,20250111,-3.33,23485461.1,10,68
壳资源,20250112,-3.33,23485461.1,10,68
壳资源,20250113,0.02,23337661.0,46,28
壳资源,20250114,5.15,24513482.7,75,3
壳资源,20250115,0.15,24511314.4,27,47
壳资源,20250116,0.86,24642717.6,52,21
壳资源,20250117,-0.34,24677036.4,35,43
壳资源,20250118,-0.34,24677036.4,35,43
壳资源,20250119,-0.34,24677036.4,35,43
壳资源,20250120,1.14,25158393.7,54,20
壳资源,20250121,-0.72,24986435.2,20,56
壳资源,20250122,-1.42,24603020.0,17,59
壳资源,20250123,-0.89,24342179.7,24,51
壳资源,20250124,0.19,24471951.6,47,28
壳资源,20250127,-1.12,24050965.7,28,47
壳资源,20250128,-1.12,24050965.7,28,47
壳资源,20250129,-1.12,24050965.7,28,47
壳资源,20250130,-1.12,24050965.7,28,47
壳资源,20250131,-1.12,24050965.7,28,47
壳资源,20250201,-1.12,24050965.7,28,47
壳资源,20250202,-1.12,24050965.7,28,47
壳资源,20250203,-1.12,24050965.7,28,47
壳资源,20250204,-1.12,24050965.7,28,47
壳资源,20250205,0.92,24217094.6,54,20
壳资源,20250206,1.72,24721030.0,65,9
壳资源,20250207,1.9,25186881.5,66,10
壳资源,20250208,1.9,25186881.5,66,10
壳资源,20250209,1.9,25186881.5,66,10
壳资源,20250210,1.94,25542300.1,65,11
壳资源,20250211,-0.39,25412224.4,21,54
壳资源,20250212,0.78,25673941.3,45,27
壳资源,20250213,-0.36,25683214.9,17,60
壳资源,20250214,-0.22,25594139.5,22,50
壳资源,20250215,-0.22,25594139.5,22,50
