name,trade_date,pct_change,total_mv,up_num,down_num
复合集流体,20241220,1.34,19245414.5,19,5
复合集流体,20241221,1.34,19245414.5,19,5
复合集流体,20241222,1.34,19245414.5,19,5
复合集流体,20241223,-4.26,18531675.8,2,23
复合集流体,20241224,0.61,18618046.6,17,8
复合集流体,20241225,-2.25,18210426.9,3,22
复合集流体,20241226,1.86,18461394.4,19,6
复合集流体,20241227,0.45,18573969.5,16,9
复合集流体,20241228,0.45,18573969.5,16,9
复合集流体,20241229,0.45,18573969.5,16,9
复合集流体,20241230,-0.6,18524256.1,6,19
复合集流体,20241231,-3.33,17959457.7,0,25
复合集流体,20250101,-3.33,17959457.7,0,25
复合集流体,20250102,-2.69,17533935.7,3,22
复合集流体,20250103,-2.84,17122480.2,2,23
复合集流体,20250104,-2.84,17122480.2,2,23
复合集流体,20250105,-2.84,17122480.2,2,23
复合集流体,20250106,-0.89,16958080.7,11,14
复合集流体,20250107,2.26,17286178.7,22,2
复合集流体,20250108,-0.61,17181606.4,6,18
复合集流体,20250109,1.23,17400158.0,15,9
复合集流体,20250110,-2.95,16860023.6,4,21
复合集流体,20250111,-2.95,16860023.6,4,21
复合集流体,20250112,-2.95,16860023.6,4,21
复合集流体,20250113,1.79,17212401.0,18,7
复合集流体,20250114,4.65,17880806.1,25,0
复合集流体,20250115,-1.37,17618093.8,4,20
复合集流体,20250116,0.56,17710598.1,17,7
复合集流体,20250117,0.26,17700247.7,14,7
复合集流体,20250118,0.26,17700247.7,14,7
复合集流体,20250119,0.26,17700247.7,14,7
复合集流体,20250120,0.87,17803091.6,18,5
复合集流体,20250121,-0.1,17677560.6,10,13
复合集流体,20250122,-1.81,17340587.6,4,21
复合集流体,20250123,-0.94,17149351.5,9,16
复合集流体,20250124,0.74,17289868.2,18,7
复合集流体,20250125,0.74,17289868.2,18,7
复合集流体,20250126,0.74,17289868.2,18,7
复合集流体,20250127,-0.99,17175226.9,8,17
复合集流体,20250128,-0.99,17175226.9,8,17
复合集流体,20250129,-0.99,17175226.9,8,17
复合集流体,20250130,-0.99,17175226.9,8,17
复合集流体,20250131,-0.99,17175226.9,8,17
复合集流体,20250201,-0.99,17175226.9,8,17
复合集流体,20250202,-0.99,17175226.9,8,17
复合集流体,20250203,-0.99,17175226.9,8,17
复合集流体,20250204,-0.99,17175226.9,8,17
复合集流体,20250205,0.58,17203027.6,16,9
复合集流体,20250206,4.18,17840304.5,25,0
复合集流体,20250207,1.73,18180294.3,17,8
复合集流体,20250208,1.73,18180294.3,17,8
复合集流体,20250209,1.73,18180294.3,17,8
复合集流体,20250210,1.69,18335412.6,18,6
复合集流体,20250211,0.47,18317109.9,8,17
复合集流体,20250212,1.51,18591295.9,19,5
复合集流体,20250213,-1.57,18390873.1,5,18
复合集流体,20250214,0.28,18485234.8,11,13
复合集流体,20250215,0.28,18485234.8,11,13
