name,trade_date,pct_change,total_mv,up_num,down_num
多模态AI,20241220,1.8,83209148.8,38,8
多模态AI,20241221,1.8,83209148.8,38,8
多模态AI,20241222,1.8,83209148.8,38,8
多模态AI,20241223,-6.06,79103566.4,1,45
多模态AI,20241224,0.68,79113443.2,32,13
多模态AI,20241225,-2.89,77758129.6,4,42
多模态AI,20241226,1.53,78706304.0,37,9
多模态AI,20241227,-0.9,77752401.6,15,31
多模态AI,20241228,-0.9,77752401.6,15,31
多模态AI,20241229,-0.9,77752401.6,15,31
多模态AI,20241230,-0.76,77432867.2,19,26
多模态AI,20241231,-3.83,74205886.4,4,42
多模态AI,20250101,-3.83,74205886.4,4,42
多模态AI,20250102,-2.35,72390862.4,9,38
多模态AI,20250103,-4.83,68956040.0,2,45
多模态AI,20250104,-4.83,68956040.0,2,45
多模态AI,20250105,-4.83,68956040.0,2,45
多模态AI,20250106,-1.54,68260238.4,13,34
多模态AI,20250107,3.38,69821747.2,46,1
多模态AI,20250108,0.67,69791491.2,22,25
多模态AI,20250109,1.33,70589977.6,40,7
多模态AI,20250110,-3.33,68914825.6,4,43
多模态AI,20250111,-3.33,68914825.6,4,43
多模态AI,20250112,-3.33,68914825.6,4,43
多模态AI,20250113,-0.27,69007505.6,24,22
多模态AI,20250114,6.98,73269051.2,47,0
多模态AI,20250115,-0.05,73534392.0,18,28
多模态AI,20250116,0.16,74250707.2,26,21
多模态AI,20250117,-1.13,73601512.0,10,37
多模态AI,20250118,-1.13,73601512.0,10,37
多模态AI,20250119,-1.13,73601512.0,10,37
多模态AI,20250120,0.82,73541787.2,31,16
多模态AI,20250121,0.86,74220553.6,33,15
多模态AI,20250122,-1.58,73130318.4,6,42
多模态AI,20250123,0.55,73201832.0,29,19
多模态AI,20250124,5.38,77299056.0,47,2
多模态AI,20250125,5.38,77299056.0,47,2
多模态AI,20250126,5.38,77299056.0,47,2
多模态AI,20250127,-0.25,77596123.2,18,31
多模态AI,20250128,-0.25,77596123.2,18,31
多模态AI,20250129,-0.25,77596123.2,18,31
多模态AI,20250130,-0.25,77596123.2,18,31
多模态AI,20250131,-0.25,77596123.2,18,31
多模态AI,20250201,-0.25,77596123.2,18,31
多模态AI,20250202,-0.25,77596123.2,18,31
多模态AI,20250203,-0.25,77596123.2,18,31
多模态AI,20250204,-0.25,77596123.2,18,31
多模态AI,20250205,6.37,83432745.6,49,0
多模态AI,20250206,3.44,86350438.4,45,4
多模态AI,20250207,1.71,89073468.8,36,13
多模态AI,20250208,1.71,89073468.8,36,13
多模态AI,20250209,1.71,89073468.8,36,13
多模态AI,20250210,4.44,92462590.4,44,5
多模态AI,20250211,-0.98,91622635.2,15,35
多模态AI,20250212,1.9,93924499.2,41,10
多模态AI,20250213,-0.82,92607603.2,15,36
多模态AI,20250214,2.56,94757107.2,42,9
多模态AI,20250215,2.56,94757107.2,42,9
