name,trade_date,pct_change,total_mv,up_num,down_num
大数据,20241220,1.04,514773785.6,221,83
大数据,20241221,1.04,514773785.6,221,83
大数据,20241222,1.04,514773785.6,221,83
大数据,20241223,-5.38,499952614.4,17,293
大数据,20241224,0.07,504920857.6,162,137
大数据,20241225,-2.88,498003968.0,34,273
大数据,20241226,1.75,504249804.8,254,46
大数据,20241227,0.24,501954969.6,184,122
大数据,20241228,0.24,501954969.6,184,122
大数据,20241229,0.24,501954969.6,184,122
大数据,20241230,-0.26,502537804.8,120,184
大数据,20241231,-3.4,484746572.8,33,269
大数据,20250101,-3.4,484746572.8,33,269
大数据,20250102,-2.62,465517670.4,35,269
大数据,20250103,-5.14,447347200.0,17,291
大数据,20250104,-5.14,447347200.0,17,291
大数据,20250105,-5.14,447347200.0,17,291
大数据,20250106,-1.52,443292569.6,66,235
大数据,20250107,3.13,453589888.0,291,17
大数据,20250108,-0.17,449732172.8,105,193
大数据,20250109,0.86,451662489.6,212,85
大数据,20250110,-3.55,438206668.8,14,292
大数据,20250111,-3.55,438206668.8,14,292
大数据,20250112,-3.55,438206668.8,14,292
大数据,20250113,0.57,439559577.6,207,98
大数据,20250114,6.02,464865971.2,306,3
大数据,20250115,-0.38,460852044.8,95,209
大数据,20250116,0.79,460225433.6,206,94
大数据,20250117,-0.48,459990784.0,113,184
大数据,20250118,-0.48,459990784.0,113,184
大数据,20250119,-0.48,459990784.0,113,184
大数据,20250120,0.67,464221337.6,209,90
大数据,20250121,-0.07,467602048.0,135,169
大数据,20250122,-0.91,469440870.4,68,236
大数据,20250123,0.16,468676377.6,148,146
大数据,20250124,3.54,481064473.6,275,31
大数据,20250125,3.54,481064473.6,275,31
大数据,20250126,3.54,481064473.6,275,31
大数据,20250127,-1.23,469766758.4,96,208
大数据,20250128,-1.23,469766758.4,96,208
大数据,20250129,-1.23,469766758.4,96,208
大数据,20250130,-1.23,469766758.4,96,208
大数据,20250131,-1.23,469766758.4,96,208
大数据,20250201,-1.23,469766758.4,96,208
大数据,20250202,-1.23,469766758.4,96,208
大数据,20250203,-1.23,469766758.4,96,208
大数据,20250204,-1.23,469766758.4,96,208
大数据,20250205,4.43,483349606.4,283,22
大数据,20250206,2.93,497406259.2,282,23
大数据,20250207,2.2,510646118.4,250,54
大数据,20250208,2.2,510646118.4,250,54
大数据,20250209,2.2,510646118.4,250,54
大数据,20250210,4.56,525449011.2,280,27
大数据,20250211,-0.58,522514176.0,90,211
大数据,20250212,2.2,533889945.6,246,58
大数据,20250213,-0.64,529104742.4,90,212
大数据,20250214,3.02,543964211.2,236,71
大数据,20250215,3.02,543964211.2,236,71
