name,trade_date,pct_change,total_mv,up_num,down_num
宠物经济,20241220,1.88,24945611.2,26,10
宠物经济,20241221,1.88,24945611.2,26,10
宠物经济,20241222,1.88,24945611.2,26,10
宠物经济,20241223,-4.64,24263101.1,2,34
宠物经济,20241224,1.27,24573429.6,29,7
宠物经济,20241225,-2.0,24511355.8,3,32
宠物经济,20241226,0.7,24559257.6,26,11
宠物经济,20241227,1.17,24874332.8,28,8
宠物经济,20241228,1.17,24874332.8,28,8
宠物经济,20241229,1.17,24874332.8,28,8
宠物经济,20241230,-1.07,24789022.6,11,25
宠物经济,20241231,-1.99,24361677.0,4,32
宠物经济,20250101,-1.99,24361677.0,4,32
宠物经济,20250102,-0.1,24237987.5,17,20
宠物经济,20250103,-2.4,23864629.9,9,28
宠物经济,20250104,-2.4,23864629.9,9,28
宠物经济,20250105,-2.4,23864629.9,9,28
宠物经济,20250106,-0.6,23482427.4,15,21
宠物经济,20250107,1.22,23636670.0,22,15
宠物经济,20250108,0.16,23576108.4,15,19
宠物经济,20250109,-0.18,23496039.3,10,27
宠物经济,20250110,-2.61,23581110.2,5,33
宠物经济,20250111,-2.61,23581110.2,5,33
宠物经济,20250112,-2.61,23581110.2,5,33
宠物经济,20250113,-0.64,23496778.9,18,17
宠物经济,20250114,4.49,24308778.9,38,0
宠物经济,20250115,1.56,24526114.1,22,15
宠物经济,20250116,0.99,24752426.9,25,13
宠物经济,20250117,0.95,25220182.2,24,14
宠物经济,20250118,0.95,25220182.2,24,14
宠物经济,20250119,0.95,25220182.2,24,14
宠物经济,20250120,1.04,25424671.3,27,11
宠物经济,20250121,-0.28,25400561.6,10,27
宠物经济,20250122,-1.76,24897317.8,6,32
宠物经济,20250123,-0.28,24958902.1,18,19
宠物经济,20250124,1.11,25077043.9,29,7
宠物经济,20250125,1.11,25077043.9,29,7
宠物经济,20250126,1.11,25077043.9,29,7
宠物经济,20250127,0.09,25215805.9,21,15
宠物经济,20250128,0.09,25215805.9,21,15
宠物经济,20250129,0.09,25215805.9,21,15
宠物经济,20250130,0.09,25215805.9,21,15
宠物经济,20250131,0.09,25215805.9,21,15
宠物经济,20250201,0.09,25215805.9,21,15
宠物经济,20250202,0.09,25215805.9,21,15
宠物经济,20250203,0.09,25215805.9,21,15
宠物经济,20250204,0.09,25215805.9,21,15
宠物经济,20250205,-1.14,24719282.6,13,25
宠物经济,20250206,1.27,24729993.2,32,4
宠物经济,20250207,0.78,24903508.4,27,11
宠物经济,20250208,0.78,24903508.4,27,11
宠物经济,20250209,0.78,24903508.4,27,11
宠物经济,20250210,1.16,25092012.0,26,10
宠物经济,20250211,0.47,25254809.9,22,16
宠物经济,20250212,-0.1,25289464.0,16,21
宠物经济,20250213,-1.35,24878443.7,10,28
宠物经济,20250214,0.59,25086138.1,22,15
宠物经济,20250215,0.59,25086138.1,22,15
