name,trade_date,pct_change,total_mv,up_num,down_num
富时罗素,20241220,0.33,6247829683.2,652,586
富时罗素,20241221,0.33,6247829683.2,652,586
富时罗素,20241222,0.33,6247829683.2,652,586
富时罗素,20241223,-2.34,6232670924.8,240,1040
富时罗素,20241224,1.07,6310988032.0,1054,204
富时罗素,20241225,-1.07,6306790988.8,345,919
富时罗素,20241226,0.53,6308504371.2,654,576
富时罗素,20241227,0.6,6314906726.4,861,402
富时罗素,20241228,0.6,6314906726.4,861,402
富时罗素,20241229,0.6,6314906726.4,861,402
富时罗素,20241230,-0.37,6333912268.8,483,777
富时罗素,20241231,-2.58,6226593408.0,125,1152
富时罗素,20250101,-2.58,6226593408.0,125,1152
富时罗素,20250102,-2.46,6049889792.0,126,1153
富时罗素,20250103,-2.65,5960585036.8,146,1133
富时罗素,20250104,-2.65,5960585036.8,146,1133
富时罗素,20250105,-2.65,5960585036.8,146,1133
富时罗素,20250106,-0.21,5951609625.6,610,633
富时罗素,20250107,1.07,5988853862.4,862,395
富时罗素,20250108,-0.44,5978401228.8,356,901
富时罗素,20250109,-0.08,5951841996.8,499,744
富时罗素,20250110,-2.2,5864471296.0,113,1165
富时罗素,20250111,-2.2,5864471296.0,113,1165
富时罗素,20250112,-2.2,5864471296.0,113,1165
富时罗素,20250113,0.16,5846825600.0,733,511
富时罗素,20250114,3.78,6006215782.4,1281,7
富时罗素,20250115,-0.52,5974621209.6,324,924
富时罗素,20250116,0.6,5265879219.2,807,431
富时罗素,20250117,0.32,5279377075.2,742,471
富时罗素,20250118,0.32,5279377075.2,742,471
富时罗素,20250119,0.32,5279377075.2,742,471
富时罗素,20250120,0.51,6028719820.8,791,442
富时罗素,20250121,-0.14,6028579968.0,461,777
富时罗素,20250122,-0.89,5970174464.0,258,1005
富时罗素,20250123,-0.14,6014982246.4,564,656
富时罗素,20250124,1.07,6055674752.0,979,269
富时罗素,20250125,1.07,6055674752.0,979,269
富时罗素,20250126,1.07,6055674752.0,979,269
富时罗素,20250127,-0.73,6044677478.4,529,734
富时罗素,20250128,-0.73,6044677478.4,529,734
富时罗素,20250129,-0.73,6044677478.4,529,734
富时罗素,20250130,-0.73,6044677478.4,529,734
富时罗素,20250131,-0.73,6044677478.4,529,734
富时罗素,20250201,-0.73,6044677478.4,529,734
富时罗素,20250202,-0.73,6044677478.4,529,734
富时罗素,20250203,-0.73,6044677478.4,529,734
富时罗素,20250204,-0.73,6044677478.4,529,734
富时罗素,20250205,0.48,5999842944.0,680,591
富时罗素,20250206,1.9,6078845465.6,1073,176
富时罗素,20250207,1.56,6151082393.6,1066,200
富时罗素,20250208,1.56,6151082393.6,1066,200
富时罗素,20250209,1.56,6151082393.6,1066,200
富时罗素,20250210,1.31,6175626521.6,842,385
富时罗素,20250211,-0.35,6170662809.6,398,860
富时罗素,20250212,1.11,6235757056.0,878,354
富时罗素,20250213,-0.46,6226031539.2,404,844
富时罗素,20250214,0.58,6271820262.4,659,564
富时罗素,20250215,0.58,6271820262.4,659,564
