name,trade_date,pct_change,total_mv,up_num,down_num
小红书概念,20250115,7.23,25579919.0,27,2
小红书概念,20250116,2.27,35746995.2,28,14
小红书概念,20250117,-2.85,41077636.8,13,39
小红书概念,20250118,-2.85,41077636.8,13,39
小红书概念,20250119,-2.85,41077636.8,13,39
小红书概念,20250120,-0.32,42499160.0,31,24
小红书概念,20250121,-0.58,42811443.2,25,32
小红书概念,20250122,-3.78,42028796.8,2,56
小红书概念,20250123,-0.1,41905795.2,27,30
小红书概念,20250124,3.01,44026180.8,49,8
小红书概念,20250125,3.01,44026180.8,49,8
小红书概念,20250126,3.01,44026180.8,49,8
小红书概念,20250127,-0.93,43755163.2,18,39
小红书概念,20250128,-0.93,43755163.2,18,39
小红书概念,20250129,-0.93,43755163.2,18,39
小红书概念,20250130,-0.93,43755163.2,18,39
小红书概念,20250131,-0.93,43755163.2,18,39
小红书概念,20250201,-0.93,43755163.2,18,39
小红书概念,20250202,-0.93,43755163.2,18,39
小红书概念,20250203,-0.93,43755163.2,18,39
小红书概念,20250204,-0.93,43755163.2,18,39
小红书概念,20250205,2.23,45020137.6,41,17
小红书概念,20250206,2.7,46240164.8,53,5
小红书概念,20250207,1.07,46900406.4,39,20
小红书概念,20250208,1.07,46900406.4,39,20
小红书概念,20250209,1.07,46900406.4,39,20
小红书概念,20250210,3.26,48503035.2,53,6
小红书概念,20250211,1.7,49274097.6,37,23
小红书概念,20250212,0.4,49543572.8,29,29
小红书概念,20250213,0.8,50295587.2,30,29
小红书概念,20250214,-1.14,49292856.0,23,37
小红书概念,20250215,-1.14,49292856.0,23,37
