name,trade_date,pct_change,total_mv,up_num,down_num
尾气治理,20241220,1.45,22792044.3,21,10
尾气治理,20241221,1.45,22792044.3,21,10
尾气治理,20241222,1.45,22792044.3,21,10
尾气治理,20241223,-4.66,22183465.8,4,28
尾气治理,20241224,0.85,22450513.1,23,8
尾气治理,20241225,-2.02,22226498.3,7,24
尾气治理,20241226,1.68,22568866.6,25,6
尾气治理,20241227,0.54,22595649.5,22,10
尾气治理,20241228,0.54,22595649.5,22,10
尾气治理,20241229,0.54,22595649.5,22,10
尾气治理,20241230,-1.17,22492354.4,8,24
尾气治理,20241231,-2.3,21926323.7,4,29
尾气治理,20250101,-2.3,21926323.7,4,29
尾气治理,20250102,-2.88,21170471.1,1,32
尾气治理,20250103,-3.91,20545980.1,2,32
尾气治理,20250104,-3.91,20545980.1,2,32
尾气治理,20250105,-3.91,20545980.1,2,32
尾气治理,20250106,-0.38,20577422.5,16,17
尾气治理,20250107,2.59,21018682.8,34,0
尾气治理,20250108,-1.0,20782909.8,6,27
尾气治理,20250109,0.98,21064486.4,23,9
尾气治理,20250110,-2.21,20697859.6,5,29
尾气治理,20250111,-2.21,20697859.6,5,29
尾气治理,20250112,-2.21,20697859.6,5,29
尾气治理,20250113,0.71,20781511.9,22,11
尾气治理,20250114,5.47,21712819.5,34,0
尾气治理,20250115,0.14,21641353.1,12,21
尾气治理,20250116,1.43,21335036.2,24,10
尾气治理,20250117,0.67,21492744.4,19,15
尾气治理,20250118,0.67,21492744.4,19,15
尾气治理,20250119,0.67,21492744.4,19,15
尾气治理,20250120,0.43,22111393.2,18,15
尾气治理,20250121,-1.04,22015343.2,12,20
尾气治理,20250122,-1.87,21695813.2,7,24
尾气治理,20250123,-0.01,21631733.1,15,18
尾气治理,20250124,0.58,21779285.2,27,7
尾气治理,20250125,0.58,21779285.2,27,7
尾气治理,20250126,0.58,21779285.2,27,7
尾气治理,20250127,-1.17,21460382.3,10,23
尾气治理,20250128,-1.17,21460382.3,10,23
尾气治理,20250129,-1.17,21460382.3,10,23
尾气治理,20250130,-1.17,21460382.3,10,23
尾气治理,20250131,-1.17,21460382.3,10,23
尾气治理,20250201,-1.17,21460382.3,10,23
尾气治理,20250202,-1.17,21460382.3,10,23
尾气治理,20250203,-1.17,21460382.3,10,23
尾气治理,20250204,-1.17,21460382.3,10,23
尾气治理,20250205,1.33,21629545.7,23,10
尾气治理,20250206,3.01,22372579.8,34,0
尾气治理,20250207,1.42,22728341.7,23,10
尾气治理,20250208,1.42,22728341.7,23,10
尾气治理,20250209,1.42,22728341.7,23,10
尾气治理,20250210,2.43,23072112.8,30,3
尾气治理,20250211,-0.18,22972132.5,15,17
尾气治理,20250212,1.16,23304108.2,25,7
尾气治理,20250213,-0.46,23111784.4,7,27
尾气治理,20250214,1.08,23383257.7,14,20
尾气治理,20250215,1.08,23383257.7,14,20
