name,trade_date,pct_change,total_mv,up_num,down_num
屏下摄像,20241220,0.43,54863176.0,5,5
屏下摄像,20241221,0.43,54863176.0,5,5
屏下摄像,20241222,0.43,54863176.0,5,5
屏下摄像,20241223,-2.98,53866425.6,2,8
屏下摄像,20241224,0.96,54515081.6,9,1
屏下摄像,20241225,-0.04,54795296.0,3,7
屏下摄像,20241226,2.57,56529934.4,8,0
屏下摄像,20241227,0.03,56003817.6,2,8
屏下摄像,20241228,0.03,56003817.6,2,8
屏下摄像,20241229,0.03,56003817.6,2,8
屏下摄像,20241230,1.32,56905937.6,6,3
屏下摄像,20241231,-4.12,55687804.8,0,10
屏下摄像,20250101,-4.12,55687804.8,0,10
屏下摄像,20250102,-2.99,54433704.0,1,9
屏下摄像,20250103,-3.52,52633228.8,0,10
屏下摄像,20250104,-3.52,52633228.8,0,10
屏下摄像,20250105,-3.52,52633228.8,0,10
屏下摄像,20250106,-2.52,51918211.2,1,9
屏下摄像,20250107,3.71,53842836.8,9,1
屏下摄像,20250108,-0.77,52915582.4,1,9
屏下摄像,20250109,0.87,54464340.8,5,5
屏下摄像,20250110,-2.87,53177894.4,1,9
屏下摄像,20250111,-2.87,53177894.4,1,9
屏下摄像,20250112,-2.87,53177894.4,1,9
屏下摄像,20250113,0.83,53782089.6,5,3
屏下摄像,20250114,4.99,56477320.0,10,0
屏下摄像,20250115,-1.46,55606590.4,1,9
屏下摄像,20250116,0.71,52250857.6,6,3
屏下摄像,20250117,0.65,52905612.8,6,3
屏下摄像,20250118,0.65,52905612.8,6,3
屏下摄像,20250119,0.65,52905612.8,6,3
屏下摄像,20250120,0.5,56400251.2,7,3
屏下摄像,20250121,0.96,58221820.8,7,3
屏下摄像,20250122,-0.62,58096292.8,2,8
屏下摄像,20250123,-1.95,56567811.2,1,9
屏下摄像,20250124,1.78,57857560.0,8,2
屏下摄像,20250125,1.78,57857560.0,8,2
屏下摄像,20250126,1.78,57857560.0,8,2
屏下摄像,20250127,-2.42,55999057.6,1,9
屏下摄像,20250128,-2.42,55999057.6,1,9
屏下摄像,20250129,-2.42,55999057.6,1,9
屏下摄像,20250130,-2.42,55999057.6,1,9
屏下摄像,20250131,-2.42,55999057.6,1,9
屏下摄像,20250201,-2.42,55999057.6,1,9
屏下摄像,20250202,-2.42,55999057.6,1,9
屏下摄像,20250203,-2.42,55999057.6,1,9
屏下摄像,20250204,-2.42,55999057.6,1,9
屏下摄像,20250205,2.2,57720868.8,10,0
屏下摄像,20250206,5.18,58977132.8,10,0
屏下摄像,20250207,1.76,59067632.0,6,2
屏下摄像,20250208,1.76,59067632.0,6,2
屏下摄像,20250209,1.76,59067632.0,6,2
屏下摄像,20250210,2.52,59168540.8,7,3
屏下摄像,20250211,0.36,58651582.4,3,7
屏下摄像,20250212,1.12,59233454.4,9,1
屏下摄像,20250213,-2.26,57602244.8,2,8
屏下摄像,20250214,1.34,58101508.8,7,3
屏下摄像,20250215,1.34,58101508.8,7,3
