name,trade_date,pct_change,total_mv,up_num,down_num
工业4.0,20241220,1.59,262289044.8,101,26
工业4.0,20241221,1.59,262289044.8,101,26
工业4.0,20241222,1.59,262289044.8,101,26
工业4.0,20241223,-4.51,260080980.8,17,116
工业4.0,20241224,1.26,263873864.0,106,27
工业4.0,20241225,-2.29,261458564.8,21,112
工业4.0,20241226,1.7,264248176.0,110,19
工业4.0,20241227,0.43,263043947.2,82,50
工业4.0,20241228,0.43,263043947.2,82,50
工业4.0,20241229,0.43,263043947.2,82,50
工业4.0,20241230,-1.18,262761176.0,32,98
工业4.0,20241231,-2.68,258415899.2,14,118
工业4.0,20250101,-2.68,258415899.2,14,118
工业4.0,20250102,-1.66,253861916.8,18,114
工业4.0,20250103,-4.08,248101724.8,10,123
工业4.0,20250104,-4.08,248101724.8,10,123
工业4.0,20250105,-4.08,248101724.8,10,123
工业4.0,20250106,-0.51,248224942.4,48,78
工业4.0,20250107,3.24,252174126.4,128,5
工业4.0,20250108,0.68,255430476.8,62,68
工业4.0,20250109,1.16,257577611.2,96,35
工业4.0,20250110,-2.16,253817001.6,22,109
工业4.0,20250111,-2.16,253817001.6,22,109
工业4.0,20250112,-2.16,253817001.6,22,109
工业4.0,20250113,-0.05,249872697.6,66,63
工业4.0,20250114,6.3,259659273.6,131,2
工业4.0,20250115,-0.59,257329400.0,40,89
工业4.0,20250116,0.43,245952020.8,63,64
工业4.0,20250117,0.0,246589875.2,52,77
工业4.0,20250118,0.0,246589875.2,52,77
工业4.0,20250119,0.0,246589875.2,52,77
工业4.0,20250120,1.32,261880916.8,87,41
工业4.0,20250121,0.67,264137388.8,69,57
工业4.0,20250122,-1.23,261397089.6,25,104
工业4.0,20250123,-0.14,261164174.4,57,69
工业4.0,20250124,1.68,264226216.0,108,21
工业4.0,20250125,1.68,264226216.0,108,21
工业4.0,20250126,1.68,264226216.0,108,21
工业4.0,20250127,-2.12,261887643.2,29,103
工业4.0,20250128,-2.12,261887643.2,29,103
工业4.0,20250129,-2.12,261887643.2,29,103
工业4.0,20250130,-2.12,261887643.2,29,103
工业4.0,20250131,-2.12,261887643.2,29,103
工业4.0,20250201,-2.12,261887643.2,29,103
工业4.0,20250202,-2.12,261887643.2,29,103
工业4.0,20250203,-2.12,261887643.2,29,103
工业4.0,20250204,-2.12,261887643.2,29,103
工业4.0,20250205,2.07,261529259.2,104,26
工业4.0,20250206,3.38,268390900.8,124,9
工业4.0,20250207,1.25,272325000.0,86,43
工业4.0,20250208,1.25,272325000.0,86,43
工业4.0,20250209,1.25,272325000.0,86,43
工业4.0,20250210,1.07,272005588.8,88,41
工业4.0,20250211,0.15,272621998.4,52,80
工业4.0,20250212,1.03,272990684.8,91,35
工业4.0,20250213,-2.01,268290907.2,16,113
工业4.0,20250214,-0.04,270004635.2,54,73
工业4.0,20250215,-0.04,270004635.2,54,73
