name,trade_date,pct_change,total_mv,up_num,down_num
工程机械概念,20241220,0.22,89663649.6,24,24
工程机械概念,20241221,0.22,89663649.6,24,24
工程机械概念,20241222,0.22,89663649.6,24,24
工程机械概念,20241223,-2.35,89931926.4,16,32
工程机械概念,20241224,2.47,92556816.0,41,7
工程机械概念,20241225,-1.67,91550505.6,10,38
工程机械概念,20241226,1.53,92017324.8,35,13
工程机械概念,20241227,0.77,92569139.2,29,20
工程机械概念,20241228,0.77,92569139.2,29,20
工程机械概念,20241229,0.77,92569139.2,29,20
工程机械概念,20241230,-0.87,93049505.6,18,29
工程机械概念,20241231,-2.33,91906491.2,8,40
工程机械概念,20250101,-2.33,91906491.2,8,40
工程机械概念,20250102,-2.34,89051609.6,5,44
工程机械概念,20250103,-1.85,88318940.8,13,35
工程机械概念,20250104,-1.85,88318940.8,13,35
工程机械概念,20250105,-1.85,88318940.8,13,35
工程机械概念,20250106,-0.05,87941312.0,27,21
工程机械概念,20250107,1.64,87945705.6,36,13
工程机械概念,20250108,0.28,88281990.4,19,29
工程机械概念,20250109,-0.44,87535820.8,16,30
工程机械概念,20250110,-2.04,86746510.4,10,38
工程机械概念,20250111,-2.04,86746510.4,10,38
工程机械概念,20250112,-2.04,86746510.4,10,38
工程机械概念,20250113,-0.52,85977731.2,18,27
工程机械概念,20250114,5.77,89718641.6,48,0
工程机械概念,20250115,-0.44,89386803.2,17,33
工程机械概念,20250116,0.98,84943872.0,34,14
工程机械概念,20250117,-0.02,85579036.8,21,25
工程机械概念,20250118,-0.02,85579036.8,21,25
工程机械概念,20250119,-0.02,85579036.8,21,25
工程机械概念,20250120,1.35,92412414.4,36,13
工程机械概念,20250121,-0.17,92940422.4,18,32
工程机械概念,20250122,-0.6,92041873.6,14,36
工程机械概念,20250123,-0.26,91902368.0,19,28
工程机械概念,20250124,0.44,92654654.4,32,16
工程机械概念,20250125,0.44,92654654.4,32,16
工程机械概念,20250126,0.44,92654654.4,32,16
工程机械概念,20250127,-1.01,92299182.4,18,30
工程机械概念,20250128,-1.01,92299182.4,18,30
工程机械概念,20250129,-1.01,92299182.4,18,30
工程机械概念,20250130,-1.01,92299182.4,18,30
工程机械概念,20250131,-1.01,92299182.4,18,30
工程机械概念,20250201,-1.01,92299182.4,18,30
工程机械概念,20250202,-1.01,92299182.4,18,30
工程机械概念,20250203,-1.01,92299182.4,18,30
工程机械概念,20250204,-1.01,92299182.4,18,30
工程机械概念,20250205,0.17,91011528.0,24,24
工程机械概念,20250206,2.06,92306331.2,40,9
工程机械概念,20250207,1.76,94373707.2,45,5
工程机械概念,20250208,1.76,94373707.2,45,5
工程机械概念,20250209,1.76,94373707.2,45,5
工程机械概念,20250210,0.56,94650126.4,28,21
工程机械概念,20250211,0.18,94639292.8,23,25
工程机械概念,20250212,0.91,95074920.0,37,13
工程机械概念,20250213,-1.41,93847196.8,6,44
工程机械概念,20250214,0.31,95427592.0,23,27
工程机械概念,20250215,0.31,95427592.0,23,27
